NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Creech,Campbell,1.25,6.25,62.5,0.2,nod
Rudisell,Campbell,2.083333333333333,2.083333333333333,54.166666666666664,1.0,blame
Harley,Rudisell,6.25,3.4722222222222223,40.27777777777778,1.8,be have be
Rudisell,Harley,0.0,6.944444444444445,26.38888888888889,0.0,turn
Harley,Cedric,2.0161290322580645,2.82258064516129,53.2258064516129,0.7142857142857143,go talk follow be depose take
Harley,Rudisell,2.0161290322580645,2.82258064516129,53.2258064516129,0.7142857142857143,go talk follow be depose take
Cedric,Rudisell,2.0161290322580645,2.82258064516129,53.2258064516129,0.7142857142857143,go talk follow be depose take
Rudisell,Campbell,4.464285714285714,0.0,74.10714285714286,INF,have claim belong
Harley,Cedric,3.3783783783783785,1.0135135135135136,55.067567567567565,3.3333333333333335,pause ask have become be mount
Rudisell,Cedric,0.0,0.0,50.0,INF,be aim set
Rudisell,Cedric,0.0,0.0,50.0,INF,be aim set
Campbell,Creech,1.3888888888888888,2.314814814814815,59.25925925925925,0.6,take grab place get lean
Campbell,Creech,1.3888888888888888,2.314814814814815,59.25925925925925,0.6,take grab place get lean
Campbell,Creech,1.3888888888888888,2.314814814814815,59.25925925925925,0.6,take grab place get lean
Bascombe,Harley,0.0,0.0,40.0,INF,nod
Meekins,Harley,1.5625,2.604166666666667,41.66666666666667,0.6,listen tell see
Meekins,Harley,7.6923076923076925,4.807692307692308,56.730769230769226,1.6,inspect
Rudisell,Meekins,0.6756756756756757,1.0135135135135136,63.17567567567568,0.6666666666666666,chew bulge be swallow begin
Rudisell,Meekins,0.6756756756756757,1.0135135135135136,63.17567567567568,0.6666666666666666,chew bulge be swallow begin
Rudisell,Meekins,0.6756756756756757,1.0135135135135136,63.17567567567568,0.6666666666666666,chew bulge be swallow begin
Campbell,Rudisell,0.625,3.125,46.25,0.2,slap spew
Campbell,Rudisell,0.625,3.125,46.25,0.2,slap spew
Meekins,Rudisell,3.4722222222222223,0.0,63.19444444444444,INF,have get recover speak
Meekins,Rudisell,3.4722222222222223,0.0,63.19444444444444,INF,have get recover speak
Rudisell,Cedric,0.8064516129032258,0.0,60.483870967741936,INF,come try buy have sign
Wesley,Panther Martin,1.7045454545454544,0.0,71.02272727272727,INF,leap embed
Meekins,Rudisell,0.6756756756756757,3.7162162162162162,63.17567567567568,0.18181818181818182,play screech make be hear make feel swarm
Rudisell,Meekins,0.6756756756756757,3.7162162162162162,63.17567567567568,0.18181818181818182,play screech make be hear make feel swarm
Rudisell,Meekins,0.6756756756756757,3.7162162162162162,63.17567567567568,0.18181818181818182,play screech make be hear make feel swarm
Rudisell,Meekins,0.6756756756756757,3.7162162162162162,63.17567567567568,0.18181818181818182,play screech make be hear make feel swarm
Meekins,Rudisell,1.293103448275862,4.310344827586207,56.46551724137932,0.3,smile show do have be deposit
Meekins,Rudisell,0.5,0.0,63.5,INF,roll purse fire
Meekins,Rudisell,0.5,0.0,63.5,INF,roll purse fire
Rudisell,Meekins,0.5,0.0,63.5,INF,roll purse fire
Rudisell,Campbell,1.3888888888888888,0.0,50.46296296296296,INF,set turn have
Rudisell,Creech,1.3888888888888888,0.0,50.46296296296296,INF,set turn have
Campbell,Creech,1.3888888888888888,0.0,50.46296296296296,INF,set turn have
Jarvis Hampton,Rudisell,0.7352941176470588,0.0,40.44117647058824,INF,get drive say
Creech,Jarvis Hampton,0.0,0.0,55.00000000000001,INF,keep follow
Jarvis Hampton,Rudisell,2.5,1.25,61.25000000000001,2.0,offer claim be be
Campbell,Rudisell,1.3888888888888888,1.3888888888888888,63.888888888888886,1.0,carry trail
Rudisell,Campbell,0.0,0.0,42.857142857142854,INF,turn shake
Rudisell,Campbell,1.5151515151515151,1.893939393939394,54.166666666666664,0.8,slither bend grab do move close
Campbell,Rudisell,1.5151515151515151,1.893939393939394,54.166666666666664,0.8,slither bend grab do move close
Rudisell,Campbell,0.0,3.4482758620689653,55.172413793103445,0.0,drop give knot put
Campbell,Rudisell,0.0,3.4482758620689653,55.172413793103445,0.0,drop give knot put
Rudisell,Campbell,2.314814814814815,0.0,49.53703703703704,INF,lead
Rudisell,Campbell,2.314814814814815,0.0,49.53703703703704,INF,lead
Creech,Campbell,0.0,0.0,60.0,INF,move pick
Campbell,Rudisell,1.7045454545454544,0.0,52.84090909090909,INF,settle
Creech,Campbell,5.46875,1.5625,55.46875,3.5,come stand watch
Campbell,Creech,5.46875,1.5625,55.46875,3.5,come stand watch
Rudisell,Creech,7.291666666666667,0.0,51.041666666666664,INF,grip handle
Rudisell,Creech,1.9230769230769231,0.0,51.92307692307693,INF,have use knot
Campbell,Creech,0.0,0.0,76.92307692307693,INF,ask take
Campbell,Creech,1.4705882352941175,0.7352941176470588,44.85294117647059,2.0,be give say hand
Rudisell,Campbell,0.6944444444444444,0.0,60.416666666666664,INF,sit turn see
Creech,Campbell,0.4032258064516129,0.0,54.43548387096774,INF,be go live do get say hand
Campbell,Creech,0.0,0.0,70.0,INF,take collapse
Campbell,Rudisell,1.7857142857142856,0.0,48.214285714285715,INF,secure turn
Rudisell,Campbell,1.7857142857142856,0.0,48.214285714285715,INF,secure turn
Rudisell,Creech,0.0,0.0,40.0,INF,shake
Creech,Campbell,1.5625,0.0,48.4375,INF,get stand
Creech,Campbell,0.3472222222222222,3.125,52.083333333333336,0.1111111111111111,get shout begin reel pause be touch
Rudisell,Campbell,3.6764705882352944,2.2058823529411766,47.05882352941176,1.6666666666666667,brighten crease
Campbell,Creech,0.0,0.0,64.70588235294117,INF,whip stumble catch fall
