NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Marco,Sophia,1.3888888888888888,1.3888888888888888,52.77777777777778,1.0,have insist call be
Gemma,Marco,0.0,2.272727272727273,43.18181818181818,0.0,mumble
Marco,Sophia,0.0,3.4090909090909087,55.68181818181818,0.0,have live be pass
Marco,Sophia,4.166666666666666,2.604166666666667,64.0625,1.6,ask have trace
Marco,Sophia,8.088235294117647,3.6764705882352944,47.05882352941176,2.2,be ask have act
Marco,Sophia,4.545454545454546,3.4090909090909087,37.5,1.3333333333333333,choose say opt keep
Marco,Sophia,1.9230769230769231,0.0,28.846153846153843,INF,do say
Marco,Sophia,2.7027027027027026,1.3513513513513513,50.0,2.0,have give decide be tire drive be
Kelsey Merritt,Mr. Sterling,2.083333333333333,0.0,59.02777777777778,INF,flash twirl
Kelsey Merritt,Mr. Sterling,2.083333333333333,0.0,59.02777777777778,INF,flash twirl
Mr. Sterling,Kelsey Merritt,2.083333333333333,0.0,59.02777777777778,INF,flash twirl
Mr. Sterling,Kelsey Merritt,2.083333333333333,0.0,59.02777777777778,INF,flash twirl
Kelsey Merritt,Anna Miller,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Kelsey Merritt,Sarah Monroe,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Kelsey Merritt,Anna Miller,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Kelsey Merritt,Sarah Monroe,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Kelsey Merritt,Anna Miller,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Kelsey Merritt,Sarah Monroe,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Anna Miller,Sarah Monroe,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Anna Miller,Kelsey Merritt,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Anna Miller,Kelsey Merritt,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Sarah Monroe,Kelsey Merritt,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Sarah Monroe,Kelsey Merritt,3.977272727272727,2.272727272727273,48.29545454545455,1.75,share pass add be offer
Kelsey Merritt,Alex.,2.9069767441860463,3.488372093023256,58.720930232558146,0.8333333333333334,scowl feel know have come do have
Kelsey Merritt,Mr. Sterling,2.9069767441860463,3.488372093023256,58.720930232558146,0.8333333333333334,scowl feel know have come do have
Kelsey Merritt,Mr. Sterling,2.9069767441860463,3.488372093023256,58.720930232558146,0.8333333333333334,scowl feel know have come do have
Alex.,Mr. Sterling,2.9069767441860463,3.488372093023256,58.720930232558146,0.8333333333333334,scowl feel know have come do have
Alex.,Mr. Sterling,2.9069767441860463,3.488372093023256,58.720930232558146,0.8333333333333334,scowl feel know have come do have
Kelsey Merritt,Mr. Sterling,2.34375,2.34375,32.8125,1.0,be reply
Mr. Sterling,Aislin,2.1739130434782608,0.0,58.69565217391305,INF,point instruct go take
Mr. Sterling,Alex,2.1739130434782608,0.0,58.69565217391305,INF,point instruct go take
Aislin,Alex,2.1739130434782608,0.0,58.69565217391305,INF,point instruct go take
Mr. Sterling,Alex.,0.5,3.5000000000000004,64.0,0.14285714285714285,scratch keep drift be do take
Alex,Mr. Sterling,4.054054054054054,2.364864864864865,53.04054054054054,1.7142857142857142,stare be yammer do know sound
Alex,Mr. Sterling,4.054054054054054,2.364864864864865,53.04054054054054,1.7142857142857142,stare be yammer do know sound
Alex,Aislin,0.0,5.681818181818182,30.681818181818183,0.0,knock hiss
Aislin,Alex,0.0,0.0,33.33333333333333,INF,lean lower
Aislin,Alex,0.0,0.0,53.333333333333336,INF,reach catch
Aislin,Alex,0.0,0.0,53.333333333333336,INF,reach catch
Alex,Mr. Sterling,0.0,0.0,58.333333333333336,INF,go say
Mr. Sterling,Alex,2.941176470588235,2.2058823529411766,59.55882352941176,1.3333333333333333,start push tell be have want force work
Mr. Sterling,Alex,2.941176470588235,2.2058823529411766,59.55882352941176,1.3333333333333333,start push tell be have want force work
Alex,Henley,7.291666666666667,2.083333333333333,65.625,3.5,look dress fade scatter
Henley,Alex,7.291666666666667,2.083333333333333,65.625,3.5,look dress fade scatter
Mr. Sterling,Aislin,1.9736842105263157,3.9473684210526314,62.5,0.5,frown set slip
Alex,Aislin,0.0,0.0,40.0,INF,lean lower
Aislin,Alex,0.0,0.0,40.0,INF,lean lower
Aislin,Alex,0.9615384615384616,0.0,45.19230769230769,INF,point get
Alex.,Mr. Sterling,2.380952380952381,0.0,59.523809523809526,INF,blink realize be stand
Alex.,Mr. Sterling,2.380952380952381,0.0,59.523809523809526,INF,blink realize be stand
Gemma,Aislin,2.5,2.0,39.5,1.25,expect be welcome be
Gemma,Alex,2.5,2.0,39.5,1.25,expect be welcome be
Aislin,Alex,2.5,2.0,39.5,1.25,expect be welcome be
Mr. Sterling,Alex.,0.5681818181818182,0.5681818181818182,71.5909090909091,1.0,burn summon press stifle
Alex.,Mr. Sterling,0.5681818181818182,0.5681818181818182,71.5909090909091,1.0,burn summon press stifle
Mr. Sterling,Alex.,4.924242424242424,4.924242424242424,62.878787878787875,1.0,have be have be stand have hit be
Mr. Sterling,Alex,1.1904761904761905,1.7857142857142856,54.166666666666664,0.6666666666666666,gaze wander be wait promise
Alex,Mr. Sterling,1.1904761904761905,1.7857142857142856,54.166666666666664,0.6666666666666666,gaze wander be wait promise
Kelsey Merritt,Alex.,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex.,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex.,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex.,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Kelsey Merritt,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Alex.,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Alex.,Alex,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Alex.,Kelsey Merritt,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Alex,Kelsey Merritt,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Alex,Kelsey Merritt,1.3020833333333335,1.8229166666666667,51.041666666666664,0.7142857142857143,award look pass bat be feel turn
Alex,Mr. Sterling,0.625,0.625,68.75,1.0,think make make
Alex,Mr. Sterling,0.625,0.625,68.75,1.0,think make make
Gemma,Mrs. Bakerly,0.0,0.0,46.666666666666664,INF,greet
Alex,Stephan,5.263157894736842,1.3157894736842104,51.31578947368421,4.0,have feel have tell
Stephan,Gemma,5.952380952380952,2.976190476190476,62.5,2.0,need be find be cause
Stephan,Aislin,2.5,1.0,36.5,2.5,have do want know tell
Stephan,Alex,2.5,1.0,36.5,2.5,have do want know tell
Aislin,Alex,2.5,1.0,36.5,2.5,have do want know tell
Gemma,Alex,0.0,0.0,38.46153846153847,INF,do say
Alex,Aislin,4.807692307692308,0.0,25.961538461538463,INF,think start
Alex,Aislin,0.0,3.289473684210526,38.81578947368421,0.0,whirl
Marco,Sophia,1.7857142857142856,1.1904761904761905,39.88095238095239,1.5,be become consider break tell
Alex,Aislin,10.0,5.0,5.0,2.0,
Alex,Ailsin,0.0,0.0,40.0,INF,center
Alex,Aislin,7.142857142857142,0.8928571428571428,34.82142857142857,8.0,be
Alex,Aislin,1.0416666666666665,0.0,48.95833333333333,INF,do notice sit
Alex,Alex.,2.7777777777777777,2.7777777777777777,63.33333333333333,1.0,drag take snuck have seem look
Alex.,Alex,2.7777777777777777,2.7777777777777777,63.33333333333333,1.0,drag take snuck have seem look
Aislin,Alex.,2.976190476190476,1.7857142857142856,57.14285714285714,1.6666666666666667,act shine be wear
Aislin,Alex,2.8846153846153846,0.0,50.96153846153846,INF,have track say
Gemma,Alex,2.083333333333333,2.083333333333333,37.5,1.0,have answer
Alex,Aislin,0.5952380952380952,0.0,47.023809523809526,INF,do be say be
Aislin,Alex,0.0,15.0,25.0,0.0,scowl
Alex,Aislin,4.054054054054054,3.3783783783783785,46.62162162162162,1.2,be think continue ignore scowl be make go
Aislin,Alex,0.0,0.0,42.857142857142854,INF,leap
Marco,Sophia,5.769230769230769,3.8461538461538463,44.230769230769226,1.5,be make feel
Marco,Sophia,0.0,0.0,20.0,INF,tell
Marco,Sophia,0.0,2.1739130434782608,45.65217391304348,0.0,be happen find huddle talk
Gemma,Alex,0.6944444444444444,3.4722222222222223,40.27777777777778,0.2,be say notice gaze
Gemma,Alex,6.25,1.25,32.5,5.0,have add
Alex,Aislin,1.5625,1.0416666666666665,51.5625,1.5,shove overhear
Alex,Kelsey Merritt,0.0,3.75,56.25,0.0,follow throw pass
Alex,Kelsey Merritt,0.0,3.75,56.25,0.0,follow throw pass
Alex.,Alex,0.8928571428571428,0.4464285714285714,59.375,2.0,turn end slam bang ignite
Gemma,Alex,1.6129032258064515,0.4032258064516129,46.37096774193548,4.0,point be want show
Gemma,Alex,1.6129032258064515,0.4032258064516129,46.37096774193548,4.0,point be want show
Marco,Sophia,6.4393939393939394,3.787878787878788,53.40909090909091,1.7,have play blast be do
Marco,Gemma,6.4393939393939394,3.787878787878788,53.40909090909091,1.7,have play blast be do
Sophia,Gemma,6.4393939393939394,3.787878787878788,53.40909090909091,1.7,have play blast be do
Marco,Sophia,0.6578947368421052,2.631578947368421,59.86842105263158,0.25,be be
Alex,Aislin,1.7857142857142856,5.357142857142857,42.857142857142854,0.3333333333333333,ring be
Alex,Aislin,2.604166666666667,0.0,59.895833333333336,INF,inform be be go be
Aislin,Alex,2.604166666666667,0.0,59.895833333333336,INF,inform be be go be
Kelsey Merritt,Alex,5.208333333333334,1.0416666666666665,54.861111111111114,5.0,stop gaze wander be try make be sit
Kelsey Merritt,Alex,5.208333333333334,1.0416666666666665,54.861111111111114,5.0,stop gaze wander be try make be sit
Alex,Kelsey Merritt,5.208333333333334,1.0416666666666665,54.861111111111114,5.0,stop gaze wander be try make be sit
Kelsey Merritt,Alex.,1.0416666666666665,3.125,62.5,0.3333333333333333,shoot flash get
Kelsey Merritt,Alex,3.4722222222222223,0.0,52.083333333333336,INF,ask point
Kelsey Merritt,Alex,3.4722222222222223,0.0,52.083333333333336,INF,ask point
Kelsey Merritt,Alex,0.4166666666666667,0.4166666666666667,52.5,1.0,take invade kneel be rest
Kelsey Merritt,Alex,0.4166666666666667,0.4166666666666667,52.5,1.0,take invade kneel be rest
Kelsey Merritt,Alex,0.4166666666666667,0.4166666666666667,52.5,1.0,take invade kneel be rest
Alex,Kelsey Merritt,0.4166666666666667,0.4166666666666667,52.5,1.0,take invade kneel be rest
Alex,Kelsey Merritt,0.4166666666666667,0.4166666666666667,52.5,1.0,take invade kneel be rest
Kelsey Merritt,Alex,0.4166666666666667,0.4166666666666667,52.5,1.0,take invade kneel be rest
Alex,Kelsey Merritt,5.555555555555555,5.555555555555555,55.55555555555556,1.0,look
Alex,Kelsey Merritt,5.357142857142857,3.571428571428571,48.214285714285715,1.5,take go
Alex,Kelsey Merritt,0.0,0.0,42.857142857142854,INF,raise
Alex,Kelsey Merritt,0.0,0.0,42.857142857142854,INF,raise
Marco,Sophia,2.8846153846153846,0.9615384615384616,50.0,3.0,be get
Marco,Sophia,0.3472222222222222,0.3472222222222222,63.19444444444444,1.0,be look frame
Sophia,Alex,1.293103448275862,0.43103448275862066,63.793103448275865,3.0,cut pop
Alex,Sophia,4.166666666666666,0.9259259259259258,39.351851851851855,4.5,be tell motion be work
Alex,Alex.,4.166666666666666,0.9259259259259258,39.351851851851855,4.5,be tell motion be work
