NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Mackenzie,Mack,0.0,0.0,75.0,INF,be
Mack,Jane,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Mack,Wayward Pines Sheriff 's Office,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Mack,Wayward Pines Sheriff 's Office,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Jane,Wayward Pines Sheriff 's Office,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Jane,Mack,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Jane,Mack,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Jane,Wayward Pines Sheriff 's Office,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Wayward Pines Sheriff 's Office,Mack,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Wayward Pines Sheriff 's Office,Mack,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Mack,Wayward Pines Sheriff 's Office,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Mack,Wayward Pines Sheriff 's Office,1.2096774193548387,0.0,53.62903225806451,INF,skim be list
Pam,Stallings,0.5,1.0,62.5,0.5,lift strap
Mr. Burke,Pam,3.125,0.625,51.24999999999999,5.0,give say inflate
Mr. Burke,Pam,3.125,0.625,51.24999999999999,5.0,give say inflate
Pam,Stallings,5.681818181818182,0.0,48.86363636363637,INF,reach put
Pam,Stallings,5.681818181818182,0.0,48.86363636363637,INF,reach put
Ethan,Stallings,0.0,0.0,28.57142857142857,INF,say
Pam,Ethan,2.4193548387096775,0.0,52.41935483870967,INF,have leave tire turn study
Pam,Ethan,2.4193548387096775,0.0,52.41935483870967,INF,have leave tire turn study
Pam,Ethan,2.4193548387096775,0.0,52.41935483870967,INF,have leave tire turn study
Pam,Wayward Pines Sheriff 's Office,2.4193548387096775,0.0,52.41935483870967,INF,have leave tire turn study
Ethan,Wayward Pines Sheriff 's Office,2.4193548387096775,0.0,52.41935483870967,INF,have leave tire turn study
Ethan,Wayward Pines Sheriff 's Office,2.4193548387096775,0.0,52.41935483870967,INF,have leave tire turn study
Ethan,Wayward Pines Sheriff 's Office,2.4193548387096775,0.0,52.41935483870967,INF,have leave tire turn study
Ethan,Dr. Miter,1.7857142857142856,1.7857142857142856,57.14285714285714,1.0,have be lie be have bother stop
Dr. Miter,Ethan,1.7857142857142856,1.7857142857142856,57.14285714285714,1.0,have be lie be have bother stop
Pam,Ethan,1.7857142857142856,8.928571428571429,46.42857142857143,0.2,have show
Ethan,Pam,0.0,0.0,58.82352941176471,INF,swing breeze
Ethan,Pam,4.166666666666666,5.555555555555555,45.83333333333333,0.75,give
Ethan,Pam,4.166666666666666,0.4629629629629629,50.92592592592593,9.0,wait have leave assure look
