NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Wulf,Diesel,3.571428571428571,2.6785714285714284,47.32142857142857,1.3333333333333333,be think inhabit have be bestow prevent collect
Diesel,Wulf,3.571428571428571,2.6785714285714284,47.32142857142857,1.3333333333333333,be think inhabit have be bestow prevent collect
Wulf,Reedy,0.0,3.90625,39.84375,0.0,think pitch
Diesel,Wulf,2.941176470588235,0.0,61.76470588235294,INF,feel move touch
Diesel,Wulf,2.941176470588235,0.0,61.76470588235294,INF,feel move touch
Wulf,Diesel,1.0416666666666665,0.5208333333333333,60.9375,2.0,be be do go say
Wulf,Diesel,1.0416666666666665,0.5208333333333333,60.9375,2.0,be be do go say
Diesel,Wulf,0.0,0.0,50.0,INF,be
Wulf,Diesel,0.78125,0.0,49.21875,INF,think lock say
Diesel,Carl,0.0,2.5,47.5,0.0,slip return
Glo,Carl,1.6304347826086956,2.717391304347826,56.52173913043478,0.6,be sit pull hug
Glo,Carl,1.6304347826086956,2.717391304347826,56.52173913043478,0.6,be sit pull hug
Glo,Carl,1.6304347826086956,2.717391304347826,56.52173913043478,0.6,be sit pull hug
Diesel,Carl,0.0,1.6666666666666667,48.333333333333336,0.0,open rush follow be perch
Diesel,Carl,0.0,1.6666666666666667,48.333333333333336,0.0,open rush follow be perch
Glo,Carl,3.8461538461538463,0.9615384615384616,33.65384615384615,4.0,rescue give
Diesel,Glo,0.0,0.0,50.0,INF,ask
Glo,Carl,1.3888888888888888,0.0,54.166666666666664,INF,set
Glo,Harry Potter,6.25,0.78125,55.46875,8.0,read have
Glo,Carl,1.0869565217391304,2.1739130434782608,53.2608695652174,0.5,like be be
Glo,Carl,1.0869565217391304,2.1739130434782608,53.2608695652174,0.5,like be be
Glo,Carl,0.0,0.0,69.23076923076923,INF,rummage pull
Reedy,Diesel,0.0,1.4705882352941175,57.35294117647059,0.0,want do say
Diesel,Glo,0.0,0.5952380952380952,47.023809523809526,0.0,amble join hop
Diesel,Carl,0.0,0.5952380952380952,47.023809523809526,0.0,amble join hop
Glo,Carl,0.0,0.5952380952380952,47.023809523809526,0.0,amble join hop
Carl,Diesel,0.0,0.0,50.0,INF,see eat agree
Carl,Diesel,0.0,0.0,50.0,INF,throw glare
Carl,Diesel,0.0,0.0,50.0,INF,throw glare
Diesel,Carl,0.5,4.0,51.5,0.125,blow pluck cart pitch
Diesel,Carl,0.5,4.0,51.5,0.125,blow pluck cart pitch
Diesel,Carl,0.5,4.0,51.5,0.125,blow pluck cart pitch
Diesel,Carl,0.0,0.8928571428571428,56.25,0.0,mop
Reedy,Lovey,4.545454545454546,3.4090909090909087,55.68181818181818,1.3333333333333333,bet be talk
Carl,Diesel,0.0,1.25,48.75,0.0,walk moon
Diesel,Carl,0.0,0.0,33.33333333333333,INF,say
Diesel,Reedy,2.8846153846153846,0.9615384615384616,57.692307692307686,3.0,wrap hug
Reedy,Diesel,0.0,0.0,47.368421052631575,INF,turn step lock
Reedy,Diesel,0.0,0.0,47.368421052631575,INF,turn step lock
Diesel,Lovey,1.0416666666666665,1.0416666666666665,47.91666666666667,1.0,seem say do see
Reedy,Shakespeare,0.0,0.0,47.368421052631575,INF,have turn say
Reedy,Diesel,0.0,0.0,47.368421052631575,INF,have turn say
