NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Leofric,Great Council,7.5,4.285714285714286,39.64285714285714,1.75,drop ask be accuse
Sweyn,Leofric,4.411764705882353,0.0,48.529411764705884,INF,watch rub
Woden,Great Council,0.8522727272727272,2.556818181818182,48.86363636363637,0.3333333333333333,continue fidget be have call tell
Woden,Leofric,0.8522727272727272,2.556818181818182,48.86363636363637,0.3333333333333333,continue fidget be have call tell
Great Council,Leofric,0.8522727272727272,2.556818181818182,48.86363636363637,0.3333333333333333,continue fidget be have call tell
Sweyn,Hereford,4.3478260869565215,4.3478260869565215,56.52173913043478,1.0,have doff demonstrate move
Edey,Edgiva,1.0416666666666665,3.125,20.833333333333336,0.3333333333333333,say kiss
Edgiva,Leofric,2.941176470588235,0.0,50.0,INF,kiss smile glance question
Edgiva,Leofric,2.941176470588235,0.0,50.0,INF,kiss smile glance question
Leofric,Edgiva,2.941176470588235,0.0,50.0,INF,kiss smile glance question
Sweyn,Leofric,1.7857142857142856,0.0,33.92857142857143,INF,see assure
Sweyn,Edgiva,1.7857142857142856,0.0,33.92857142857143,INF,see assure
Leofric,Edgiva,1.7857142857142856,0.0,33.92857142857143,INF,see assure
Godiva,Edgiva,1.4705882352941175,0.0,51.470588235294116,INF,worry be say
Godiva,Edgiva,4.6875,1.5625,37.5,3.0,throw correct
Godiva,Edgiva,6.8181818181818175,13.636363636363635,34.090909090909086,0.5,do rebuke
Godiva,Edgiva,4.583333333333333,3.3333333333333335,65.41666666666667,1.375,suspect be find worry
Sweyn,Leofric,3.5000000000000004,3.5000000000000004,49.0,1.0,have dismiss wrestle be stare fight fidget inch
Leofric,Edgiva,5.743243243243244,2.027027027027027,51.689189189189186,2.8333333333333335,conclude gaze make blush be
Leofric,Edgiva,2.586206896551724,0.8620689655172413,44.827586206896555,3.0,be turn
Leofric,Edgiva,2.586206896551724,0.8620689655172413,44.827586206896555,3.0,be turn
Leofric,Hereford,2.0,0.0,42.0,INF,notice call do
Leofric,Edgiva,2.0,0.0,42.0,INF,notice call do
Leofric,Earl Sweyn,2.0,0.0,42.0,INF,notice call do
Hereford,Edgiva,2.0,0.0,42.0,INF,notice call do
Hereford,Earl Sweyn,2.0,0.0,42.0,INF,notice call do
Edgiva,Earl Sweyn,2.0,0.0,42.0,INF,notice call do
Earl Sweyn,Edgiva,2.7777777777777777,4.166666666666666,37.5,0.6666666666666666,be be insist
Earl Sweyn,Leofric,2.7777777777777777,4.166666666666666,37.5,0.6666666666666666,be be insist
Edgiva,Leofric,2.7777777777777777,4.166666666666666,37.5,0.6666666666666666,be be insist
Edgiva,Sweyn,6.578947368421052,0.0,35.526315789473685,INF,brighten pitch
Edgiva,Sweyn,6.578947368421052,0.0,35.526315789473685,INF,brighten pitch
Edgiva,Sweyn,6.578947368421052,0.0,35.526315789473685,INF,brighten pitch
Leofric,Sweyn,4.642857142857143,2.857142857142857,58.214285714285715,1.625,desire reach rest dress look trap
Godiva,Leofric,0.0,0.8333333333333334,42.5,0.0,be begin be take
Godiva,Harold,0.0,0.8333333333333334,42.5,0.0,be begin be take
Godiva,Harold,0.0,0.8333333333333334,42.5,0.0,be begin be take
Leofric,Harold,0.0,0.8333333333333334,42.5,0.0,be begin be take
Leofric,Harold,0.0,0.8333333333333334,42.5,0.0,be begin be take
Harold,Godiva,6.25,1.3888888888888888,42.36111111111111,4.5,have gain tell
Harold,Sweyn,6.25,1.3888888888888888,42.36111111111111,4.5,have gain tell
Godiva,Sweyn,6.25,1.3888888888888888,42.36111111111111,4.5,have gain tell
Harold,Leofric,2.0,2.5,55.50000000000001,0.8,be be want
Harold,Leofric,2.0,2.5,55.50000000000001,0.8,be be want
Godiva,Leofric,4.296875,2.34375,58.984375,1.8333333333333333,need encourage say smile blush be verge
Godiva,Sweyn,4.296875,2.34375,58.984375,1.8333333333333333,need encourage say smile blush be verge
Leofric,Sweyn,4.296875,2.34375,58.984375,1.8333333333333333,need encourage say smile blush be verge
Leofric,Godiva,1.6666666666666667,1.6666666666666667,50.0,1.0,be say
Leofric,Sweyn,1.6666666666666667,1.6666666666666667,50.0,1.0,be say
Godiva,Sweyn,1.6666666666666667,1.6666666666666667,50.0,1.0,be say
Leofric,Edgiva,4.166666666666666,0.4166666666666667,42.083333333333336,10.0,be pin be pin continue
Leofric,Sweyn,3.316326530612245,4.591836734693878,51.275510204081634,0.7222222222222222,tell know be care be say confide look feel
Leofric,Godiva,3.316326530612245,4.591836734693878,51.275510204081634,0.7222222222222222,tell know be care be say confide look feel
Leofric,Sweyn,3.316326530612245,4.591836734693878,51.275510204081634,0.7222222222222222,tell know be care be say confide look feel
Leofric,Godiva,3.316326530612245,4.591836734693878,51.275510204081634,0.7222222222222222,tell know be care be say confide look feel
Sweyn,Godiva,3.316326530612245,4.591836734693878,51.275510204081634,0.7222222222222222,tell know be care be say confide look feel
Sweyn,Leofric,3.316326530612245,4.591836734693878,51.275510204081634,0.7222222222222222,tell know be care be say confide look feel
Godiva,Leofric,3.316326530612245,4.591836734693878,51.275510204081634,0.7222222222222222,tell know be care be say confide look feel
Edgiva,Leofric,5.263157894736842,0.0,36.84210526315789,INF,press stop take
Edgiva,Leofric,5.263157894736842,0.0,36.84210526315789,INF,press stop take
Edgiva,Sweyn,1.3157894736842104,1.9736842105263157,49.34210526315789,0.6666666666666666,demand cross turn glance
Sweyn,Edgiva,1.3157894736842104,1.9736842105263157,49.34210526315789,0.6666666666666666,demand cross turn glance
Sweyn,Leofric,1.9444444444444444,4.722222222222222,40.0,0.4117647058823529,turn ignore blush continue overpower change be decide use
Sweyn,Godiva,1.9444444444444444,4.722222222222222,40.0,0.4117647058823529,turn ignore blush continue overpower change be decide use
Leofric,Godiva,1.9444444444444444,4.722222222222222,40.0,0.4117647058823529,turn ignore blush continue overpower change be decide use
Leofric,Sweyn,1.0416666666666665,5.208333333333334,52.083333333333336,0.2,deliver appear confound
Sweyn,Godiva,3.90625,0.0,46.09375,INF,look do say
Sweyn,Leofric,5.555555555555555,8.333333333333332,52.77777777777778,0.6666666666666666,pray continue say wish have leave
Leofric,Sweyn,2.2058823529411766,5.88235294117647,33.088235294117645,0.375,have obey observe embarrass
Great Council,Sweyn,0.5434782608695652,1.0869565217391304,46.19565217391305,0.5,sound announce swoon
Great Council,Coventry,2.142857142857143,0.7142857142857143,65.71428571428571,3.0,be call have be resettle know
Great Council,Godiva,2.142857142857143,0.7142857142857143,65.71428571428571,3.0,be call have be resettle know
Coventry,Godiva,2.142857142857143,0.7142857142857143,65.71428571428571,3.0,be call have be resettle know
Godiva,Great Council,6.25,5.357142857142857,52.67857142857143,1.1666666666666667,wish have give miss
Godwin,Siward,0.0,0.0,45.45454545454545,INF,be flank
Godwin,Wessex,1.7857142857142856,0.4464285714285714,40.625,4.0,be
Godwin,Sweyn,1.7857142857142856,0.4464285714285714,40.625,4.0,be
Godwin,Wessex,1.7857142857142856,0.4464285714285714,40.625,4.0,be
Godwin,Sweyn,1.7857142857142856,0.4464285714285714,40.625,4.0,be
Wessex,Sweyn,1.7857142857142856,0.4464285714285714,40.625,4.0,be
Godiva,Edgiva,11.607142857142858,1.7857142857142856,50.89285714285714,6.5,have love admire
Godiva,Edgiva,11.607142857142858,1.7857142857142856,50.89285714285714,6.5,have love admire
Godiva,Edgiva,2.272727272727273,0.8522727272727272,53.69318181818182,2.6666666666666665,weigh clank remain
Godiva,Edgiva,2.272727272727273,0.8522727272727272,53.69318181818182,2.6666666666666665,weigh clank remain
Godiva,Edgiva,2.272727272727273,0.8522727272727272,53.69318181818182,2.6666666666666665,weigh clank remain
Godiva,Edgiva,2.272727272727273,0.8522727272727272,53.69318181818182,2.6666666666666665,weigh clank remain
Edgiva,Godiva,2.272727272727273,0.8522727272727272,53.69318181818182,2.6666666666666665,weigh clank remain
Edgiva,Godiva,2.272727272727273,0.8522727272727272,53.69318181818182,2.6666666666666665,weigh clank remain
Edgiva,Godiva,2.272727272727273,0.8522727272727272,53.69318181818182,2.6666666666666665,weigh clank remain
Edgiva,Godiva,2.272727272727273,0.8522727272727272,53.69318181818182,2.6666666666666665,weigh clank remain
Edgiva,Edey,1.25,0.0,38.75,INF,know
Godiva,Great Council,8.125,3.75,58.12500000000001,2.1666666666666665,care lecture be
Edgiva,Godiva,1.2755102040816326,3.061224489795918,58.92857142857143,0.4166666666666667,have make think give allow return be
Edgiva,Edward,0.5681818181818182,0.5681818181818182,48.86363636363637,1.0,say relax
Edgiva,Edward,0.5681818181818182,0.5681818181818182,48.86363636363637,1.0,say relax
Edgiva,Leofric,4.6875,5.46875,52.34375,0.8571428571428571,rest frown look
Godiva,Leofric,7.5,0.0,52.5,INF,stroke
Leofric,Edgiva,1.6666666666666667,6.666666666666667,45.0,0.25,scowl say
Godwin,Edgiva,8.59375,0.78125,34.375,11.0,have insult continue
Earl Sweyn,Hereford,0.9615384615384616,0.0,56.730769230769226,INF,stand
