NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Dllenahkh,Naraldi,3.289473684210526,13.815789473684212,30.263157894736842,0.23809523809523808,shake
Gilda,Sadiri,7.954545454545454,3.4090909090909087,37.121212121212125,2.3333333333333335,be hear be venture want experience know mean
Sadiri,Gilda,7.954545454545454,3.4090909090909087,37.121212121212125,2.3333333333333335,be hear be venture want experience know mean
Dllenahkh,Ainya,1.3157894736842104,1.5350877192982455,56.79824561403509,0.8571428571428571,have notice judge consider be poison do have stand look do
Dllenahkh,Gilda,3.125,3.125,54.861111111111114,1.0,thank say have come consult regard have be experience
Gilda,Dllenahkh,1.7857142857142856,0.0,45.83333333333333,INF,take close speak
Gilda,Dllenahkh,1.7857142857142856,0.0,45.83333333333333,INF,take close speak
Cygnus Beta,Ntshune,4.464285714285714,1.7857142857142856,38.98809523809524,2.5,say be acknowledge be
Interplanetary Science Council,Sadira,4.0,4.0,64.0,1.0,be bear
Sadiri,Cygnus Beta,3.125,3.125,50.0,1.0,be
Sadiri,Dllenahkh,2.7777777777777777,6.018518518518518,54.166666666666664,0.46153846153846156,do delve return do
Gilda,Sadiri,0.5,2.5,47.0,0.2,mean have be do have have approach
Gilda,Ainya,0.5,2.5,47.0,0.2,mean have be do have have approach
Gilda,Sadiri,0.5,2.5,47.0,0.2,mean have be do have have approach
Sadiri,Ainya,0.5,2.5,47.0,0.2,mean have be do have have approach
Ainya,Sadiri,0.5,2.5,47.0,0.2,mean have be do have have approach
Sadira,Sadiri,7.317073170731707,4.2682926829268295,46.95121951219512,1.7142857142857142,serve diminish have replace be force make
Dllenahkh,Sadiri,5.487804878048781,0.6097560975609756,42.68292682926829,9.0,detect be relate be do
Cygnus Beta,Sadira,1.8292682926829267,0.6097560975609756,53.65853658536586,3.0,be tell think colonize turn have be
Cygnus Beta,Cygnian,1.8292682926829267,0.6097560975609756,53.65853658536586,3.0,be tell think colonize turn have be
Sadira,Cygnian,1.8292682926829267,0.6097560975609756,53.65853658536586,3.0,be tell think colonize turn have be
Gilda,Ntshune,6.976744186046512,5.232558139534884,57.55813953488372,1.3333333333333333,tease have admit be echo
Gilda,Ntshune,6.976744186046512,5.232558139534884,57.55813953488372,1.3333333333333333,tease have admit be echo
Dllenahkh,Sadiri,0.8333333333333334,2.5,47.77777777777778,0.3333333333333333,have come condition seduce indoctrinate
Dllenahkh,Sadiri,0.8333333333333334,2.5,47.77777777777778,0.3333333333333333,have come condition seduce indoctrinate
Dllenahkh,Gilroy,0.0,1.6304347826086956,41.84782608695652,0.0,be
Cygnus Beta,Civil Service,4.166666666666666,1.7857142857142856,51.19047619047619,2.3333333333333335,be lead recommend
Dllenahkh,Sadiri,0.35714285714285715,3.214285714285714,50.71428571428571,0.1111111111111111,be guess be estimate be
Dr. Lanuri,Freyda,3.125,3.125,50.0,1.0,incline give
Freyda,Dllenahkh,0.9259259259259258,5.092592592592593,49.53703703703704,0.18181818181818182,bear have characterize
Freyda,Sadiri,0.9259259259259258,5.092592592592593,49.53703703703704,0.18181818181818182,bear have characterize
Dllenahkh,Sadiri,0.9259259259259258,5.092592592592593,49.53703703703704,0.18181818181818182,bear have characterize
Freyda,Dllenahkh,5.921052631578947,1.9736842105263157,60.526315789473685,3.0,wish say be give get know lead
Dr. Lanuri,Freyda,6.071428571428571,4.285714285714286,41.07142857142857,1.4166666666666667,wish dash smack
Dr. Lanuri,Sadiri,6.071428571428571,4.285714285714286,41.07142857142857,1.4166666666666667,wish dash smack
Freyda,Sadiri,6.071428571428571,4.285714285714286,41.07142857142857,1.4166666666666667,wish dash smack
Freyda,Dr. Lanuri,2.7777777777777777,2.256944444444444,58.854166666666664,1.2307692307692308,follow tease be wonder have imagine see get start hint be
Freyda,Dr. Lanuri,2.7777777777777777,2.256944444444444,58.854166666666664,1.2307692307692308,follow tease be wonder have imagine see get start hint be
Freyda,Dr. Lanuri,6.0606060606060606,1.5151515151515151,50.0,4.0,be go begin be
Sadiri,Cygnian,0.0,1.9230769230769231,59.61538461538461,0.0,think widow pine die remark refer
Dr. Lanuri,Freyda,5.46875,3.125,53.90625,1.75,look be
Dllenahkh,Sadiri,4.435483870967742,1.6129032258064515,55.24193548387096,2.75,be play be be
Freyda,Cygnian,0.0,0.5434782608695652,60.32608695652174,0.0,show fortify hide
Joral,Dllenahkh,1.8382352941176472,4.044117647058823,47.05882352941176,0.45454545454545453,get sit wait persuade let move
Freyda,Delarua,0.625,0.0,64.375,INF,seem be engage
Gilda,Dr. Lanuri,0.0,0.0,30.0,INF,be
Gilda,Freyda,0.0,0.0,30.0,INF,be
Dr. Lanuri,Freyda,0.0,0.0,30.0,INF,be
Gilda,Freyda,3.9473684210526314,2.631578947368421,51.31578947368421,1.5,hug make send get be drink
Gilda,Freyda,3.9473684210526314,2.631578947368421,51.31578947368421,1.5,hug make send get be drink
Gilda,Freyda,3.9473684210526314,2.631578947368421,51.31578947368421,1.5,hug make send get be drink
Gilda,Freyda,3.9473684210526314,2.631578947368421,51.31578947368421,1.5,hug make send get be drink
Sadiri,Dr. Lanuri,1.0204081632653061,2.295918367346939,45.66326530612245,0.4444444444444444,stand make absorb
Sadiri,Dllenahkh,1.0204081632653061,2.295918367346939,45.66326530612245,0.4444444444444444,stand make absorb
Sadiri,Joral,1.0204081632653061,2.295918367346939,45.66326530612245,0.4444444444444444,stand make absorb
Dr. Lanuri,Dllenahkh,1.0204081632653061,2.295918367346939,45.66326530612245,0.4444444444444444,stand make absorb
Dr. Lanuri,Joral,1.0204081632653061,2.295918367346939,45.66326530612245,0.4444444444444444,stand make absorb
Dllenahkh,Joral,1.0204081632653061,2.295918367346939,45.66326530612245,0.4444444444444444,stand make absorb
Freyda,Joral,5.263157894736842,1.9736842105263157,45.39473684210527,2.6666666666666665,miss say examine
Freyda,Sadiri,8.088235294117647,0.7352941176470588,50.0,11.0,believe find be
Freyda,Joral,3.125,4.017857142857143,39.285714285714285,0.7777777777777778,say be please chide
Freyda,Dllenahkh,3.125,4.017857142857143,39.285714285714285,0.7777777777777778,say be please chide
Freyda,Joral,3.125,4.017857142857143,39.285714285714285,0.7777777777777778,say be please chide
Freyda,Dllenahkh,3.125,4.017857142857143,39.285714285714285,0.7777777777777778,say be please chide
Joral,Dllenahkh,3.125,4.017857142857143,39.285714285714285,0.7777777777777778,say be please chide
Joral,Dllenahkh,0.0,1.5625,23.4375,0.0,say
Freyda,Sadiri,1.9736842105263157,1.9736842105263157,40.78947368421053,1.0,love remind admit be be go go go
Freyda,Sadiri,1.9736842105263157,1.9736842105263157,40.78947368421053,1.0,love remind admit be be go go go
Freyda,Sadiri,1.9736842105263157,1.9736842105263157,40.78947368421053,1.0,love remind admit be be go go go
Freyda,Sadiri,1.9736842105263157,1.9736842105263157,40.78947368421053,1.0,love remind admit be be go go go
Cygnian,Dllenahkh,1.7857142857142856,3.571428571428571,33.92857142857143,0.5,be be display warn
Delarua,Joral,3.571428571428571,7.142857142857142,39.285714285714285,0.5,be expect muse
Lian,Joral,0.0,0.0,48.0,INF,do get pole say
Lian,Joral,0.0,0.0,50.0,INF,go carry
Joral,Lian,3.8793103448275863,1.293103448275862,53.44827586206896,3.0,give be join come
Delarua,Lian,2.083333333333333,1.0416666666666665,46.875,2.0,be
Lian,Joral,6.8181818181818175,1.7045454545454544,43.75,4.0,be have be please do know be be assess meet
Nasiha,Dr. Daniyel,3.532608695652174,2.4456521739130435,48.369565217391305,1.4444444444444444,be bond be be leave be
Nasiha,Lian,3.532608695652174,2.4456521739130435,48.369565217391305,1.4444444444444444,be bond be be leave be
Nasiha,Lian,3.532608695652174,2.4456521739130435,48.369565217391305,1.4444444444444444,be bond be be leave be
Dr. Daniyel,Lian,3.532608695652174,2.4456521739130435,48.369565217391305,1.4444444444444444,be bond be be leave be
Dr. Daniyel,Lian,3.532608695652174,2.4456521739130435,48.369565217391305,1.4444444444444444,be bond be be leave be
Nasiha,Tarik,1.8518518518518516,0.9259259259259258,49.074074074074076,2.0,be secure hold
Nasiha,Sadiri,1.8518518518518516,0.9259259259259258,49.074074074074076,2.0,be secure hold
Nasiha,Interplanetary Science Council,1.8518518518518516,0.9259259259259258,49.074074074074076,2.0,be secure hold
Tarik,Sadiri,1.8518518518518516,0.9259259259259258,49.074074074074076,2.0,be secure hold
Tarik,Interplanetary Science Council,1.8518518518518516,0.9259259259259258,49.074074074074076,2.0,be secure hold
Sadiri,Interplanetary Science Council,1.8518518518518516,0.9259259259259258,49.074074074074076,2.0,be secure hold
Dr. Daniyel,Lian,0.0,0.625,59.375,0.0,be talk be make
Dr. Daniyel,Lian,0.0,0.625,59.375,0.0,be talk be make
Fergus,Joral,2.5735294117647056,0.3676470588235294,50.0,7.0,be bring need
Sadiri,Interplanetary Science Council,2.941176470588235,3.1862745098039214,52.69607843137255,0.9230769230769231,be remain
Sadiri,Civil Service,2.941176470588235,3.1862745098039214,52.69607843137255,0.9230769230769231,be remain
Interplanetary Science Council,Civil Service,2.941176470588235,3.1862745098039214,52.69607843137255,0.9230769230769231,be remain
Interplanetary Science Council,Sadiri,2.941176470588235,3.1862745098039214,52.69607843137255,0.9230769230769231,be remain
Civil Service,Sadiri,2.941176470588235,3.1862745098039214,52.69607843137255,0.9230769230769231,be remain
Fergus,Dr. Daniyel,0.0,0.0,55.55555555555556,INF,board help
Dr. Daniyel,Cygnian,2.989130434782609,0.0,57.88043478260869,INF,have visit have register accord have resemble be
Tarik,Nasiha,1.4285714285714286,1.7857142857142856,53.92857142857142,0.8,go speak record have accomplish
