NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Mazda,Jimmy,0.9615384615384616,0.4807692307692308,67.78846153846155,2.0,create feed
Slidell,Mazda,1.6129032258064515,0.0,43.54838709677419,INF,pull remove lower eye devastate
Slidell,Mazda,1.6129032258064515,0.0,43.54838709677419,INF,pull remove lower eye devastate
Dom Rockett,Rockett,1.875,0.625,57.49999999999999,3.0,be think expand branch include
Dom Rockett,Rockett,8.653846153846153,2.403846153846154,42.78846153846153,3.6,say be have think sell say
Slidell,John-Henry Story,0.0,0.0,25.0,INF,draw
Slidell,Jane Doe,0.0,0.0,20.0,INF,
Slidell,Larabee,6.25,2.5,51.24999999999999,2.5,be shift
Slidell,Larabee,1.6666666666666667,0.0,51.66666666666667,INF,be peer crimp
Slidell,Larabee,0.0,4.807692307692308,64.42307692307693,0.0,make choose interpret
Slidell,Larabee,0.0,0.0,57.14285714285714,INF,pooch
Slidell,Larabee,4.166666666666666,1.3888888888888888,38.88888888888889,3.0,be turn
Slidell,Larabee,0.0,0.0,60.0,INF,pull begin take
Slidell,Larabee,0.0,0.0,50.0,INF,twist
Slidell,Larabee,0.0,0.0,50.0,INF,do
Slidell,Larabee,0.0,0.0,50.0,INF,park
Slidell,Larabee,0.0,0.0,50.0,INF,park
Jane Doe,Larabee,0.78125,0.0,49.21875,INF,loop have leave
Dew,Dominick Rockett,2.8846153846153846,3.8461538461538463,77.88461538461539,0.75,suggest be thaw
Rockett,Dr. Brennan,0.0,0.0,30.0,INF,have meet
Dom Rockett,Rockett,0.0,2.272727272727273,43.18181818181818,0.0,suffer leave scar
Slidell,Dew,4.166666666666666,0.0,51.388888888888886,INF,have glue
Pete,Boyd,1.4705882352941175,0.7352941176470588,44.85294117647059,2.0,travel be
Pete,Boyd,1.4705882352941175,0.7352941176470588,44.85294117647059,2.0,travel be
Birdie,Pete,0.0,0.0,40.0,INF,bunk be
Pete,Katy,0.4807692307692308,2.403846153846154,54.807692307692314,0.2,have come signal concern
Marine Corps,Coop,1.8518518518518516,0.9259259259259258,67.5925925925926,2.0,complete have join volunteer
Coop,Katy,1.25,4.375,54.37499999999999,0.2857142857142857,be fly blow
Coop,Katy,1.25,4.375,54.37499999999999,0.2857142857142857,be fly blow
Katy,Coop,1.25,4.375,54.37499999999999,0.2857142857142857,be fly blow
Katy,Coop,0.0,0.0,62.5,INF,be devastate
Katy,Coop,1.8518518518518516,1.8518518518518516,44.44444444444444,1.0,have exclude bar hold
Coop,Katy,1.8518518518518516,1.8518518518518516,44.44444444444444,1.0,have exclude bar hold
Coop,Katy,1.8518518518518516,1.8518518518518516,44.44444444444444,1.0,have exclude bar hold
Pete,Katy,0.0,0.0,60.0,INF,be tell enlist
Pete,Katy,12.5,3.125,34.375,4.0,have call
Pete,Katy,0.0,0.0,53.84615384615385,INF,have do talk
Pete,Katy,0.0,0.0,53.84615384615385,INF,have do talk
Queens University,Pete,1.3297872340425532,0.0,58.24468085106383,INF,wing shoot brake
Queens University,Sharon Hall,1.3297872340425532,0.0,58.24468085106383,INF,wing shoot brake
Pete,Sharon Hall,1.3297872340425532,0.0,58.24468085106383,INF,wing shoot brake
Birdie,Gran,1.1363636363636365,1.1363636363636365,70.45454545454545,1.0,find hold
Monsieur Le Dick,Pete,1.5,1.5,37.0,1.0,
Monsieur Le Dick,Ryan,1.5,1.5,37.0,1.0,
Pete,Ryan,1.5,1.5,37.0,1.0,
Ryan,Pete,4.166666666666666,0.5952380952380952,38.095238095238095,7.0,be finish be
Slidell,Larabee,0.0,6.944444444444445,37.5,0.0,get
Pete,Slidell,0.0,0.0,38.46153846153847,INF,meet know be
Pete,Marine Corps,1.25,0.0,68.75,INF,have serve keep
Marine Corps,Pete,1.25,0.0,68.75,INF,have serve keep
Ryan,Pete,0.0,0.0,33.33333333333333,INF,morph
Katy,Skype,1.5625,0.78125,41.40625,2.0,be schedule skype put
Skype,Katy,1.5625,0.78125,41.40625,2.0,be schedule skype put
Katy,Skype,4.464285714285714,0.8928571428571428,37.5,5.0,return check skype
Harry,Katy,0.0,1.9230769230769231,59.61538461538461,0.0,
Jane Doe,MCME,4.464285714285714,1.7857142857142856,50.89285714285714,2.5,knot think
Slidell,Doe Network,3.571428571428571,5.357142857142857,41.07142857142857,0.6666666666666666,ignore tell
Stallings,Slidell,6.944444444444445,1.3888888888888888,47.22222222222222,5.0,have stalk
Slidell,Dew,17.1875,6.25,26.5625,2.75,miss
Dew,Nikon,0.0,0.0,60.0,INF,pull waggle
Dew,Slidell,0.8928571428571428,0.0,70.53571428571429,INF,be hit
Rockett,S&S Enterprises,2.840909090909091,1.1363636363636365,55.11363636363637,2.5,have discover have call
S&S Enterprises,John-Henry Story,3.289473684210526,1.3157894736842104,48.026315789473685,2.5,be name
Dominick Rockett,S&S Enterprises,2.8846153846153846,5.769230769230769,45.19230769230769,0.5,suspect be involve
S&S Enterprises,John-Henry Story,2.6785714285714284,1.7857142857142856,59.82142857142857,1.5,be own
Jane Doe,John-Henry Story,0.0,0.0,46.15384615384615,INF,be carry die
John-Henry Story,Jane Doe,0.0,0.0,46.15384615384615,INF,be carry die
Katy,Skype,1.0416666666666665,6.25,42.70833333333333,0.16666666666666666,fail skype
Dom Rockett,S&S Enterprises,6.730769230769231,1.9230769230769231,37.5,3.5,do get buy
John-Henry Story,Dom Rockett,0.0,0.0,63.63636363636363,INF,be invest
Dominick Rockett,John-Henry Story,8.928571428571429,0.0,48.214285714285715,INF,do know
Dew,Jane Doe,6.25,3.125,32.29166666666667,2.0,refuse help
S&S Enterprises,John-Henry Story,1.3888888888888888,0.6944444444444444,59.02777777777778,2.0,be own
S&S Enterprises,John-Henry Story,1.3888888888888888,0.6944444444444444,59.02777777777778,2.0,be own
S&S Enterprises,Archer,1.3888888888888888,0.6944444444444444,59.02777777777778,2.0,be own
John-Henry Story,Archer,1.3888888888888888,0.6944444444444444,59.02777777777778,2.0,be own
John-Henry Story,Archer,1.3888888888888888,0.6944444444444444,59.02777777777778,2.0,be own
