NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Victoria,Malcolm,2.5,2.5,48.333333333333336,1.0,have get
Victoria,Malcolm,5.288461538461538,0.9615384615384616,59.13461538461539,5.5,have be have get throw try get
Malcolm,Victoria,2.0,1.5,56.49999999999999,1.3333333333333333,be demand threaten be want be
Malcolm,Victoria,2.0,1.5,56.49999999999999,1.3333333333333333,be demand threaten be want be
Malcolm,Victoria,2.0,1.5,56.49999999999999,1.3333333333333333,be demand threaten be want be
Malcolm,Victoria,7.894736842105263,1.9736842105263157,48.026315789473685,4.0,understand make
Victoria,Malcolm,6.25,0.0,38.75,INF,grit
Victoria,Malcolm,6.25,0.0,38.75,INF,grit
Malcolm,Victoria,2.083333333333333,8.333333333333332,45.13888888888889,0.25,have face be force work dread
Victoria,Malcolm,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Victoria,Malcolm,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Victoria,Malcolm,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Malcolm,Victoria,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Malcolm,Victoria,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Malcolm,Victoria,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Victoria,Malcolm,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Victoria,Malcolm,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Malcolm,Victoria,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Malcolm,Victoria,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Victoria,Malcolm,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Victoria,Malcolm,2.734375,5.078125,39.0625,0.5384615384615384,be be manage ignite know have
Victoria,Malcolm,0.5208333333333333,1.5625,43.75,0.3333333333333333,do care be arrest exist accord
Victoria,Malcolm,0.5208333333333333,1.5625,43.75,0.3333333333333333,do care be arrest exist accord
Victoria,Malcolm,0.5208333333333333,1.5625,43.75,0.3333333333333333,do care be arrest exist accord
Victoria,Malcolm,2.272727272727273,1.1363636363636365,69.31818181818183,2.0,get arrest be be be
Victoria,Malcolm,3.308823529411765,1.8382352941176472,50.73529411764706,1.8,know be terrify yell seem compare be
Victoria,Malcolm,3.308823529411765,1.8382352941176472,50.73529411764706,1.8,know be terrify yell seem compare be
Victoria,Malcolm,4.464285714285714,0.0,38.392857142857146,INF,say
Victoria,Malcolm,0.0,0.0,50.0,INF,glance speak own
Victoria,Malcolm,0.0,0.0,50.0,INF,glance speak own
Malcolm,Victoria,3.6764705882352944,4.411764705882353,44.85294117647059,0.8333333333333334,notice encircle massage
Malcolm,Victoria,3.6764705882352944,4.411764705882353,44.85294117647059,0.8333333333333334,notice encircle massage
Malcolm,Victoria,3.6764705882352944,4.411764705882353,44.85294117647059,0.8333333333333334,notice encircle massage
Victoria,Malcolm,3.6764705882352944,4.411764705882353,44.85294117647059,0.8333333333333334,notice encircle massage
Malcolm,Victoria,3.6764705882352944,4.411764705882353,44.85294117647059,0.8333333333333334,notice encircle massage
Malcolm,Victoria,3.6764705882352944,4.411764705882353,44.85294117647059,0.8333333333333334,notice encircle massage
Victoria,Malcolm,0.8928571428571428,1.7857142857142856,61.60714285714286,0.5,pull find be
Victoria,Malcolm,0.0,1.3392857142857142,52.23214285714286,0.0,be treat hold say
Victoria,Malcolm,3.8461538461538463,5.769230769230769,36.53846153846153,0.6666666666666666,wrinkle allow continue
Victoria,Malcolm,3.8461538461538463,5.769230769230769,36.53846153846153,0.6666666666666666,wrinkle allow continue
Malcolm,Victoria,3.8461538461538463,5.769230769230769,36.53846153846153,0.6666666666666666,wrinkle allow continue
Malcolm,Victoria,6.666666666666667,0.0,53.333333333333336,INF,be be touch care admit
Malcolm,Victoria,2.840909090909091,1.7045454545454544,63.63636363636363,1.6666666666666667,seem care think dismiss
Victoria,Malcolm,3.804347826086957,3.260869565217391,36.41304347826087,1.1666666666666667,retun gaze be be terrify
Victoria,Malcolm,3.804347826086957,3.260869565217391,36.41304347826087,1.1666666666666667,retun gaze be be terrify
Malcolm,Victoria,3.804347826086957,3.260869565217391,36.41304347826087,1.1666666666666667,retun gaze be be terrify
Malcolm,Victoria,3.804347826086957,3.260869565217391,36.41304347826087,1.1666666666666667,retun gaze be be terrify
Malcolm,Victoria,5.555555555555555,9.027777777777777,52.083333333333336,0.6153846153846154,cross grow gaze
Malcolm,Victoria,5.555555555555555,9.027777777777777,52.083333333333336,0.6153846153846154,cross grow gaze
Malcolm,Victoria,5.555555555555555,9.027777777777777,52.083333333333336,0.6153846153846154,cross grow gaze
Victoria,Malcolm,0.78125,0.78125,35.9375,1.0,clench fill flush
Malcolm,Victoria,0.78125,0.78125,35.9375,1.0,clench fill flush
Malcolm,Victoria,0.78125,0.78125,35.9375,1.0,clench fill flush
Malcolm,Victoria,0.0,0.0,60.0,INF,turn grab drag
Malcolm,Victoria,0.0,0.0,60.0,INF,turn grab drag
Malcolm,Victoria,0.0,0.0,60.0,INF,turn grab drag
Malcolm,Victoria,0.0,0.0,60.0,INF,turn grab drag
Victoria,Malcolm,0.0,0.0,37.5,INF,follow
Victoria,Malcolm,4.891304347826087,2.717391304347826,48.91304347826087,1.8,have help need find get
Victoria,Malcolm,4.891304347826087,2.717391304347826,48.91304347826087,1.8,have help need find get
Malcolm,Victoria,4.891304347826087,2.717391304347826,48.91304347826087,1.8,have help need find get
Victoria,Malcolm,4.891304347826087,2.717391304347826,48.91304347826087,1.8,have help need find get
Victoria,Malcolm,3.125,3.125,43.75,1.0,find want keep blackmail
Victoria,Malcolm,3.125,3.125,43.75,1.0,find want keep blackmail
Malcolm,Victoria,3.125,3.125,43.75,1.0,find want keep blackmail
Malcolm,Victoria,3.125,3.125,43.75,1.0,find want keep blackmail
Victoria,Malcolm,8.552631578947368,1.9736842105263157,47.368421052631575,4.333333333333333,look wonder be read
Victoria,Malcolm,8.552631578947368,1.9736842105263157,47.368421052631575,4.333333333333333,look wonder be read
Malcolm,Victoria,8.552631578947368,1.9736842105263157,47.368421052631575,4.333333333333333,look wonder be read
Malcolm,Victoria,8.552631578947368,1.9736842105263157,47.368421052631575,4.333333333333333,look wonder be read
Victoria,Malcolm,4.166666666666666,0.0,45.83333333333333,INF,snap pull
Victoria,Malcolm,4.166666666666666,0.0,45.83333333333333,INF,snap pull
Victoria,Malcolm,4.166666666666666,0.0,45.83333333333333,INF,snap pull
Malcolm,Victoria,0.0,0.0,50.0,INF,shove rotate move pin
Malcolm,Victoria,0.0,0.0,50.0,INF,shove rotate move pin
Malcolm,Victoria,0.0,0.0,53.333333333333336,INF,glare move be
Victoria,Malcolm,0.0,0.0,53.333333333333336,INF,glare move be
Malcolm,Victoria,0.5208333333333333,0.5208333333333333,57.291666666666664,1.0,do look say reach touch
Malcolm,Victoria,0.5208333333333333,0.5208333333333333,57.291666666666664,1.0,do look say reach touch
Victoria,Malcolm,0.0,3.125,46.875,0.0,flinch send
Victoria,Malcolm,0.0,3.125,46.875,0.0,flinch send
Malcolm,Victoria,4.545454545454546,2.272727272727273,47.72727272727273,2.0,cross narrow
Malcolm,Victoria,4.545454545454546,2.272727272727273,47.72727272727273,2.0,cross narrow
Malcolm,Victoria,4.545454545454546,2.272727272727273,47.72727272727273,2.0,cross narrow
Victoria,Malcolm,2.941176470588235,1.4705882352941175,30.88235294117647,2.0,catch turn
Victoria,Malcolm,2.941176470588235,1.4705882352941175,30.88235294117647,2.0,catch turn
Victoria,Malcolm,0.0,5.357142857142857,44.642857142857146,0.0,cross slap
Malcolm,Victoria,6.25,3.125,28.125,2.0,look
Victoria,Malcolm,0.78125,0.0,55.46875,INF,tell be
Victoria,Malcolm,4.166666666666666,1.5151515151515151,48.86363636363637,2.75,know be be be make hide
Victoria,Malcolm,4.166666666666666,1.5151515151515151,48.86363636363637,2.75,know be be be make hide
Victoria,Malcolm,1.9230769230769231,2.8846153846153846,41.34615384615385,0.6666666666666666,be pique find examine
Victoria,Malcolm,1.9230769230769231,2.8846153846153846,41.34615384615385,0.6666666666666666,be pique find examine
Malcolm,Victoria,2.941176470588235,8.823529411764707,35.294117647058826,0.3333333333333333,do tell
Malcolm,Victoria,3.90625,1.5625,44.53125,2.5,take find nod
Malcolm,Victoria,3.90625,1.5625,44.53125,2.5,take find nod
Victoria,Malcolm,4.761904761904762,6.547619047619048,36.30952380952381,0.7272727272727273,have avert see be bear
Victoria,Malcolm,4.761904761904762,6.547619047619048,36.30952380952381,0.7272727272727273,have avert see be bear
Malcolm,Victoria,4.761904761904762,6.547619047619048,36.30952380952381,0.7272727272727273,have avert see be bear
Victoria,Malcolm,4.464285714285714,0.0,45.535714285714285,INF,have fight reach touch
Malcolm,Victoria,5.0,12.5,42.5,0.4,have hurt
Victoria,Malcolm,4.375,4.375,46.25,1.0,feel gaze
Victoria,Malcolm,4.375,4.375,46.25,1.0,feel gaze
Malcolm,Victoria,4.375,4.375,46.25,1.0,feel gaze
Victoria,Malcolm,9.523809523809524,2.380952380952381,30.952380952380953,4.0,understand find do help
Victoria,Malcolm,9.523809523809524,2.380952380952381,30.952380952380953,4.0,understand find do help
Victoria,Malcolm,9.523809523809524,2.380952380952381,30.952380952380953,4.0,understand find do help
Malcolm,Victoria,9.523809523809524,2.380952380952381,30.952380952380953,4.0,understand find do help
Malcolm,Victoria,9.523809523809524,2.380952380952381,30.952380952380953,4.0,understand find do help
Victoria,Malcolm,9.523809523809524,2.380952380952381,30.952380952380953,4.0,understand find do help
Victoria,Malcolm,3.571428571428571,0.0,53.57142857142857,INF,attempt recoil hold
Malcolm,Victoria,3.571428571428571,0.0,53.57142857142857,INF,attempt recoil hold
Malcolm,Victoria,0.0,0.0,47.368421052631575,INF,turn look be meet gaze
Victoria,Malcolm,0.0,0.0,47.368421052631575,INF,turn look be meet gaze
Victoria,Malcolm,0.9615384615384616,3.8461538461538463,49.03846153846153,0.25,feel grow melt
Victoria,Malcolm,0.9615384615384616,3.8461538461538463,49.03846153846153,0.25,feel grow melt
Victoria,Malcolm,0.9615384615384616,3.8461538461538463,49.03846153846153,0.25,feel grow melt
Victoria,Malcolm,4.861111111111112,2.083333333333333,43.05555555555556,2.3333333333333335,try conjure find
Malcolm,Victoria,4.861111111111112,2.083333333333333,43.05555555555556,2.3333333333333335,try conjure find
Malcolm,Victoria,5.921052631578947,3.9473684210526314,42.76315789473684,1.5,descend be find pull
Victoria,Malcolm,1.9230769230769231,0.0,44.230769230769226,INF,be set brush
Malcolm,Victoria,0.9615384615384616,3.8461538461538463,25.961538461538463,0.25,whisper be
Malcolm,Victoria,0.9615384615384616,3.8461538461538463,25.961538461538463,0.25,whisper be
Malcolm,Victoria,0.0,0.0,36.36363636363637,INF,kiss pull
Malcolm,Victoria,0.0,0.0,36.36363636363637,INF,kiss pull
Victoria,Malcolm,0.0,0.0,36.36363636363637,INF,kiss pull
Victoria,Malcolm,0.0,0.0,36.36363636363637,INF,kiss pull
Victoria,Malcolm,3.571428571428571,0.0,53.57142857142857,INF,ask crane give
Victoria,Malcolm,3.571428571428571,0.0,53.57142857142857,INF,ask crane give
Victoria,Malcolm,3.571428571428571,0.0,53.57142857142857,INF,ask crane give
Victoria,Malcolm,0.8333333333333334,10.0,42.5,0.08333333333333333,feel sink moan
Malcolm,Victoria,0.8333333333333334,10.0,42.5,0.08333333333333333,feel sink moan
Malcolm,Victoria,7.5,0.0,59.166666666666664,INF,travel cup
Victoria,Malcolm,7.5,0.0,59.166666666666664,INF,travel cup
Victoria,Malcolm,6.521739130434782,7.065217391304348,47.28260869565217,0.9230769230769231,do want feel be find
Victoria,Malcolm,2.5,3.125,49.375,0.8,see feel
Victoria,Malcolm,2.5,3.125,49.375,0.8,see feel
Malcolm,Victoria,2.5,3.125,49.375,0.8,see feel
Malcolm,Victoria,2.5,3.125,49.375,0.8,see feel
Victoria,Malcolm,0.0,5.833333333333333,60.83333333333333,0.0,be fill seem
Malcolm,Victoria,5.88235294117647,0.0,58.82352941176471,INF,look care want have do
Malcolm,Victoria,5.88235294117647,0.0,58.82352941176471,INF,look care want have do
Victoria,Malcolm,5.88235294117647,0.0,58.82352941176471,INF,look care want have do
Malcolm,Victoria,4.411764705882353,8.088235294117647,46.32352941176471,0.5454545454545454,have hurt do wish cause
Malcolm,Victoria,4.411764705882353,8.088235294117647,46.32352941176471,0.5454545454545454,have hurt do wish cause
