NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Clara,Gamache,0.9615384615384616,0.0,60.57692307692307,INF,get see do
Clara,Gamache,3.4090909090909087,3.4090909090909087,29.545454545454547,1.0,notice mark
Gamache,Clara,0.0,0.0,50.0,INF,place see
Gamache,Clara,0.0,0.0,50.0,INF,place see
Clara,Gamache,3.0172413793103448,1.293103448275862,54.310344827586206,2.3333333333333335,ask join overlook
Clara,Gamache,3.0172413793103448,1.293103448275862,54.310344827586206,2.3333333333333335,ask join overlook
Gamache,Clara,3.0172413793103448,1.293103448275862,54.310344827586206,2.3333333333333335,ask join overlook
Clara,Gamache,3.0172413793103448,1.293103448275862,54.310344827586206,2.3333333333333335,ask join overlook
Gamache,Reine-Marie,0.0,0.0,42.10526315789473,INF,go
Gamache,Henri,0.0,0.0,42.10526315789473,INF,go
Gamache,Reine-Marie,0.0,0.0,42.10526315789473,INF,go
Gamache,Henri,0.0,0.0,42.10526315789473,INF,go
Reine-Marie,Henri,0.0,0.0,42.10526315789473,INF,go
Gamache,Henri,0.0,0.0,55.00000000000001,INF,head listen fetch
Gamache,Reine-Marie,0.0,0.0,55.00000000000001,INF,head listen fetch
Henri,Gamache,0.0,0.0,55.00000000000001,INF,head listen fetch
Henri,Reine-Marie,0.0,0.0,55.00000000000001,INF,head listen fetch
Gamache,Reine-Marie,0.0,0.0,55.00000000000001,INF,head listen fetch
Clara,Gamache,0.0,0.0,50.0,INF,have take join
Clara,Gamache,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Clara,Reine-Marie,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Clara,Henri,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Clara,Reine-Marie,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Gamache,Reine-Marie,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Gamache,Henri,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Gamache,Reine-Marie,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Reine-Marie,Henri,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Henri,Reine-Marie,4.0,3.0,45.0,1.3333333333333333,be notice have leave think be
Clara,Reine-Marie,5.147058823529411,0.0,41.911764705882355,INF,have become know
Clara,Reine-Marie,5.147058823529411,0.0,41.911764705882355,INF,have become know
Gamache,Sarah,1.1363636363636365,0.0,53.40909090909091,INF,watch open
Gamache,Sarah,1.1363636363636365,0.0,53.40909090909091,INF,watch open
Sarah,Monsieur Béliveau,5.0,0.0,51.0,INF,pause wipe exchange be open
Sarah,Gamache,5.0,0.0,51.0,INF,pause wipe exchange be open
Sarah,Monsieur Béliveau,5.0,0.0,51.0,INF,pause wipe exchange be open
Sarah,Gamache,5.0,0.0,51.0,INF,pause wipe exchange be open
Sarah,Monsieur Béliveau,5.0,0.0,51.0,INF,pause wipe exchange be open
Sarah,Gamache,5.0,0.0,51.0,INF,pause wipe exchange be open
Monsieur Béliveau,Gamache,5.0,0.0,51.0,INF,pause wipe exchange be open
Ruth,Rosa,0.0,2.083333333333333,42.36111111111111,0.0,limp follow
Ruth,Rosa,0.0,2.083333333333333,42.36111111111111,0.0,limp follow
Rosa,Ruth,0.0,2.083333333333333,42.36111111111111,0.0,limp follow
Gamache,Ruth,3.125,1.5625,45.3125,2.0,see
Clara,Myrna,3.90625,3.125,36.71875,1.25,think be stop
Clara,Myrna,3.90625,3.125,36.71875,1.25,think be stop
Clara,Myrna,3.90625,3.125,36.71875,1.25,think be stop
Clara,Myrna,3.90625,3.125,36.71875,1.25,think be stop
Clara,Gamache,0.8928571428571428,0.0,34.82142857142857,INF,have come determine say
Clara,Gamache,1.875,3.75,49.375,0.5,make leave determine return
Gamache,Clara,5.113636363636364,1.7045454545454544,61.36363636363637,3.0,be be suspect
Gamache,Clara,5.113636363636364,1.7045454545454544,61.36363636363637,3.0,be be suspect
Gamache,Clara,0.0,0.0,47.82608695652174,INF,rise do see write carve
Gamache,Clara,0.0,0.0,47.82608695652174,INF,rise do see write carve
Gamache,Clara,0.0,0.0,47.82608695652174,INF,rise do see write carve
Clara,Gamache,3.4090909090909087,0.0,69.31818181818183,INF,think want shake
Clara,Gamache,9.375,0.0,53.125,INF,realize be
Gamache,Clara,5.681818181818182,0.0,48.86363636363637,INF,be invite place
Gamache,Clara,5.681818181818182,0.0,48.86363636363637,INF,be invite place
Clara,Gamache,5.681818181818182,0.0,48.86363636363637,INF,be invite place
Clara,Gamache,5.681818181818182,0.0,48.86363636363637,INF,be invite place
Clara,Gamache,6.25,3.125,28.125,2.0,look
Olivier,Reine-Marie,0.0,0.0,50.0,INF,place
Clara,Olivier,1.3888888888888888,1.3888888888888888,36.11111111111111,1.0,be say look
Olivier,Clara,0.0,0.0,55.55555555555556,INF,follow gaze mullion
Ruth,Olivier,6.61764705882353,2.2058823529411766,50.0,3.0,do know be talk say
Reine-Marie,Clara,0.0,0.0,37.5,INF,sit
Clara,Gamache,6.25,0.0,52.083333333333336,INF,have move take
Olivier,Gabri,0.0,4.166666666666666,54.166666666666664,0.0,collect tolerate
Olivier,Gabri,0.0,4.166666666666666,54.166666666666664,0.0,collect tolerate
Olivier,Gabri,3.8461538461538463,1.4423076923076923,44.71153846153847,2.6666666666666665,keep leave
Olivier,Gabri,3.8461538461538463,1.4423076923076923,44.71153846153847,2.6666666666666665,keep leave
Reine-Marie,Olivier,4.166666666666666,0.0,55.092592592592595,INF,think be restrain be
Reine-Marie,Olivier,4.166666666666666,0.0,55.092592592592595,INF,think be restrain be
Reine-Marie,Ruth,1.953125,2.734375,48.4375,0.7142857142857143,pick sip watch mutter
Reine-Marie,Rosa,1.953125,2.734375,48.4375,0.7142857142857143,pick sip watch mutter
Ruth,Rosa,1.953125,2.734375,48.4375,0.7142857142857143,pick sip watch mutter
Reine-Marie,Ruth,4.166666666666666,1.893939393939394,51.515151515151516,2.2,love think watch sit be use live be use
Reine-Marie,Rosa,4.166666666666666,1.893939393939394,51.515151515151516,2.2,love think watch sit be use live be use
Ruth,Rosa,4.166666666666666,1.893939393939394,51.515151515151516,2.2,love think watch sit be use live be use
Gamache,Nietzsche,0.0,0.0,41.17647058823529,INF,know be quote
Gamache,Nietzsche,0.0,0.0,41.17647058823529,INF,know be quote
Gamache,Emily Dickinson,3.804347826086957,0.5434782608695652,65.21739130434783,7.0,look make attribute
Gamache,Emily Dickinson,3.804347826086957,0.5434782608695652,65.21739130434783,7.0,look make attribute
Gamache,Clara,1.3157894736842104,1.9736842105263157,38.81578947368421,0.6666666666666666,gaze travel sit
Gamache,Clara,0.0,0.0,0.0,INF,
Ruth,Rosa,0.0,0.0,50.0,INF,
Ruth,Rosa,6.61764705882353,2.2058823529411766,38.23529411764706,3.0,know be talk say
Ruth,Myrna,6.61764705882353,2.2058823529411766,38.23529411764706,3.0,know be talk say
Rosa,Myrna,6.61764705882353,2.2058823529411766,38.23529411764706,3.0,know be talk say
Ruth,Rosa,0.0,0.0,25.0,INF,sit say
Ruth,Reine-Marie,0.0,0.0,25.0,INF,sit say
Rosa,Reine-Marie,0.0,0.0,25.0,INF,sit say
