NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
McKenna,Partials,0.7211538461538461,1.201923076923077,46.15384615384615,0.6,learn be name refer create grow wage win
Kira,Arwen,4.605263157894736,0.9868421052631579,47.03947368421053,4.666666666666667,know have find have save live
Kira,Arwen,4.605263157894736,0.9868421052631579,47.03947368421053,4.666666666666667,know have find have save live
Kira,Arwen,4.605263157894736,0.9868421052631579,47.03947368421053,4.666666666666667,know have find have save live
Kira,Partials,2.6515151515151514,3.0303030303030303,45.83333333333333,0.875,turn be rattle want bend
Partials,Kira,2.7777777777777777,0.6944444444444444,52.083333333333336,4.0,be be terrify sweep look take be
Kira,Morgan,1.25,0.0,48.75,INF,want know do be
Morgan,Kira,1.25,0.0,48.75,INF,want know do be
Morgan,Kira,5.208333333333334,0.0,44.79166666666667,INF,think help cure
Tovar,Haru,3.2407407407407405,0.0,48.61111111111111,INF,glance have deliver look
Tovar,Mkele,3.2407407407407405,0.0,48.61111111111111,INF,glance have deliver look
Haru,Mkele,3.2407407407407405,0.0,48.61111111111111,INF,glance have deliver look
Haru,Mkele,6.640625,0.78125,55.078125,8.5,have see be reassure be
Mkele,Haru,6.640625,0.78125,55.078125,8.5,have see be reassure be
Mkele,Haru,6.640625,0.78125,55.078125,8.5,have see be reassure be
Delarosa,Haru,2.7777777777777777,5.555555555555555,41.66666666666667,0.5,know say
Delarosa,Partials,4.6875,3.125,35.9375,1.5,be be say
Delarosa,Haru,4.6875,3.125,35.9375,1.5,be be say
Partials,Haru,4.6875,3.125,35.9375,1.5,be be say
Delarosa,Hobb,5.0,0.0,41.66666666666667,INF,like be say
Haru,Tovar,0.0,0.0,71.42857142857143,INF,shoot
Hobb,Haru,0.0,0.0,33.33333333333333,INF,do beat say
Hobb,Mkele,4.166666666666666,3.3333333333333335,59.166666666666664,1.25,splutter glance
Hobb,Haru,4.166666666666666,3.3333333333333335,59.166666666666664,1.25,splutter glance
Mkele,Haru,4.166666666666666,3.3333333333333335,59.166666666666664,1.25,splutter glance
Mkele,Hobb,0.0,0.9615384615384616,45.19230769230769,0.0,glare shrug
Mkele,Tovar,0.0,0.9615384615384616,45.19230769230769,0.0,glare shrug
Mkele,Tovar,0.0,0.9615384615384616,45.19230769230769,0.0,glare shrug
Hobb,Tovar,0.0,0.9615384615384616,45.19230769230769,0.0,glare shrug
Hobb,Tovar,0.0,0.9615384615384616,45.19230769230769,0.0,glare shrug
Mkele,Tovar,1.0,1.0,46.0,1.0,say set
Tovar,Arleigh Burke,2.857142857142857,1.0714285714285714,47.5,2.6666666666666665,be say use
Arleigh Burke,Tovar,0.0,0.0,42.857142857142854,INF,be outfit say
Haru,Tovar,2.6515151515151514,2.6515151515151514,67.42424242424242,1.0,grimace marvel have be consider suppose be
Partials,Hobb,2.8846153846153846,0.0,43.269230769230774,INF,be destroy say
Partials,Hobb,2.6785714285714284,0.0,47.32142857142857,INF,be go repeat
Haru,Hobb,0.0,5.113636363636364,40.340909090909086,0.0,do think be grasp say cut
Hobb,Haru,0.0,5.113636363636364,40.340909090909086,0.0,do think be grasp say cut
Partials,Mkele,1.1363636363636365,4.545454545454546,30.681818181818183,0.25,catch say
Hobb,Mkele,7.638888888888889,6.25,36.11111111111111,1.2222222222222223,be exaggerate be move say
Tovar,Haru,0.0,5.5,34.5,0.0,lose say see be
Haru,Tovar,0.0,5.5,34.5,0.0,lose say see be
Haru,Delarosa,0.0,0.0,42.857142857142854,INF,die be have evacuate say detonate
Hobb,Mkele,0.8333333333333334,3.3333333333333335,42.5,0.25,use say
Partials,Hobb,2.0,2.5,43.5,0.8,create overthrow have do say
Mkele,Haru,0.0,0.0,40.0,INF,shake
Delarosa,Tovar,1.6666666666666667,3.3333333333333335,41.66666666666667,0.5,have be do go die say
Haru,Madison,3.90625,1.5625,38.28125,2.5,think
Haru,Madison,3.90625,1.5625,38.28125,2.5,think
Haru,Madison,3.90625,1.5625,38.28125,2.5,think
Madison,Haru,3.90625,1.5625,38.28125,2.5,think
Haru,Arwen,3.787878787878788,6.0606060606060606,47.72727272727273,0.625,bear think leave be be become
Haru,Mkele,3.787878787878788,6.0606060606060606,47.72727272727273,0.625,bear think leave be be become
Arwen,Mkele,3.787878787878788,6.0606060606060606,47.72727272727273,0.625,bear think leave be be become
Arwen,Kira,2.82258064516129,2.82258064516129,62.096774193548384,1.0,be have find have be replicate
Arwen,Partials,2.82258064516129,2.82258064516129,62.096774193548384,1.0,be have find have be replicate
Kira,Partials,2.82258064516129,2.82258064516129,62.096774193548384,1.0,be have find have be replicate
Partials,Mkele,1.0869565217391304,0.5434782608695652,37.5,2.0,be be say
Delarosa,Mkele,0.8928571428571428,0.0,41.964285714285715,INF,be try save say
Tovar,Hobb,0.0,4.464285714285714,59.82142857142857,0.0,look start
Mkele,Haru,0.7352941176470588,0.0,69.85294117647058,INF,turn stare nod
Mkele,Tovar,0.0,0.9615384615384616,52.88461538461539,0.0,turn throw
Mkele,Haru,0.0,0.9615384615384616,52.88461538461539,0.0,turn throw
Tovar,Haru,0.0,0.9615384615384616,52.88461538461539,0.0,turn throw
Haru,Kira,0.6578947368421052,1.0964912280701753,52.63157894736842,0.6,know be be say be seem kill
Haru,Kira,0.6578947368421052,1.0964912280701753,52.63157894736842,0.6,know be be say be seem kill
Haru,Kira,0.6578947368421052,1.0964912280701753,52.63157894736842,0.6,know be be say be seem kill
Haru,Partials,0.6578947368421052,1.0964912280701753,52.63157894736842,0.6,know be be say be seem kill
Kira,Partials,0.6578947368421052,1.0964912280701753,52.63157894736842,0.6,know be be say be seem kill
Kira,Partials,0.6578947368421052,1.0964912280701753,52.63157894736842,0.6,know be be say be seem kill
Kira,Partials,0.6578947368421052,1.0964912280701753,52.63157894736842,0.6,know be be say be seem kill
Tovar,Haru,3.6290322580645165,1.6129032258064515,49.596774193548384,2.25,close lock keep know know be keep
Partials,Mkele,4.411764705882353,2.941176470588235,45.588235294117645,1.5,pull make say catch
Kira,Haru,1.3888888888888888,2.7777777777777777,18.055555555555554,0.5,say
Delarosa,Kira,0.5434782608695652,0.0,29.891304347826086,INF,go say go
Delarosa,Hobb,0.5434782608695652,0.0,29.891304347826086,INF,go say go
Kira,Hobb,0.5434782608695652,0.0,29.891304347826086,INF,go say go
Mkele,Hobb,3.125,0.0,30.208333333333332,INF,salute turn
Mkele,Haru,3.125,0.0,30.208333333333332,INF,salute turn
Hobb,Haru,3.125,0.0,30.208333333333332,INF,salute turn
Delarosa,Hobb,0.0,0.0,44.44444444444444,INF,mean say
Delarosa,Haru,0.0,0.0,44.44444444444444,INF,mean say
Partials,Kira,7.954545454545454,0.0,46.590909090909086,INF,have find
Morgan,Kira,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Morgan,Kira,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Morgan,Marcus,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Morgan,Samm,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Morgan,Kira,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Kira,Marcus,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Kira,Samm,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Kira,Marcus,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Kira,Samm,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Marcus,Samm,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Marcus,Kira,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Samm,Kira,5.092592592592593,0.4629629629629629,46.2962962962963,11.0,be have capture have save
Morgan,Kira,0.3289473684210526,0.0,52.30263157894737,INF,say tap hang
Morgan,Kira,0.0,0.0,66.66666666666666,INF,shoot
Vale,Morgan,2.380952380952381,2.976190476190476,37.5,0.8,be make say shake
McKenna,Kira,3.0660377358490565,3.7735849056603774,42.21698113207547,0.8125,be be be say realize have say be
McKenna,Morgan,3.0660377358490565,3.7735849056603774,42.21698113207547,0.8125,be be be say realize have say be
McKenna,Kira,3.0660377358490565,3.7735849056603774,42.21698113207547,0.8125,be be be say realize have say be
Kira,Morgan,3.0660377358490565,3.7735849056603774,42.21698113207547,0.8125,be be be say realize have say be
Morgan,Kira,3.0660377358490565,3.7735849056603774,42.21698113207547,0.8125,be be be say realize have say be
Morgan,Kira,2.083333333333333,3.4722222222222223,61.111111111111114,0.6,look turn
Vale,ParaGen,1.0,2.5,44.5,0.4,be create plague
Vale,Partials,1.0,2.5,44.5,0.4,be create plague
ParaGen,Partials,1.0,2.5,44.5,0.4,be create plague
Armin,Kira,2.5,0.0,37.5,INF,think
Trimble,Morgan,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Trimble,Partials,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Trimble,Vale,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Trimble,Jerry Ryssdal,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Trimble,Nandita,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Morgan,Partials,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Morgan,Vale,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Morgan,Jerry Ryssdal,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Morgan,Nandita,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Partials,Vale,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Partials,Jerry Ryssdal,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Partials,Nandita,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Vale,Jerry Ryssdal,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Vale,Nandita,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Jerry Ryssdal,Nandita,1.4423076923076923,0.9615384615384616,47.59615384615385,1.5,have survive work mean
Morgan,Nandita,1.1904761904761905,1.7857142857142856,54.166666666666664,0.6666666666666666,try kill have pretend be be
Morgan,Nandita,1.1904761904761905,1.7857142857142856,54.166666666666664,0.6666666666666666,try kill have pretend be be
Vale,Partials,2.1551724137931036,0.0,46.12068965517241,INF,find continue be go incorporate
Morgan,Kira,2.380952380952381,1.7857142857142856,48.214285714285715,1.3333333333333333,say help gasp
Kira,Samm,4.166666666666666,1.7857142857142856,27.380952380952383,2.3333333333333335,think share
Kira,Morgan,3.353658536585366,2.4390243902439024,40.54878048780488,1.375,love keep be die give be shoot save
Kira,Morgan,3.353658536585366,2.4390243902439024,40.54878048780488,1.375,love keep be die give be shoot save
Kira,Partials,3.353658536585366,2.4390243902439024,40.54878048780488,1.375,love keep be die give be shoot save
Morgan,Kira,3.353658536585366,2.4390243902439024,40.54878048780488,1.375,love keep be die give be shoot save
Morgan,Partials,3.353658536585366,2.4390243902439024,40.54878048780488,1.375,love keep be die give be shoot save
Kira,Morgan,3.353658536585366,2.4390243902439024,40.54878048780488,1.375,love keep be die give be shoot save
Kira,Partials,3.353658536585366,2.4390243902439024,40.54878048780488,1.375,love keep be die give be shoot save
Morgan,Partials,3.353658536585366,2.4390243902439024,40.54878048780488,1.375,love keep be die give be shoot save
Kira,Morgan,4.861111111111112,1.3888888888888888,38.19444444444444,3.5,do know say soften
Morgan,Kira,4.861111111111112,1.3888888888888888,38.19444444444444,3.5,do know say soften
Vale,Kira,3.8461538461538463,0.0,65.38461538461539,INF,stare snarl turn
Morgan,Kira,0.0,0.0,60.0,INF,look
Kira,Morgan,3.571428571428571,5.357142857142857,48.214285714285715,0.6666666666666666,look steel nod
Morgan,Kira,3.571428571428571,5.357142857142857,48.214285714285715,0.6666666666666666,look steel nod
Kira,Samm,0.0,1.0,51.0,0.0,sound bristle try communicate
Partials,Vale,1.0869565217391304,1.6304347826086956,71.19565217391305,0.6666666666666666,be
Vale,Partials,1.6666666666666667,0.8333333333333334,57.49999999999999,2.0,have keep tend harvest engineer produce serve
Partials,Samm,1.6666666666666667,1.6666666666666667,43.333333333333336,1.0,correct
Samm,Partials,1.6666666666666667,1.6666666666666667,43.333333333333336,1.0,correct
Samm,Heron,3.289473684210526,1.9736842105263157,42.10526315789473,1.6666666666666667,be disconnect have do
Williams,Partials,2.34375,3.90625,56.25,0.6,guess have come
Heron,Williams,2.5,1.875,55.625,1.3333333333333333,be graft say probe
Samm,Williams,1.4534883720930232,1.1627906976744187,55.52325581395349,1.25,look see be be implant cover replace
Williams,Samm,0.0,0.0,31.25,INF,have decide do say
Williams,Heron,0.0,0.0,46.15384615384615,INF,leave say
Vale,Williams,4.166666666666666,0.0,51.388888888888886,INF,keep be hook
Vale,Williams,4.166666666666666,0.0,51.388888888888886,INF,keep be hook
Williams,Heron,0.0,0.0,36.36363636363637,INF,say
Williams,Samm,1.0416666666666665,0.0,48.95833333333333,INF,be say
Samm,Partials,0.6578947368421052,0.0,51.973684210526315,INF,sigh shake look
Samm,Heron,1.3888888888888888,0.6944444444444444,42.36111111111111,2.0,be say
Heron,Samm,6.428571428571428,2.857142857142857,45.0,2.25,sound wonder be be be be cut
Samm,Heron,6.428571428571428,2.857142857142857,45.0,2.25,sound wonder be be be be cut
Samm,Heron,0.6944444444444444,0.0,49.30555555555556,INF,look confuse seem be take
Samm,Heron,0.6944444444444444,0.0,49.30555555555556,INF,look confuse seem be take
Heron,Kira,2.1875,0.3125,55.00000000000001,7.0,try read say do be show
Heron,Kira,2.1875,0.3125,55.00000000000001,7.0,try read say do be show
Heron,Kira,2.1875,0.3125,55.00000000000001,7.0,try read say do be show
Kira,Heron,2.1875,0.3125,55.00000000000001,7.0,try read say do be show
Heron,Kira,2.1875,0.3125,55.00000000000001,7.0,try read say do be show
Heron,Kira,2.1875,0.3125,55.00000000000001,7.0,try read say do be show
Kira,Samm,4.761904761904762,1.7857142857142856,45.83333333333333,2.6666666666666665,distort be read
Heron,Partials,1.3157894736842104,1.644736842105263,54.93421052631579,0.8,turn start fiddle check disconnect
Heron,Williams,1.3157894736842104,1.644736842105263,54.93421052631579,0.8,turn start fiddle check disconnect
Heron,Williams,1.3157894736842104,1.644736842105263,54.93421052631579,0.8,turn start fiddle check disconnect
Heron,Williams,1.3157894736842104,1.644736842105263,54.93421052631579,0.8,turn start fiddle check disconnect
Partials,Williams,1.3157894736842104,1.644736842105263,54.93421052631579,0.8,turn start fiddle check disconnect
Partials,Williams,1.3157894736842104,1.644736842105263,54.93421052631579,0.8,turn start fiddle check disconnect
Partials,Williams,1.3157894736842104,1.644736842105263,54.93421052631579,0.8,turn start fiddle check disconnect
Kira,Williams,0.0,0.0,43.47826086956522,INF,be kill know be free be
Kira,Samm,0.0,0.0,43.47826086956522,INF,be kill know be free be
Kira,Williams,0.0,0.0,43.47826086956522,INF,be kill know be free be
Williams,Samm,0.0,0.0,43.47826086956522,INF,be kill know be free be
Williams,Kira,0.0,0.0,43.47826086956522,INF,be kill know be free be
Samm,Kira,0.0,0.0,43.47826086956522,INF,be kill know be free be
Samm,Williams,0.0,0.0,43.47826086956522,INF,be kill know be free be
Kira,Williams,0.0,0.0,43.47826086956522,INF,be kill know be free be
Partials,Heron,0.0,3.90625,52.34375,0.0,turn help unplug
Samm,Phan,3.3482142857142856,1.1160714285714286,54.46428571428571,3.0,live be wait lead be trust confine
Samm,Calix,3.3482142857142856,1.1160714285714286,54.46428571428571,3.0,live be wait lead be trust confine
Phan,Calix,3.3482142857142856,1.1160714285714286,54.46428571428571,3.0,live be wait lead be trust confine
Heron,Partials,1.5151515151515151,0.0,56.060606060606055,INF,watch bring reach be go be
Vale,Phan,2.5,0.8333333333333334,36.666666666666664,3.0,be get say
Phan,Partials,0.0,1.0416666666666665,65.625,0.0,touch
Phan,Samm,0.0,5.208333333333334,44.79166666666667,0.0,have look
Laura,Vale,1.7857142857142856,0.35714285714285715,49.28571428571429,5.0,have have bear say act be go
Heron,Laura,5.208333333333334,6.25,55.208333333333336,0.8333333333333334,ask watch strike
Samm,Heron,0.0,0.0,33.33333333333333,INF,die say
Phan,Laura,1.171875,5.46875,55.859375,0.21428571428571427,assume be be send watch realize be cut
Phan,Laura,1.171875,5.46875,55.859375,0.21428571428571427,assume be be send watch realize be cut
Phan,Laura,1.171875,5.46875,55.859375,0.21428571428571427,assume be be send watch realize be cut
Phan,Laura,1.171875,5.46875,55.859375,0.21428571428571427,assume be be send watch realize be cut
Phan,Laura,1.0416666666666665,0.0,57.291666666666664,INF,glance try convey have see be
Phan,Kira,1.0416666666666665,0.0,57.291666666666664,INF,glance try convey have see be
Phan,Kira,1.0416666666666665,0.0,57.291666666666664,INF,glance try convey have see be
Laura,Phan,1.0416666666666665,0.0,57.291666666666664,INF,glance try convey have see be
Laura,Kira,1.0416666666666665,0.0,57.291666666666664,INF,glance try convey have see be
Laura,Kira,1.0416666666666665,0.0,57.291666666666664,INF,glance try convey have see be
Phan,Kira,1.0416666666666665,0.0,57.291666666666664,INF,glance try convey have see be
Phan,Kira,1.0416666666666665,0.0,57.291666666666664,INF,glance try convey have see be
Kira,Phan,7.8125,7.03125,47.65625,1.1111111111111112,smirk amuse assume do
Kira,Phan,7.8125,7.03125,47.65625,1.1111111111111112,smirk amuse assume do
Calix,Kira,0.0,0.0,50.0,INF,crane call gather
Calix,Kira,0.0,0.0,50.0,INF,crane call gather
Calix,Kira,0.0,0.0,50.0,INF,crane call gather
Calix,Samm,0.0,2.272727272727273,56.81818181818182,0.0,hesitate bark tell be intend
Partials,Calix,0.0,0.0,25.0,INF,be
Samm,Heron,0.0,0.0,50.0,INF,encompass
Samm,Laura,0.5952380952380952,0.5952380952380952,60.71428571428571,1.0,let pull buckle
Heron,Partials,2.6595744680851063,3.1914893617021276,51.59574468085106,0.8333333333333334,know be have make do sacrifice be go die
Kira,Morgan,6.25,0.0,53.75,INF,find
Kira,Samm,0.0,0.0,33.33333333333333,INF,see
Samm,Kira,0.0,0.0,33.33333333333333,INF,see
Morgan,Kira,0.0,1.9230769230769231,55.769230769230774,0.0,take
Vale,Morgan,2.5,0.35714285714285715,57.14285714285714,7.0,spend pore try reconstruct
Morgan,Partials,1.5151515151515151,0.946969696969697,55.11363636363637,1.6,require grow draw have keep be design be lose help grow keep
Kira,Partials,3.125,1.8229166666666667,55.46875,1.7142857142857142,have cross look discover be have demand plague kill get have build
Partials,ParaGen,3.125,4.166666666666666,53.81944444444444,0.75,plague want affect be implement intend make think be follow
Kira,Vale,1.6891891891891893,3.040540540540541,65.54054054054053,0.5555555555555556,watch pore read read study
Armin,Morgan,8.333333333333332,0.0,75.0,INF,be rely be
Armin,Vale,2.631578947368421,1.3157894736842104,43.42105263157895,2.0,ask say pause turn look
Armin,Nandita,2.631578947368421,1.3157894736842104,43.42105263157895,2.0,ask say pause turn look
Vale,Nandita,2.631578947368421,1.3157894736842104,43.42105263157895,2.0,ask say pause turn look
Kira,Vale,3.260869565217391,4.891304347826087,48.369565217391305,0.6666666666666666,be want share
Kira,Morgan,3.260869565217391,4.891304347826087,48.369565217391305,0.6666666666666666,be want share
Kira,Vale,3.260869565217391,4.891304347826087,48.369565217391305,0.6666666666666666,be want share
Kira,Morgan,3.260869565217391,4.891304347826087,48.369565217391305,0.6666666666666666,be want share
Kira,Vale,3.260869565217391,4.891304347826087,48.369565217391305,0.6666666666666666,be want share
Kira,Morgan,3.260869565217391,4.891304347826087,48.369565217391305,0.6666666666666666,be want share
Vale,Morgan,3.260869565217391,4.891304347826087,48.369565217391305,0.6666666666666666,be want share
Armin,Partials,0.390625,2.34375,56.640625,0.16666666666666666,fall have die think do
ParaGen,Vale,0.78125,1.5625,60.15625,0.5,be say
Vale,Kira,1.1627906976744187,2.9069767441860463,51.74418604651163,0.4,be try cure be help be shake refuse meet
Vale,Kira,7.352941176470589,5.147058823529411,52.20588235294118,1.4285714285714286,smile seem force
Kira,Samm,11.25,10.0,18.75,1.125,think steel
Samm,Kira,11.25,10.0,18.75,1.125,think steel
