NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Hannah,Abby,2.5193798449612403,0.9689922480620154,73.25581395348837,2.6,fill meet
Hannah,Donavan,2.5193798449612403,0.9689922480620154,73.25581395348837,2.6,fill meet
Hannah,Addie,2.5193798449612403,0.9689922480620154,73.25581395348837,2.6,fill meet
Abby,Donavan,2.5193798449612403,0.9689922480620154,73.25581395348837,2.6,fill meet
Abby,Addie,2.5193798449612403,0.9689922480620154,73.25581395348837,2.6,fill meet
Donavan,Addie,2.5193798449612403,0.9689922480620154,73.25581395348837,2.6,fill meet
Duke,Connor,0.0,0.0,62.5,INF,hear ask
Duke,Addie,3.90625,0.0,46.09375,INF,do look start drive
Laila,Duke,10.416666666666668,2.083333333333333,37.5,5.0,want go
Laila,Duke,10.416666666666668,2.083333333333333,37.5,5.0,want go
Bobby,Addie,6.048387096774194,4.032258064516129,57.66129032258065,1.5,consider mark figure be wait make change
Farley,Containment Committee,5.0,0.0,35.0,INF,be
Stephanie,Addie,0.0,2.5,27.500000000000004,0.0,want meet
Stephanie,Duke,4.166666666666666,1.7857142857142856,46.42857142857143,2.3333333333333335,turn see
Stephanie,Duke,4.166666666666666,1.7857142857142856,46.42857142857143,2.3333333333333335,turn see
Rowan,Laila,8.552631578947368,1.3157894736842104,37.5,6.5,do know know
Trevor,Stephanie,0.0,0.0,57.14285714285714,INF,be remember be
Trevor,Stephanie,0.0,0.0,57.14285714285714,INF,be remember be
Stephanie,Trevor,0.0,0.0,57.14285714285714,INF,be remember be
Brody,Trevor,0.0,3.260869565217391,57.608695652173914,0.0,let go slide leave
Brody,Trevor,0.0,3.260869565217391,57.608695652173914,0.0,let go slide leave
Trevor,Brody,0.0,0.0,50.0,INF,ruffle
Trevor,Brody,2.0161290322580645,0.0,65.7258064516129,INF,squat pick shift gaze come
Trevor,Brody,2.0161290322580645,0.0,65.7258064516129,INF,squat pick shift gaze come
Trevor,Duke,14.0625,1.5625,59.375,9.0,have be
Brody,Addie,2.272727272727273,0.0,25.0,INF,let fill
Brody,Duke,2.272727272727273,0.0,25.0,INF,let fill
Addie,Duke,2.272727272727273,0.0,25.0,INF,let fill
Addison,Brody,0.0,0.0,20.0,INF,thank say
Duke,Addie,5.952380952380952,0.5952380952380952,60.11904761904761,10.0,do think deserve have look do
Addie,Duke,6.896551724137931,3.0172413793103448,38.362068965517246,2.2857142857142856,try think bother know think have linger
Duke,Addie,6.896551724137931,3.0172413793103448,38.362068965517246,2.2857142857142856,try think bother know think have linger
Duke,Addie,0.0,0.0,61.53846153846154,INF,see say
Duke,Addie,0.0,0.0,61.53846153846154,INF,see say
Addie,Duke,7.5,1.25,41.25,6.0,know have
Duke,Addie,0.0,13.88888888888889,41.66666666666667,0.0,let hurt
Addie,Trevor,12.5,0.0,7.5,INF,know
Addie,Duke,3.515625,0.78125,55.078125,4.5,kill know be lie be
Addie,Duke,3.515625,0.78125,55.078125,4.5,kill know be lie be
Duke,Connor,3.571428571428571,0.5952380952380952,57.738095238095234,6.0,send remember have fail
Duke,Laila,10.576923076923077,0.0,43.269230769230774,INF,reach call
Duke,Addie,2.272727272727273,1.1363636363636365,51.13636363636363,2.0,be use be do bother
Addie,Duke,2.272727272727273,1.1363636363636365,51.13636363636363,2.0,be use be do bother
Stephanie,Trevor,2.34375,3.90625,43.75,0.6,wonder tell run
Stephanie,Trevor,2.6515151515151514,2.6515151515151514,52.27272727272727,1.0,do want think be try make claim be do
Stephanie,Trevor,2.6515151515151514,2.6515151515151514,52.27272727272727,1.0,do want think be try make claim be do
Stephanie,Trevor,2.6515151515151514,2.6515151515151514,52.27272727272727,1.0,do want think be try make claim be do
Stephanie,Trevor,2.6515151515151514,2.6515151515151514,52.27272727272727,1.0,do want think be try make claim be do
Rowan,Stephanie,1.25,0.0,28.749999999999996,INF,say
Laila,Rowan,2.083333333333333,0.0,47.91666666666667,INF,like
Trevor,Rowan,4.761904761904762,1.7857142857142856,45.83333333333333,2.6666666666666665,let say be do want be
Rowan,Trevor,0.9615384615384616,0.0,52.88461538461539,INF,be take
Stephanie,Trevor,5.434782608695652,2.1739130434782608,44.565217391304344,2.5,say look widen
Stephanie,Trevor,5.434782608695652,2.1739130434782608,44.565217391304344,2.5,say look widen
Laila,Rowan,3.8461538461538463,4.807692307692308,45.19230769230769,0.8,trail come
Rowan,Laila,3.125,0.0,59.375,INF,have kiss
Stephanie,Rowan,3.0,1.5,63.5,2.0,try give say be have slip
Rowan,Stephanie,3.0,1.5,63.5,2.0,try give say be have slip
Stephanie,Rowan,0.0,4.166666666666666,55.833333333333336,0.0,assume be do want hang
Trevor,Laila,5.113636363636364,1.7045454545454544,70.45454545454545,3.0,have witness move overhear ask erase
Trevor,Laila,0.0,1.9230769230769231,59.61538461538461,0.0,do overhear tell
Trevor,Stephanie,0.0,0.0,50.0,INF,follow look
Trevor,Duke,5.0,6.25,38.75,0.8,be
Trevor,Duke,5.978260869565218,1.6304347826086956,44.565217391304344,3.6666666666666665,have find bother
Duke,Trevor,5.978260869565218,1.6304347826086956,44.565217391304344,3.6666666666666665,have find bother
Duke,Trevor,5.978260869565218,1.6304347826086956,44.565217391304344,3.6666666666666665,have find bother
Trevor,Duke,6.944444444444445,0.0,48.61111111111111,INF,do like
Trevor,Duke,17.1875,3.125,48.4375,5.5,sense be
Trevor,Duke,17.1875,3.125,48.4375,5.5,sense be
Duke,Rowan,3.5000000000000004,1.0,63.5,3.5,start respond have be realize be say be
Trevor,Duke,5.0,0.0,55.00000000000001,INF,be go judge
Trevor,Stephanie,2.083333333333333,2.083333333333333,45.83333333333333,1.0,come be talk
Stephanie,Trevor,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
Stephanie,Trevor,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
Stephanie,Trevor,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
Stephanie,Trevor,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
Trevor,Stephanie,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
Trevor,Stephanie,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
Trevor,Stephanie,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
Stephanie,Trevor,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
Stephanie,Trevor,1.0135135135135136,2.027027027027027,53.71621621621622,0.5,observe lean twirl laugh say
