NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Dare,Whitley,4.166666666666666,1.6666666666666667,47.5,2.5,love trust
Dare,Finn,2.1739130434782608,3.260869565217391,55.434782608695656,0.6666666666666666,swallow lean fall
Dare,Finn,2.1739130434782608,3.260869565217391,55.434782608695656,0.6666666666666666,swallow lean fall
Finn,Dare,3.571428571428571,3.571428571428571,64.28571428571429,1.0,smile
Finn,Dare,3.571428571428571,3.571428571428571,64.28571428571429,1.0,smile
Dare,Finn,1.8518518518518516,3.2407407407407405,43.05555555555556,0.5714285714285714,have fail get kneel
Dare,Finn,1.8518518518518516,3.2407407407407405,43.05555555555556,0.5714285714285714,have fail get kneel
Jones,Dare,0.0,1.5625,48.4375,0.0,take call
Dare,Jones,7.5,3.3333333333333335,42.5,2.25,dare stir open know be
Jones,Dare,0.78125,1.5625,47.65625,0.5,have open stop speak
Whitley,Jones,1.7857142857142856,0.8928571428571428,47.32142857142857,2.0,welcome tell
Dare,Jones,4.545454545454546,2.272727272727273,47.72727272727273,2.0,dare squeeze let
Dare,Jones,5.625,1.875,62.5,3.0,pull glance see be
Dare,Sabine,5.625,1.875,62.5,3.0,pull glance see be
Jones,Sabine,5.625,1.875,62.5,3.0,pull glance see be
Finn,Dare,5.46875,6.25,50.78125,0.875,be be share wish be
Finn,Dare,5.46875,6.25,50.78125,0.875,be be share wish be
Sabine,Dare,0.0,2.272727272727273,61.36363636363637,0.0,glance nod
Eleanor,Sabine,3.125,0.8928571428571428,53.125,3.5,be wait tell use open
Eleanor,Sabine,3.125,0.8928571428571428,53.125,3.5,be wait tell use open
Eleanor,Sabine,3.125,0.8928571428571428,53.125,3.5,be wait tell use open
Eleanor,Sabine,3.125,0.8928571428571428,53.125,3.5,be wait tell use open
Dare,Sabine,2.8846153846153846,1.9230769230769231,72.11538461538461,1.5,dare follow
Eleanor,Dare,2.840909090909091,1.7045454545454544,45.45454545454545,1.6666666666666667,be tell be
Eleanor,Finn,5.88235294117647,0.0,52.94117647058824,INF,do know understand
Finn,Eleanor,5.88235294117647,0.0,52.94117647058824,INF,do know understand
Sabine,Dare,2.5,1.25,51.24999999999999,2.0,follow jump leave
Eleanor,Dare,1.0416666666666665,5.208333333333334,68.75,0.2,watch enter
Dare,Eleanor,0.0,3.571428571428571,53.57142857142857,0.0,dare
Jones,Sabine,0.0,0.5952380952380952,56.547619047619044,0.0,have be
Sabine,Jones,0.0,0.5952380952380952,56.547619047619044,0.0,have be
Whitley,Charlotte Bronte,3.289473684210526,1.9736842105263157,42.10526315789473,1.6666666666666667,be have write
Whitley,Charlotte Bronte,3.289473684210526,1.9736842105263157,42.10526315789473,1.6666666666666667,be have write
Sabine,Jones,4.6875,0.0,57.8125,INF,throw find speak
Dare,Sabine,0.0,2.272727272727273,52.27272727272727,0.0,dare do grow confirm
Whitley,Laura,1.1363636363636365,1.1363636363636365,61.36363636363637,1.0,be be
Jane,Sabine,0.0,0.0,50.0,INF,observe sift
Jane,Sabine,0.0,0.0,50.0,INF,observe sift
Sabine,Mr. Rochester,6.25,0.0,31.25,INF,make
Jane,Dare,6.578947368421052,1.3157894736842104,39.473684210526315,5.0,save know continue smooth
Jane,Mr. Rochester,6.578947368421052,1.3157894736842104,39.473684210526315,5.0,save know continue smooth
Dare,Mr. Rochester,6.578947368421052,1.3157894736842104,39.473684210526315,5.0,save know continue smooth
Dare,Mr. Rochester,5.769230769230769,3.8461538461538463,44.230769230769226,1.5,dare close seem
Dare,Mr. Rochester,5.769230769230769,3.8461538461538463,44.230769230769226,1.5,dare close seem
Dare,Sabine,0.4807692307692308,4.807692307692308,40.86538461538461,0.1,change
Dare,Jane,6.730769230769231,2.8846153846153846,51.92307692307693,2.3333333333333335,be save save
Dare,Mr. Rochester,6.730769230769231,2.8846153846153846,51.92307692307693,2.3333333333333335,be save save
Jane,Mr. Rochester,6.730769230769231,2.8846153846153846,51.92307692307693,2.3333333333333335,be save save
Jane,Eleanor,0.78125,3.90625,32.8125,0.2,be say
Jane,Sabine,0.78125,3.90625,32.8125,0.2,be say
Jane,Sabine,0.78125,3.90625,32.8125,0.2,be say
Eleanor,Sabine,0.78125,3.90625,32.8125,0.2,be say
Eleanor,Sabine,0.78125,3.90625,32.8125,0.2,be say
Eleanor,Whitley,5.0,0.0,41.66666666666667,INF,get say
Whitley,Eleanor,5.0,0.0,41.66666666666667,INF,get say
Eleanor,Sabine,0.0,0.0,30.0,INF,be lose
Whitley,Finn,2.8846153846153846,2.8846153846153846,44.230769230769226,1.0,do tell be scowl laugh be do
Jane,Mr. Rochester,0.0,0.0,62.5,INF,suck save
Jane,Mr. Rochester,0.0,3.125,34.375,0.0,save
Dare,Adair,3.4722222222222223,2.7777777777777777,65.97222222222221,1.25,be be see
Dare,Finn,5.092592592592593,2.7777777777777777,47.68518518518518,1.8333333333333333,be stand fly worry push
Dare,Finn,5.092592592592593,2.7777777777777777,47.68518518518518,1.8333333333333333,be stand fly worry push
Dare,Finn,1.3392857142857142,1.3392857142857142,58.03571428571429,1.0,be walk feel
Sabine,Dare,4.6875,2.34375,42.96875,2.0,add dare tell
Sabine,Dare,4.6875,2.34375,42.96875,2.0,add dare tell
