NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Thad,Charley,3.3333333333333335,0.0,36.666666666666664,INF,have change
Daniel,University of New Hampshire,2.3255813953488373,1.1627906976744187,52.32558139534884,2.0,be
Talla,Rives,2.5,3.75,33.75,0.6666666666666666,whisper be
Charley,Thad,2.734375,0.78125,52.734375,3.5,joke be be feel
Thad,Charley,2.734375,0.78125,52.734375,3.5,joke be be feel
Thad,Charley,2.734375,0.78125,52.734375,3.5,joke be be feel
Jason,Ahmad,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Jason,Jillian,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Jason,Julio,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Jason,Julio,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Jason,Johan,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Ahmad,Jillian,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Ahmad,Julio,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Ahmad,Julio,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Ahmad,Johan,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Jillian,Julio,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Jillian,Julio,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Jillian,Johan,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Julio,Johan,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Julio,Johan,2.083333333333333,0.0,47.91666666666667,INF,hoot hug throw cross smile
Zane,Michael,0.9615384615384616,0.0,45.19230769230769,INF,clap
Thad,Charley,0.0,0.0,25.0,INF,make
Dex,Jason,0.0,0.0,46.15384615384615,INF,see point grin
Dex,Jason,1.6304347826086956,0.0,46.19565217391305,INF,gesture heft step
Dex,Jason,1.6304347826086956,0.0,46.19565217391305,INF,gesture heft step
Thad,Charley,0.0,0.0,40.0,INF,do carve
Thad,Charley,0.0,0.0,31.25,INF,do carve carve
Thad,Jason,1.0869565217391304,0.5434782608695652,50.54347826086957,2.0,pull flip hand hilt
Jason,Thad,3.3653846153846154,0.9615384615384616,57.21153846153846,3.5,finish carve point be carve
Charley,Thad,1.3157894736842104,0.0,46.05263157894737,INF,smile think give show
Charley,Thad,1.3157894736842104,0.0,46.05263157894737,INF,smile think give show
Charley,Thad,2.8846153846153846,5.769230769230769,45.19230769230769,0.5,kiss press know find
Thad,Charley,4.336734693877551,4.591836734693878,46.1734693877551,0.9444444444444444,be miss damage start think be think have catch
Thad,Rives,4.336734693877551,4.591836734693878,46.1734693877551,0.9444444444444444,be miss damage start think be think have catch
Charley,Rives,4.336734693877551,4.591836734693878,46.1734693877551,0.9444444444444444,be miss damage start think be think have catch
