NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Umma,Canaday,5.357142857142857,0.5952380952380952,60.71428571428571,9.0,be suppose know have be save roast do
Dixie Hiway,Zoo Miamy,1.9230769230769231,0.9615384615384616,50.96153846153846,2.0,be
Zoo Miamy,Bosom Industries,5.921052631578947,5.263157894736842,57.23684210526315,1.125,be be
Umma,Faron,0.0,0.0,58.333333333333336,INF,move stand unpack
Faron,Zoo Miamy,4.166666666666666,0.0,50.0,INF,mean make enrol
Dixie Hiway,Zoo Miamy,1.4285714285714286,3.214285714285714,52.5,0.4444444444444444,swim press light
Umma,Faron,0.0,0.0,66.66666666666666,INF,tell be bear take work
Umma,Faron,0.7575757575757576,2.272727272727273,54.54545454545454,0.3333333333333333,go be report make practice
Ross,Zoo Miamy,0.5208333333333333,0.5208333333333333,57.291666666666664,1.0,gather dance
Faron,Ross,0.0,0.0,55.55555555555556,INF,push follow
Ross,Faron,0.0,0.0,50.0,INF,grab intervene
Faron,Ross,1.7857142857142856,4.166666666666666,46.42857142857143,0.42857142857142855,yank make watch bounce
Faron,Ross,0.0,0.0,41.66666666666667,INF,suck swing
Umma,Ross,4.545454545454546,2.272727272727273,53.78787878787878,2.0,have do have run learn be have step
Umma,Ross,4.545454545454546,2.272727272727273,53.78787878787878,2.0,have do have run learn be have step
Umma,Faron,4.545454545454546,2.272727272727273,53.78787878787878,2.0,have do have run learn be have step
Ross,Faron,4.545454545454546,2.272727272727273,53.78787878787878,2.0,have do have run learn be have step
Ross,Faron,4.545454545454546,2.272727272727273,53.78787878787878,2.0,have do have run learn be have step
Faron,Bosom Industries,0.43103448275862066,0.0,51.293103448275865,INF,lay provide
Terry,Umma,4.166666666666666,1.3888888888888888,38.88888888888889,3.0,assure be
Umma,Faron,0.0,1.7857142857142856,41.07142857142857,0.0,offer
Terry,Umma,0.8928571428571428,0.0,70.53571428571429,INF,begin compliment
Terry,Umma,4.464285714285714,4.464285714285714,69.64285714285714,1.0,be ask know
Terry,Umma,6.666666666666667,2.5,44.166666666666664,2.6666666666666665,wonder hope accomplish be
Terry,Umma,6.666666666666667,2.5,44.166666666666664,2.6666666666666665,wonder hope accomplish be
Tolemy,Terry,1.875,3.75,49.375,0.5,be write say
Terry,Orion,3.125,1.25,50.625,2.5,continue rise fly
Umma,Jesus,1.0,0.0,63.0,INF,come clog
Terry,Orion,2.5,1.875,55.625,1.3333333333333333,talk listen
Terry,Caroline,2.5,1.875,55.625,1.3333333333333333,talk listen
Terry,Orion,2.5,1.875,55.625,1.3333333333333333,talk listen
Terry,Caroline,2.5,1.875,55.625,1.3333333333333333,talk listen
Orion,Caroline,2.5,1.875,55.625,1.3333333333333333,talk listen
Terry,Caroline,1.7857142857142856,0.0,55.35714285714286,INF,tell be
Terry,Caroline,3.571428571428571,0.0,53.57142857142857,INF,be get
Caroline,Terry,1.5625,0.0,56.770833333333336,INF,bring accept
