NAME 1,NAME 2,% POS,% NEG,% NEUTRAL,POS:NEG,VERBS
Kenyon,Mrs. Bishop,0.6756756756756757,1.3513513513513513,68.24324324324324,0.5,stand know have advertise
Kenyon,Dobbs,1.1904761904761905,0.5952380952380952,64.88095238095238,2.0,be wait have take emerge
Kenyon,Dobbs,6.25,0.0,43.75,INF,follow
Dobbs,Sebastian Babayoff,2.4390243902439024,3.353658536585366,50.30487804878049,0.7272727272727273,have be allow settle
Kenyon,Royal Navy,1.2195121951219512,3.9634146341463414,53.35365853658537,0.3076923076923077,have be kill do deter follow join
Kenyon,Royal Navy,1.2195121951219512,3.9634146341463414,53.35365853658537,0.3076923076923077,have be kill do deter follow join
Royal Navy,Kenyon,1.2195121951219512,3.9634146341463414,53.35365853658537,0.3076923076923077,have be kill do deter follow join
Sebastian Babayoff,Dobbs,2.083333333333333,0.5208333333333333,51.5625,4.0,have be discover be walk
Sebastian Babayoff,Dobbs,2.083333333333333,0.5208333333333333,51.5625,4.0,have be discover be walk
Dobbs,Mrs. Bishop,3.125,5.3125,56.56250000000001,0.5882352941176471,appear pose have inform book base have happen
Mrs. Bishop,Dobbs,3.125,5.3125,56.56250000000001,0.5882352941176471,appear pose have inform book base have happen
Dobbs,Sebastian Babayoff,2.272727272727273,1.1363636363636365,55.68181818181818,2.0,remain begin ask visit
Dobbs,Kenyon,1.7857142857142856,0.0,55.35714285714286,INF,be do have notice
Dobbs,Kenyon,4.3478260869565215,0.5434782608695652,60.32608695652174,8.0,be think light draw enflame
Dobbs,Kenyon,4.3478260869565215,0.5434782608695652,60.32608695652174,8.0,be think light draw enflame
Kenyon,Dobbs,4.166666666666666,1.0416666666666665,53.125,4.0,follow receive
Dobbs,Kenyon,0.0,2.1739130434782608,63.04347826086957,0.0,be notice
Dobbs,Kenyon,0.0,2.1739130434782608,63.04347826086957,0.0,be notice
Kenyon,Dobbs,0.0,2.1739130434782608,63.04347826086957,0.0,be notice
Dobbs,Kenyon,6.41025641025641,6.089743589743589,51.60256410256411,1.0526315789473684,catch look think see see
Dobbs,Kenyon,6.41025641025641,6.089743589743589,51.60256410256411,1.0526315789473684,catch look think see see
Kenyon,Dobbs,6.41025641025641,6.089743589743589,51.60256410256411,1.0526315789473684,catch look think see see
Dobbs,Kenyon,6.41025641025641,6.089743589743589,51.60256410256411,1.0526315789473684,catch look think see see
Kenyon,Maisie,3.571428571428571,2.5,39.64285714285714,1.4285714285714286,think carry do want be involve help
Kenyon,Maisie,3.571428571428571,2.5,39.64285714285714,1.4285714285714286,think carry do want be involve help
Kenyon,Maisie,3.571428571428571,2.5,39.64285714285714,1.4285714285714286,think carry do want be involve help
Kenyon,Sebastian Babayoff,3.571428571428571,2.5,39.64285714285714,1.4285714285714286,think carry do want be involve help
Maisie,Sebastian Babayoff,3.571428571428571,2.5,39.64285714285714,1.4285714285714286,think carry do want be involve help
Maisie,Sebastian Babayoff,3.571428571428571,2.5,39.64285714285714,1.4285714285714286,think carry do want be involve help
Maisie,Sebastian Babayoff,3.571428571428571,2.5,39.64285714285714,1.4285714285714286,think carry do want be involve help
Maisie,Sebastian Babayoff,1.4705882352941175,2.2058823529411766,55.14705882352941,0.6666666666666666,be feel have find
Sebastian Babayoff,Maisie,2.34375,0.0,60.15625,INF,read acquire
Maisie,Sebastian Babayoff,2.34375,0.0,60.15625,INF,read acquire
Sebastian Babayoff,Whitehall,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Sebastian Babayoff,Maisie,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Sebastian Babayoff,Dobbs,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Sebastian Babayoff,Dobbs,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Whitehall,Maisie,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Whitehall,Dobbs,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Whitehall,Dobbs,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Maisie,Dobbs,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Maisie,Dobbs,2.232142857142857,4.910714285714286,53.57142857142857,0.45454545454545453,accord have receive have be travel be
Kenyon,Huntley,4.573170731707317,0.3048780487804878,41.46341463414634,15.0,name seem know be have give be account
Kenyon,Dobbs,4.573170731707317,0.3048780487804878,41.46341463414634,15.0,name seem know be have give be account
Kenyon,Dobbs,4.573170731707317,0.3048780487804878,41.46341463414634,15.0,name seem know be have give be account
Huntley,Dobbs,4.573170731707317,0.3048780487804878,41.46341463414634,15.0,name seem know be have give be account
Huntley,Dobbs,4.573170731707317,0.3048780487804878,41.46341463414634,15.0,name seem know be have give be account
Huntley,Dobbs,0.0,1.25,58.75,0.0,be keep
Kenyon,Maisie,0.0,0.9615384615384616,52.88461538461539,0.0,be watch trail open step
Maisie,Kenyon,2.6785714285714284,5.357142857142857,34.82142857142857,0.5,wear be
Kenyon,Dobbs,2.0161290322580645,0.0,62.5,INF,wait step cast keep go
Kenyon,Dobbs,2.0161290322580645,0.0,62.5,INF,wait step cast keep go
Kenyon,Dobbs,2.0161290322580645,0.0,62.5,INF,wait step cast keep go
Maisie,James,1.3157894736842104,1.3157894736842104,60.526315789473685,1.0,send stop
Dobbs,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Priscilla,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Priscilla,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Maisie,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Margaret,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Maurice,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Lord Julian,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Lady Rowan,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Priscilla,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Priscilla,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Maisie,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Margaret,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Maurice,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Lord Julian,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
James,Lady Rowan,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Priscilla,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Priscilla,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Maisie,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Margaret,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Maurice,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Lord Julian,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Dobbs,Lady Rowan,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Maisie,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Margaret,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Maurice,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Lord Julian,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Lady Rowan,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Maisie,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Margaret,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Maurice,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Lord Julian,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Priscilla,Lady Rowan,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Maisie,Margaret,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Maisie,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Maisie,Dobbs,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
Maisie,James,2.1739130434782608,1.7391304347826086,59.56521739130435,1.25,stop accept stop write stop arrive stop stop deprive stop stop be announce
