NAME,# MENTIONS / 100K WORDS,GENDER
Luisa,391.41717674180643,F
Napier,181.83947580918567,M
Sixsmith,167.66216074609662,M
Eva,142.38955563363353,F
Hae-Joo,122.04819054311444,M
Meronym,114.03492550745541,F
Boom-Sook,99.85761044436637,M
Henry,94.92637042242235,M
Ayrs,86.29670038402031,?
Ernie,76.43422034013228,M
Sonmi,67.18814529898725,F
Kona,64.72252528801523,?
Mephi,58.55847526058521,M
Frobisher,57.32566525509921,M
Zachry,54.8600452441272,M
Papa Song,49.928805222183186,M
Yoona,49.928805222183186,?
Isaac Sachs,49.31240021944018,M
Truman,49.31240021944018,M
Mr. Boerhaave,46.846780208468175,M
Bill Smoke,46.23037520572517,M
Georgie,45.613970202982166,M
Molyneux,44.381160197496165,M
Fay Li,42.531945189267155,?
Veronica,41.915540186524154,F
Grelsch,36.984300164580134,M
Abbess,36.36789516183713,?
Fang,35.75149015909413,M
Alberto Grimaldi,35.75149015909413,M
Rafael,35.75149015909413,M
Mr. Ewing,35.13508515635113,M
Adam,35.13508515635113,M
Autua,33.90227515086512,?
God,31.436655139893116,M
Mr. Chang,31.436655139893116,M
Seaboard,30.82025013715011,?
Moriori,30.82025013715011,?
Dermot,30.20384513440711,M
Swannekke,29.58744013166411,?
Rhee,28.971035128921105,M
Margo,28.971035128921105,F
Megan,27.7382251234351,F
Aurora House,27.1218201206921,F
V.A.,25.272605112463093,?
Noakes,25.272605112463093,M
Bruges,24.65620010972009,?
Mr. Cavendish,24.03979510697709,M
Jakes,22.806985101491083,M
Mr. Wagstaff,22.806985101491083,M
Moon,22.806985101491083,F
Mrs. Crommelynck,22.190580098748082,F
Pa,21.574175096005078,?
Withers,21.574175096005078,M
Catkin,20.957770093262077,?
Ma,20.957770093262077,?
Maori,20.957770093262077,?
Zedelghem,19.724960087776072,?
Valleysmen,19.724960087776072,?
Ursula,19.10855508503307,F
Mrs. Latham,19.10855508503307,F
Mr. Meeks,19.10855508503307,M
Johns Hotchkiss,19.10855508503307,M
Lloyd Hooks,18.492150082290067,M
Cavendish Publishing,18.492150082290067,?
Walker,17.25934007680406,M
Mr. D’Arnoq,17.25934007680406,?
Buenas Yerbas,16.64293507406106,?
Jansch,16.64293507406106,M
Copros,16.02653007131806,?
Hendrick,16.02653007131806,?
Mauna Kea,15.410125068575056,?
Inouye Dwellin,15.410125068575056,M
Honokaa,14.793720065832055,?
Javier,14.793720065832055,M
Nussbaum,14.793720065832055,F
Spyglass,14.793720065832055,?
Timothy Cavendish,14.177315063089052,M
Dhondt,13.56091006034605,?
Min-Sic,13.56091006034605,?
Finch,13.56091006034605,?
Mrs. Rhee,13.56091006034605,F
Denny,13.56091006034605,M
Hester,12.944505057603047,M
Jocasta,12.944505057603047,?
Dad,12.944505057603047,M
Jonas,12.944505057603047,M
Lyons,12.944505057603047,M
William Wiley,12.944505057603047,M
Missa Ewing,11.711695052117044,M
Mrs. Horrox,11.711695052117044,F
Preacher Horrox,11.711695052117044,M
Mr. Roderick,11.711695052117044,M
Hal,11.095290049374041,M
Lester Rey,11.095290049374041,M
Taemosan,11.095290049374041,?
Christ,11.095290049374041,?
Hitchcock,10.478885046631039,M
R.F.,10.478885046631039,?
Frank,10.478885046631039,M
Denholme,9.862480043888036,?
Milly,9.862480043888036,F
Valleysman,9.862480043888036,?
Neptune,9.862480043888036,M
Jackson,9.862480043888036,M
Sussy,9.862480043888036,?
Adrian,9.862480043888036,M
Mrs. Willems,9.862480043888036,F
Bailey,9.246075041145033,M
Georgette,9.246075041145033,F
Mackerras,9.246075041145033,M
Milton,9.246075041145033,M
Garcia,9.246075041145033,M
Hilary V. Hush,9.246075041145033,F
Betty,9.246075041145033,F
Sloosha,8.62967003840203,?
Monsieur van de Velde,8.62967003840203,M
Hull,8.01326503565903,M
Leary,8.01326503565903,M
Abel,8.01326503565903,M
Torgny,7.3968600329160274,?
Mother,7.3968600329160274,F
Mr. Evans,7.3968600329160274,M
Tim Cavendish,7.3968600329160274,M
Kupaka,7.3968600329160274,?
Mrs. Ahn,7.3968600329160274,F
Judith Rey,7.3968600329160274,?
Silvestri,6.780455030173025,M
Mrs. Wagstaff,6.780455030173025,F
Timbo,6.780455030173025,?
Mr. Grimaldi,6.780455030173025,M
Pater,6.780455030173025,?
Duophysite,6.780455030173025,?
Huamdonggil,6.780455030173025,?
Bisco,6.780455030173025,?
Mrs. Hotchkiss,6.780455030173025,F
Kyelim,6.780455030173025,?
Nancy O’Hagan,6.164050027430022,?
John,6.164050027430022,?
Luger,6.164050027430022,M
Peter,6.164050027430022,M
Ms. Yoo,6.164050027430022,F
Finbar,6.164050027430022,?
Mrs. Judd,6.164050027430022,F
Jayjo,6.164050027430022,?
Crow,6.164050027430022,F
Ocean Bay,6.164050027430022,?
Marie-Louise,5.547645024687021,?
Hollander,5.547645024687021,M
Trans Vision Inc.,5.547645024687021,?
Mrs. Dhondt,5.547645024687021,F
Aston,5.547645024687021,M
Elgar,5.547645024687021,M
Edward,5.547645024687021,M
VW,5.547645024687021,?
Indians,4.931240021944018,?
Ikat,4.931240021944018,?
George,4.931240021944018,M
Kobbery,4.931240021944018,?
Ogilvy,4.931240021944018,?
Gwendolin Bendincks,4.931240021944018,?
Augustowski,4.931240021944018,?
Windward,4.931240021944018,?
Chathams,4.931240021944018,?
Neerbeke,4.931240021944018,?
Horrox,4.931240021944018,M
Logoman,4.931240021944018,?
Suleiman,4.314835019201015,M
Mr. Hotchkiss,4.314835019201015,?
Matins,4.314835019201015,?
Bentnail,4.314835019201015,?
Janice,4.314835019201015,F
Lucille,4.314835019201015,F
Rēkohu,4.314835019201015,?
Bart,4.314835019201015,M
Zizzi,4.314835019201015,M
Mr. Frobisher,4.314835019201015,?
Mrs. Bendincks,4.314835019201015,F
Tam Brewer,4.314835019201015,M
Ok-Kyun Pyo,4.314835019201015,?
Siddhartha,4.314835019201015,M
Yankee,4.314835019201015,M
Richard,4.314835019201015,M
Caius College,4.314835019201015,?
Elliot McCluskie,4.314835019201015,M
Wolt,4.314835019201015,?
Grigoire,4.314835019201015,?
Lars,3.6984300164580137,?
Mr. Quillcock,3.6984300164580137,?
Pocock,3.6984300164580137,M
Richter,3.6984300164580137,?
Javi,3.6984300164580137,?
Mrs. Evans,3.6984300164580137,F
Eden,3.6984300164580137,?
Jesus,3.6984300164580137,?
Dr. Conway,3.6984300164580137,?
Leeward,3.6984300164580137,?
Aunt Bees,3.6984300164580137,?
Daniel,3.6984300164580137,M
Gordon Warlock-Williams,3.6984300164580137,?
Lady Heem-Young,3.6984300164580137,F
Harewood,3.6984300164580137,M
Ford,3.082025013715011,?
Dockery House,3.082025013715011,?
Mrs. Derbyshire,3.082025013715011,F
Cowley,3.082025013715011,?
Munro,3.082025013715011,?
Nietzsche,3.082025013715011,M
Essex,3.082025013715011,?
Dr. Egret,3.082025013715011,?
Cho,3.082025013715011,M
Mr. Wiley,3.082025013715011,?
Dr. Chu’an,3.082025013715011,?
Mr. Smoke,3.082025013715011,?
Spinoza Precinct,3.082025013715011,?
Seaboard Corporation,3.082025013715011,?
Sissy,3.082025013715011,F
Anafi,2.465620010972009,?
bush,2.465620010972009,?
Ernest,2.465620010972009,?
Diana,2.465620010972009,F
Monsieur Frobisher,2.465620010972009,?
Eliza,2.465620010972009,F
Gideon,2.465620010972009,M
Roper,2.465620010972009,M
Mrs. Birkin,2.465620010972009,F
Eddie,2.465620010972009,?
Mr. Green,2.465620010972009,?
David,2.465620010972009,?
Herman Howitt,2.465620010972009,M
Gibbon,2.465620010972009,?
Nixon,2.465620010972009,M
Deirdre,2.465620010972009,?
The Times,2.465620010972009,?
Jarvis,2.465620010972009,M
Nun-Hel,2.465620010972009,?
Mr. Sykes,2.465620010972009,?
Malcolm,2.465620010972009,M
Fred Delius,2.465620010972009,?
M. Verplancke,1.8492150082290069,?
Kwon,1.8492150082290069,M
Bix,1.8492150082290069,?
Mr. Ayrs,1.8492150082290069,?
Debussy,1.8492150082290069,?
Boardmen,1.8492150082290069,?
Shirl,1.8492150082290069,?
Rooney,1.8492150082290069,?
Sony,1.8492150082290069,?
VIII,1.8492150082290069,?
Phoebe,1.8492150082290069,F
Fabricants,1.8492150082290069,?
Paul,1.8492150082290069,?
Dawn,1.8492150082290069,?
Böhn,1.8492150082290069,?
Keegan & Dyfedd,1.8492150082290069,?
Cavendish-Redux,1.8492150082290069,?
Solzhenitsyn,1.8492150082290069,?
Trafalgar Review of Books,1.8492150082290069,?
Bedford,1.8492150082290069,M
Nefertiti,1.8492150082290069,?
Baikal,1.8492150082290069,?
Mr. Frum,1.8492150082290069,?
Mr. Gosling,1.8492150082290069,M
Brozman,1.8492150082290069,?
Mr. Hoggins,1.8492150082290069,M
Jake,1.8492150082290069,?
Judas,1.8492150082290069,?
Duane,1.8492150082290069,?
Scarlatti,1.8492150082290069,?
Broughton,1.8492150082290069,?
Widow Bryden,1.8492150082290069,?
FBI,1.8492150082290069,?
Mr. Horrox,1.8492150082290069,M
Mr. Li,1.8492150082290069,M
Scot,1.8492150082290069,?
Federal Power Commission,1.8492150082290069,?
Ross Zinn,1.2328100054860045,?
Rothko,1.2328100054860045,M
Maharaj Aja,1.2328100054860045,?
Psychogenomics Faculty,1.2328100054860045,?
Rodney,1.2328100054860045,?
Brainbox,1.2328100054860045,?
Saintpaulia,1.2328100054860045,?
Modigliani,1.2328100054860045,?
Poseidon,1.2328100054860045,?
Cook,1.2328100054860045,?
Beethoven,1.2328100054860045,?
Chrysler,1.2328100054860045,?
Keene,1.2328100054860045,?
First Bank of Belgium,1.2328100054860045,?
Werner,1.2328100054860045,?
Gusjaw,1.2328100054860045,?
Beale,1.2328100054860045,?
Henry Kissinger,1.2328100054860045,?
Harkins,1.2328100054860045,?
Jonah,1.2328100054860045,?
Rachmaninoff,1.2328100054860045,?
Hubert,1.2328100054860045,?
CCTV,1.2328100054860045,?
Hutch,1.2328100054860045,?
Jaguars,1.2328100054860045,?
K. P. Ogilvy,1.2328100054860045,?
Mrs. Channing,1.2328100054860045,?
Bliss,1.2328100054860045,?
Tom,1.2328100054860045,?
Barnabas,1.2328100054860045,?
Hoggins Bros.,1.2328100054860045,?
Defense Department,1.2328100054860045,?
Koche,1.2328100054860045,?
Waimea Track,1.2328100054860045,?
Environmental Protection Agency,1.2328100054860045,?
Audrey Hepburn,1.2328100054860045,?
Marilyn Monroe,1.2328100054860045,?
Mozart,1.2328100054860045,?
Yanagi,1.2328100054860045,?
Dr. Sachs,1.2328100054860045,?
Doug,1.2328100054860045,?
Mrs. Howitt,1.2328100054860045,?
Ngati Tama & Ngati Mutunga,0.6164050027430023,?
J.E.,0.6164050027430023,?
