NAME,# MENTIONS / 100K WORDS,GENDER
Ada,3103.6765454730626,F
Charles,1831.9075262246665,M
Jon,730.726143191771,M
Elaine,597.0567267542519,F
Thanh,367.90915571850496,M
Jack,271.1579590589673,M
Tomas,198.5945615643141,M
Dat,169.31459415419084,M
Del,152.7650473571647,M
Kiet,134.9424584988288,?
Yen,119.66595376311233,F
Jane,109.4816172726347,F
Chi,109.4816172726347,M
Dang Tho,101.84336490477645,M
Sara,99.29728078215705,F
Hoang Vu,95.47815459822793,M
Dad,85.29381810775028,M
Claire,76.38252367858234,F
Tuan,54.74080863631735,M
Minh,50.921682452388225,M
Sammy,47.10255626845911,M
Hien,45.8295142071494,M
Lien,44.5564721458397,M
Andries,40.737345961910584,M
Jimmy,38.19126183929117,M
Hue,35.64517771667176,?
Harry,35.64517771667176,M
Andre,34.37213565536205,M
Trang,33.09909359405235,F
Dinh,28.006925348813525,M
Bach Dang Street,26.73388328750382,M
Nicky,25.460841226194113,M
George,24.187799164884407,M
Phuong,20.368672980955292,F
Quang Ngai,19.095630919645586,M
Quoc,19.095630919645586,?
Anthony,19.095630919645586,M
Maryann,16.549546797026174,F
Thien,16.549546797026174,?
Rosie,15.276504735716468,F
Vinh,15.276504735716468,M
Monroe,15.276504735716468,M
David Bergen,14.003462674406762,M
Irene,12.730420613097056,F
Jefferson,10.184336490477646,M
Christy,10.184336490477646,F
Nhat,8.91129442916794,?
Alex B.,8.91129442916794,M
Charlie,8.91129442916794,?
Buddhist,8.91129442916794,M
Colin,8.91129442916794,M
Ai Ty,7.638252367858234,M
Lan,7.638252367858234,?
God,6.365210306548528,?
Mr. Thanh,6.365210306548528,M
Ada Boatman,6.365210306548528,?
Coke,6.365210306548528,?
Yvonne,6.365210306548528,F
Delphine,6.365210306548528,F
Jesus,5.092168245238823,M
Ollie,5.092168245238823,?
Binh Duong Hotel,5.092168245238823,?
Abel,5.092168245238823,?
Ly,3.819126183929117,?
Dr. Bang,3.819126183929117,?
UN,3.819126183929117,?
McNally Robinson,2.5460841226194115,?
Nguyen Khac Vien,2.5460841226194115,?
Miss Binh,2.5460841226194115,?
Hoan Kiem Lake,2.5460841226194115,?
South Vietnamese Army,2.5460841226194115,?
