NAME,# MENTIONS / 100K WORDS,GENDER
Anne,637.3446078122042,F
Romain,291.8533476367767,M
Beatrice,280.8102479964662,F
Nadine,263.45680570454977,F
Aline,241.37060642392882,F
Dany,227.17233545781536,M
Claude,187.73269388527797,M
Claire,182.99993689657347,F
Ms. Hinds,141.9827096611346,F
Gabrielle Fonteneau,119.89651038051366,F
Monsieur Christophe,64.68101217896131,M
Bo,64.68101217896131,M
Rosalie,59.94825519025683,F
Rézia,52.060326875749354,?
Mariselle,52.060326875749354,?
Nozias,50.482741212847856,?
John,47.32756988704487,M
Rosie,47.32756988704487,F
Josette,44.17239856124188,F
Marjorie Voltaire,44.17239856124188,F
Brother Timonie,39.43964157253739,M
Mary,37.86205590963589,F
Salinas,36.2844702467344,M
Albert Vincent,34.7068845838329,M
Manman,31.55171325802991,?
Papa,31.55171325802991,M
General Hospital,29.974127595128415,M
Vesta,28.39654193222692,F
Estina,26.818956269325426,F
Regulus,26.818956269325426,?
Creole,23.663784943522433,?
Mother,23.663784943522433,F
Ti Fanm,23.663784943522433,?
Jesus,23.663784943522433,M
Caleb,22.08619928062094,M
Michel,22.08619928062094,M
Vaval,20.50861361771944,?
Mrs. Fonteneau,20.50861361771944,F
Voice,18.931027954817946,?
Da,17.35344229191645,?
God,15.775856629014955,M
Léogâne,15.775856629014955,?
Jackie Kennedy,15.775856629014955,M
Valia,14.19827096611346,M
Mr. Fonteneau,14.19827096611346,M
Fillette Lalo,14.19827096611346,M
Dolly Rodriguez,14.19827096611346,F
Eric,14.19827096611346,M
Beau Jour,12.620685303211964,M
Léon,12.620685303211964,?
Auberte,11.04309964031047,?
Jean,11.04309964031047,?
Coke,9.465513977408973,?
Tobin,7.8879283145074774,?
Kaka,7.8879283145074774,?
Ville Rose,7.8879283145074774,?
Madonna,7.8879283145074774,F
Catholic,6.310342651605982,?
Emmanuel Constant,6.310342651605982,M
Freda,6.310342651605982,?
Dorismond,4.7327569887044865,?
Jackie Robinson Parkway,3.155171325802991,?
Céline Benoit,3.155171325802991,?
Legba,3.155171325802991,?
Medgar Evers College,3.155171325802991,?
Joseph,3.155171325802991,?
