NAME,# MENTIONS / 100K WORDS,GENDER
Pei,304.97616894760233,M
Chaolin,218.38745766348407,M
Bell,203.06202203797642,M
Ming,179.30759681843958,M
Commissar Pei,151.7218126925258,M
Wang Yong,137.9289206295689,M
Larsen,135.63010528574276,M
Liu Tai-an,110.34313650365512,M
Blackie,98.082788003249,M
Dajian,96.55024444069822,M
Wanren,76.62717812753827,M
Little Hou,75.8609063462629,M
Woodworth,75.09463456498752,M
Wanlin,75.09463456498752,M
Mr. Park,57.47038359565371,M
Dr. Wang,47.50885043907373,M
Richard,45.210035095247584,M
Wright,40.612404407595285,M
Feng Yan,36.01477371994299,M
Lin Wushen,30.65087125101531,M
Shanmin,29.118327688464543,?
Dr. Greene,29.118327688464543,M
Mushu,26.819512344638397,?
Kelly,26.819512344638397,M
Dr. Thomas,22.98815343826148,M
Leach,20.689338094435335,M
Harry Truman,20.689338094435335,M
Weiming,19.156794531884568,?
Peng,19.156794531884568,M
Reds,18.390522750609186,?
Harris,17.624250969333804,M
U.N.,17.624250969333804,?
Choi,17.624250969333804,M
Lee,16.85797918805842,M
Zhao Teng,16.85797918805842,?
Mao Zedong,16.091707406783037,M
Han Shu,16.091707406783037,?
Chinese Communist Party,15.325435625507655,?
Julan,15.325435625507655,?
Tiger,14.559163844232272,?
Ridgway,14.559163844232272,M
Gaochen,13.79289206295689,M
Generalissimo Chiang,13.79289206295689,M
Yang Huan,13.026620281681506,M
Huangpu Military Academy,12.260348500406124,?
Niu,11.49407671913074,?
Brothers,10.727804937855359,?
Wenfu,9.961533156579975,?
Frank,9.961533156579975,M
Gushu,9.195261375304593,?
People 's Liberation Army,8.42898959402921,?
Johnson,8.42898959402921,M
Stalin,8.42898959402921,M
Feng Wen,8.42898959402921,M
United Nations,8.42898959402921,?
Nanshan,8.42898959402921,?
Bobby,7.662717812753828,M
Tang Jing,7.662717812753828,M
Chiang Kai-shek,6.896446031478445,M
Meng Feihan,6.896446031478445,M
United Communist Association,6.896446031478445,?
Yu Yuan,6.896446031478445,M
Wang Yabing,6.130174250203062,M
Red Army,6.130174250203062,?
Father Hu,6.130174250203062,M
Kim Il Sung,6.130174250203062,M
Yoon,6.130174250203062,M
Shunji,6.130174250203062,M
Tom,5.363902468927679,M
Chinese People 's Volunteer Army,5.363902468927679,?
Charlie,4.5976306876522965,?
Dr. Stone,4.5976306876522965,M
Major MacDonald,4.5976306876522965,M
MacArthur,4.5976306876522965,?
Mei Lufu,4.5976306876522965,?
Mr. Feng,4.5976306876522965,M
Indians,3.831358906376914,?
Korean People 's Army,3.831358906376914,?
Jiafu,3.831358906376914,?
Fulton,3.831358906376914,M
Red Cross,3.831358906376914,?
Shichang,3.831358906376914,?
Matt,3.065087125101531,?
Kraft,3.065087125101531,?
Chinese People 's Volunteers,3.065087125101531,?
Yan Wenjin,3.065087125101531,?
Mr. Pei,3.065087125101531,?
Catholic,2.2988153438261483,?
Sam,2.2988153438261483,M
Civil Information and Education Center,2.2988153438261483,?
U.S. Army,2.2988153438261483,?
Beijing University,2.2988153438261483,?
Lenin,2.2988153438261483,M
Candie,2.2988153438261483,?
Manpu,2.2988153438261483,?
Sixtieth Field Army,2.2988153438261483,?
Party Committee,1.5325435625507655,?
Brother Wang,1.5325435625507655,?
Marx,1.5325435625507655,?
Congress,1.5325435625507655,?
James Yen,1.5325435625507655,?
Matthew Bell,0.7662717812753828,?
