NAME,# MENTIONS / 100K WORDS,GENDER
Elsa,4022.088258097182,F
Marcel,585.4337747820446,M
Franz,576.7313808325817,M
Josef,549.8330722615149,M
Sara,406.63913545671744,F
Jane,336.2288571383364,F
Margaret,182.75027293871932,F
Barney,173.25675226657805,M
Caldwell,171.6744988212212,M
Mary Dryar,86.23281277194981,F
Mello,69.6191515957026,M
Baroness,62.49901109159665,F
Natalye,60.91675764623977,?
Jim,50.63211025142007,M
Carmen,49.0498568060632,F
Kristen,44.30309646999256,F
Frau Hoffman,41.92971630195725,M
Gilbert Dixon,37.974082688565055,M
Klara,37.18295596588661,F
Fred,36.39182924320818,M
Christof,34.8095757978513,M
Lindner,34.8095757978513,M
Man Ray,34.8095757978513,M
Wayne Caldwell,31.645068907137546,M
de Vris,28.48056201642379,M
Arensberg,26.107181848388475,F
Dearest Elsa,26.107181848388475,F
Herr Proctor,22.15154823499628,M
Polly,22.15154823499628,F
Betty,21.360421512317842,F
Sam,21.360421512317842,M
Marc,20.569294789639404,M
Iris,20.569294789639404,F
Richard,19.778168066960966,M
Dr. Landau,18.987041344282527,M
John Winters,18.19591462160409,M
Mr. Collins,18.19591462160409,M
Oscar Wilde,18.19591462160409,M
Daniel,17.40478789892565,M
Mabel Dodge,17.40478789892565,F
Kaiser,16.613661176247213,?
Robert,16.613661176247213,M
Heinz,16.613661176247213,M
Timothy,15.822534453568773,M
Geraldine,15.822534453568773,F
Frau Weilspracht,14.240281008211895,M
Karl,14.240281008211895,M
Skip Drake,13.449154285533456,M
Nella,12.658027562855018,F
Swinemünde,11.86690084017658,?
Mr. Winters,10.284647394819702,M
Stefan,9.493520672141264,M
Jimmy,9.493520672141264,M
Jud,9.493520672141264,?
Joyce,9.493520672141264,M
Lydell,8.702393949462826,M
Benter,8.702393949462826,?
Ezra,8.702393949462826,M
Floyd,8.702393949462826,M
Ida,8.702393949462826,F
Pickford,8.702393949462826,?
Hugh,7.911267226784386,M
Lottie,7.911267226784386,F
George,7.120140504105947,M
Frau Lindner,7.120140504105947,M
Theodora,6.329013781427509,F
Ulysses,6.329013781427509,?
Christopher Street,6.329013781427509,M
Shakespeare,6.329013781427509,M
Frederick I,6.329013781427509,M
Susanna,6.329013781427509,F
Marie,6.329013781427509,F
Charles Street,5.53788705874907,M
Tomas,5.53788705874907,M
Emma Goldman,5.53788705874907,F
Johann II,5.53788705874907,M
Clothilde,5.53788705874907,?
Cornelius,5.53788705874907,M
Arensbergs,5.53788705874907,?
Mina Loy,5.53788705874907,?
Peter,5.53788705874907,M
Mrs. Schwendeman,5.53788705874907,F
Walter,5.53788705874907,M
August Lydell,5.53788705874907,M
Woolworth,4.746760336070632,?
Penelope,4.746760336070632,F
Nietzsche,4.746760336070632,M
Crane,3.955633613392193,M
Francis,3.955633613392193,M
Murphy,3.955633613392193,M
Jed,3.955633613392193,M
Schiller,3.955633613392193,M
Isadora Duncan,3.955633613392193,M
Gustave von Freytag-Loringhoven,3.955633613392193,?
Stieglitz,3.955633613392193,M
Bloom,3.955633613392193,M
Renault,3.955633613392193,?
Ernst,3.955633613392193,?
Bobby,3.1645068907137546,M
Comstock,3.1645068907137546,?
Rose,3.1645068907137546,?
Chopin,3.1645068907137546,M
Susan,3.1645068907137546,F
William,3.1645068907137546,M
Bill,3.1645068907137546,M
Goethe,3.1645068907137546,?
Cassandra,3.1645068907137546,F
Lisel,3.1645068907137546,?
Olga,3.1645068907137546,F
Mahler,3.1645068907137546,M
Julio,3.1645068907137546,M
Albert,2.373380168035316,?
Miss Peet,2.373380168035316,?
Djuna Barnes,2.373380168035316,?
Popovitch,2.373380168035316,?
Joe,2.373380168035316,?
Marceline,2.373380168035316,?
Schreiner,2.373380168035316,?
Hippolyte,2.373380168035316,?
Lafitte,2.373380168035316,?
Hans,2.373380168035316,?
André Gide,2.373380168035316,?
Hölderlin,2.373380168035316,?
Williams,2.373380168035316,M
Wilson,1.5822534453568773,?
Adolph Menzel,1.5822534453568773,?
bush,1.5822534453568773,?
Sigmund Freud,1.5822534453568773,?
Picabia,1.5822534453568773,?
Brancusi,1.5822534453568773,?
Gray,1.5822534453568773,?
Capelli,1.5822534453568773,?
Mata Hari,1.5822534453568773,?
Flaubert,1.5822534453568773,?
Cézanne,1.5822534453568773,?
Eva,1.5822534453568773,?
Wrigley,1.5822534453568773,?
Madonna,1.5822534453568773,?
Heine,1.5822534453568773,?
Sarah Bernhardt,1.5822534453568773,?
Joffrey,1.5822534453568773,?
Elsler,1.5822534453568773,?
Marcus,1.5822534453568773,?
Wallace Stevens,1.5822534453568773,?
Lucinda,1.5822534453568773,?
