NAME,# MENTIONS / 100K WORDS,GENDER
Shostakovich,634.2698732045104,M
Elena,434.8360080475366,F
Stalin,240.95821831282458,M
Paulus,234.81729284611427,M
Gerstein,144.45796097880503,M
Akhmatova,131.29883497871145,F
Glikman,111.41393346745895,M
Dmitri Dmitriyevich,99.71693257848688,M
Vlasov,91.82145697843073,F
Karmen,83.34113133392599,F
Führer,72.81383053385112,?
Kurt Gerstein,71.93655546717821,M
Hitler,68.42745520048659,M
Lenin,67.5501801338137,M
Nina,65.50320497824357,F
Sixth Army,61.409254667103355,M
Nina Vasilyevna,58.48500444486034,?
Hagen,54.09862911149581,M
Nazi,51.4668039114771,M
Schmidt,51.17437888925279,M
Heidi,51.17437888925279,F
Roman Lazarevich,50.29710382257989,M
Irina,46.78800355588827,F
von Manstein,46.203153511439666,M
Heil Hitler,42.40162822252375,?
Strik-Strikfeldt,42.40162822252375,M
Nikolayeva,40.06222804472933,M
Wolf,38.60010293360782,M
Karl,38.60010293360782,M
God,36.55312777803771,M
Mitya,35.968277733589105,M
Kollwitz,35.383427689140504,M
Tukhachevsky,33.628877555794695,M
Ernst,33.336452533570395,M
Peter,33.336452533570395,M
Reich,33.336452533570395,M
Alexandrov,33.044027511346094,M
Herr,33.044027511346094,M
Zoya,32.75160248912179,F
Gunnar,31.874327422448886,M
Wagner,31.28947737800028,M
Galina Ustvolskaya,30.704627333551677,F
Coca,30.704627333551677,F
Maxim,30.412202311327377,M
Red Army,29.827352266878773,?
Himmler,27.195527066860055,M
Roman Karmen,26.31825200018715,?
von Reichenau,25.148551911289946,M
Cliburn,24.856126889065642,M
Freya,23.394001777944133,F
Katerina,22.809151733495533,F
Rostropovich,22.809151733495533,M
Olga,22.51672671127123,F
Wirth,22.22430168904693,M
Krupskaya,21.639451644598324,F
Field-Marshal von Manstein,21.347026622374024,M
Lina,21.05460160014972,M
Benjamin,21.05460160014972,M
Guderian,20.76217657792542,M
Isaak Davidovich,20.177326533476815,M
Beethoven,19.592476489028215,M
Isaac,19.592476489028215,M
Andrei,19.00762644457961,M
Siegfried,17.837926355682402,M
Maria,17.837926355682402,F
K. Kollwitz,17.545501333458102,?
Pyotr Alexeev,16.960651289009498,M
Lebedinsky,16.668226266785197,?
Red Guillotine,16.375801244560893,?
Hans,15.790951200112291,?
Herr Schostakowitsch,15.790951200112291,M
Lady Macbeth,15.206101155663688,F
Fourth Panzer Army,13.74397604454218,?
Robert,13.451551022317878,M
Otto Nagel,13.451551022317878,M
Margarita,12.866700977869275,F
Sergei,12.574275955644973,M
Tatyana Glivenko,11.989425911196369,F
Speer,11.697000888972067,M
Chukovskaya,11.112150844523464,F
Stasi,11.112150844523464,M
Gehlen Organization,11.112150844523464,?
Marx,11.112150844523464,F
Bach,10.819725822299162,M
Volker,10.819725822299162,M
Dr. Pfannenstiel,10.819725822299162,?
Operation Citadel,10.52730080007486,?
Chuikov,10.52730080007486,?
Nadezhda Konstantinovna,10.52730080007486,F
Sollertinsky,10.23487577785056,?
Pushkin,10.23487577785056,M
Tsvetaeva,9.942450755626258,F
