NAME,# MENTIONS / 100K WORDS,GENDER
Dan,1442.7176454407922,M
Marty,844.4505570072893,M
Alvin,687.6633200385091,M
Shirley,407.09668546279744,F
Munson,380.9654793013341,M
L.C.,277.8159812955577,?
Frank Holder,231.05487553293906,M
Jasper,191.17040297070554,M
Kimball,169.16517672947325,M
Huggins,122.40407096685463,M
Burns,121.02874432677761,M
Miss Edna,111.40145784623849,F
Voss,99.02351808554532,M
Raymond Sample,92.14688488516022,M
Johnson,89.3962316050062,M
Jimmy Del Timms,83.89492504469811,M
Hobgood,79.76894512446707,M
Schultz,70.14165864392794,M
Rosetta,67.3910053637739,F
Marie,64.64035208361986,F
Loring,61.889698803465826,M
Lizzie,56.38839224315775,F
Jesus,55.01306560308073,M
Bilbo,44.010452482464586,M
Sam,41.259799202310546,M
Mr. Alvin,39.88447256223353,M
Danny,35.75849264200247,M
Mitchell,34.38316600192546,M
Cassie,34.38316600192546,F
Mr. Jorgenson,33.00783936184844,M
Jackson,31.63251272177142,M
Lee,30.257186081694403,M
Kelly,30.257186081694403,M
Gaither,28.881859441617383,M
Brinley,26.131206161463346,?
Bob Brown,26.131206161463346,M
Thompson,24.75587952138633,M
Selmon,23.38055288130931,M
Young,23.38055288130931,M
Mr. Stark,20.629899601155273,M
Parker,20.629899601155273,M
Fischer,16.50391968092422,M
Starks,15.128593040847202,M
Mother,13.753266400770183,F
Mississippi State Guard,13.753266400770183,M
Mr. Johnson,13.753266400770183,M
Mrs. Jorgenson,13.753266400770183,F
Moreli,12.377939760693165,?
Mrs. Timms,12.377939760693165,F
Billy Barsotti,12.377939760693165,M
Woolworth,12.377939760693165,M
Delta,11.002613120616147,?
Office of Civil Defense,11.002613120616147,?
Buford Crider,9.627286480539128,M
Patton,8.25195984046211,M
Ben Pope,8.25195984046211,M
Mr. Timms,8.25195984046211,M
John Klein,6.876633200385092,M
War Department,6.876633200385092,?
Nazis,6.876633200385092,?
Biggie,6.876633200385092,?
Ernestine Grider,6.876633200385092,F
Arva,5.501306560308073,?
Daniel,5.501306560308073,?
Fulsome Carthage,5.501306560308073,?
Huey,5.501306560308073,M
Vera,5.501306560308073,?
Martin,5.501306560308073,?
Steve Yarbrough,5.501306560308073,?
bush,4.125979920231055,?
Enfield,4.125979920231055,?
Szulc,4.125979920231055,?
Joe,4.125979920231055,?
Stonewall,4.125979920231055,?
Roberts,4.125979920231055,M
Mr. Sproles,4.125979920231055,M
Mrs. Bivens,4.125979920231055,?
Cadillac,2.7506532801540367,?
Fourth Service Command,2.7506532801540367,?
Danno,2.7506532801540367,?
Beverly,2.7506532801540367,?
United States Army,2.7506532801540367,?
Fred Harney,2.7506532801540367,?
Sally Mankins,2.7506532801540367,?
