NAME,# MENTIONS / 100K WORDS,GENDER
George,1165.4563471521749,M
Rhea,653.7204383772352,F
Joseph,322.42320263854583,M
Najib,155.2955792525106,M
Khalil,137.54751305222368,M
Roland,131.63149098546137,M
Abou-Nahra,121.27845236862734,F
Bassam,112.40441926848388,M
Rana,110.9254137517933,M
Monsieur Laurent,96.13535858488753,M
Nabila,88.74033100143464,?
Nicole,84.30331445136291,F
De Niro,72.47127031783829,M
Genevieve,69.51325928445713,F
Rambo,57.681215150932516,M
Linda,42.89115998402674,F
Mr. Samir,42.89115998402674,M
Abou-Haddid,38.45414343395501,?
Youssef,38.45414343395501,M
Ali,36.97513791726443,M
Virgin Mary,35.496132400573856,F
Faten,28.10110481712097,F
Moustafa,25.143093783739815,?
Nahla,23.664088267049237,F
Roma,23.664088267049237,?
Chahine,23.664088267049237,M
Al-Rayess,22.18508275035866,?
Naeem,19.227071716977505,M
Hassan,19.227071716977505,?
Tony,19.227071716977505,M
Kamil,16.26906068359635,M
Abou-Tariq,14.790055166905773,?
Saad,14.790055166905773,M
Jamal,14.790055166905773,M
Muslim,14.790055166905773,?
Abou-Dolly,14.790055166905773,?
Dolly,13.311049650215196,F
Salah,13.311049650215196,M
Elias,13.311049650215196,M
Claude,11.832044133524619,M
Hakim,11.832044133524619,M
Julia,11.832044133524619,F
Samir Al-Afhameh,11.832044133524619,M
Señor,10.353038616834041,?
Monsieur Mani,8.874033100143464,?
Fairuz,8.874033100143464,?
Danny,8.874033100143464,M
Chafiq Al-Azrak,7.395027583452887,?
Moshe,7.395027583452887,M
Hashash,7.395027583452887,?
Roger,7.395027583452887,M
Morse,7.395027583452887,?
Bien,5.916022066762309,?
Jallil Al-Tahouneh,5.916022066762309,?
Mamadou,5.916022066762309,?
Beebo,5.916022066762309,?
Johnny Walker,5.916022066762309,?
Elnasek,5.916022066762309,?
Salma,5.916022066762309,F
Mr. Mani,4.437016550071732,?
Issam,4.437016550071732,?
Zaghlloul,4.437016550071732,?
Chai,2.9580110333811547,?
Romanoce,2.9580110333811547,?
Maurice,2.9580110333811547,?
Miriam,2.9580110333811547,?
Machrouky,2.9580110333811547,?
Abla,2.9580110333811547,?
Abou,2.9580110333811547,?
Souad,2.9580110333811547,?
Bonsoir,2.9580110333811547,?
