NAME,# MENTIONS / 100K WORDS,GENDER
Marianne,1681.93825326069,F
Marco,1351.741786362886,M
Mario,156.843321776457,M
Peggy,63.97556546144956,F
Anna Maria,57.784381707115735,F
Grazia,47.465742116559355,?
Angelo,45.40201419844808,M
Fulli,43.3382862803368,?
Francis,39.21083044411425,M
Sabina,37.147102526002975,F
Massimo,33.01964668978042,M
Argo,24.764735017335315,M
Sergio,22.70100709922404,M
Ambra,22.70100709922404,M
Paolo,12.382367508667658,M
Giotto,12.382367508667658,?
Mary,10.318639590556382,F
Cimabue,8.254911672445106,?
Michelangelo,6.191183754333829,M
Alberi,6.191183754333829,?
David,6.191183754333829,M
Mamma,6.191183754333829,?
Da Nerone,6.191183754333829,?
Fontana,4.127455836222553,?
Rosina,4.127455836222553,?
Piazza,4.127455836222553,?
