NAME,# MENTIONS / 100K WORDS,GENDER
Savannah,1017.8969624845466,F
Tim,567.2955829510925,M
Alan,243.78690020912526,M
Molly,168.68667028688287,F
Susan,151.35584799713465,F
Tony,77.41100622754215,M
Randy,76.25561807489225,M
Stephen King,50.83707871659484,F
John,49.681690563944954,M
Lucy,45.060137953345425,F
Brad,40.438585342745895,M
Toby,25.41853935829742,M
Lenoir,24.26315120564754,?
Leroy,17.33082228974824,M
Asperger,16.175434137098357,?
Anderson,8.087717068549178,M
Midas,6.932328915899296,?
Sabine,5.776940763249414,F
Louis Eliasberg,5.776940763249414,M
UNC,4.621552610599531,?
Mandy,3.466164457949648,F
Harley,3.466164457949648,?
NATO,2.3107763052997656,?
Dear John,2.3107763052997656,?
NASCAR,2.3107763052997656,?
Samawah,2.3107763052997656,?
