NAME,# MENTIONS / 100K WORDS,GENDER
Salander,1952.2046449007069,F
Mikael,497.18709429244603,M
Figuerola,412.5595037745829,F
Zalachenko,392.84512189258066,M
Berger,307.73669279222963,M
Niedermann,254.8444487185652,M
Gullberg,248.59354714622302,M
Giannini,184.6420156753378,M
Jonasson,175.50608260806848,M
Edklinth,165.40847237582344,M
Modig,148.57912198874837,F
Clinton,144.7324133288455,M
Teleborian,143.7707361638698,M
Sandberg,113.95874404962254,M
Ekström,96.16771649757176,?
Cortez,91.35933067269318,M
Holm,89.43597634274174,M
Erlander,87.5126220127903,M
Fredriksson,82.22339760542386,M
Bublanski,80.30004327547242,M
Linder,75.9724960330817,M
Nieminen,74.04914170313026,M
Eriksson,69.24075587825168,M
Björck,67.79824013078809,?
Malm,66.83656296581238,M
Iversen,63.95153147088522,M
SMP,62.028177140933785,?
Paulsson,61.54733855844593,M
Säpo,60.104822810982355,?
Ghidi,58.662307063518774,M
Holmberg,56.25811415107948,M
Bjurman,55.296436986103764,M
Armansky,52.41140549117661,?
Anita Kaspersson,50.968889743713035,F
Lundin,49.0455354137616,M
MacMillan,45.67966533634659,M
Security Police,43.75631100639515,M
Palmgren,41.35211809395586,M
Faste,39.909602346492285,M
Nyström,39.909602346492285,?
Wadensjöö,38.94792518151657,?
Göteborg,37.98624801654085,?
Milton Security,37.505409434052986,M
Andersson,35.10121652161369,M
Borgsjö,33.65870077415012,?
Stefan,32.6970236091744,M
Mårtensson,30.773669279222965,?
Nikolich,29.331153531759387,M
Karl Axel Bodin,28.850314949271528,M
Gosseberga,28.369476366783672,?
Svensson,28.369476366783672,M
Fälldin,24.5227677068808,?
Harriet Vanger,24.04192912439294,F
Carl-Magnus Lundin,24.04192912439294,F
Thomasson,23.56109054190508,M
Beckman,22.118574794441507,M
Constitutional Protection Unit,19.233543299514352,M
von Rottinger,17.791027552050778,M
Svavelsjö Motorcycle Club,16.3485118045872,?
Olsson,15.867673222099342,M
Palme,15.386834639611482,M
Advokat Giannini,15.386834639611482,M
Faulsson,14.905996057123623,M
Trinity,14.425157474635764,?
Karim,14.425157474635764,M
Wennerström,14.425157474635764,?
Paolo Roberto,12.982641727172188,M
Advokat Bjurman,12.50180314468433,?
Göransson,12.50180314468433,?
Bellmansgatan,12.02096456219647,?
Dieter,12.02096456219647,M
Harry,12.02096456219647,M
Sally,11.540125979708613,F
Morander,11.540125979708613,?
Kalle Fucking Blomkvist,11.540125979708613,M
Baksi,11.059287397220753,?
Kungsholmen,10.578448814732894,?
Magnusson,10.578448814732894,M
Samir,10.578448814732894,M
Dr. Endrin,9.616771649757176,F
Agneta Sofia Salander,9.616771649757176,F
Camilla Salander,9.616771649757176,F
Carl Lidbom,9.135933067269317,M
Bob,9.135933067269317,M
Jervas,8.65509448478146,?
Miriam Wu,8.65509448478146,?
Waltari,8.65509448478146,?
Otto Danielsson,8.1742559022936,M
Nilsson,7.693417319805741,F
Johansson,7.693417319805741,?
Fransson,7.693417319805741,F
Vitavara Inc.,7.693417319805741,?
Rosin,7.693417319805741,M
Shenke,7.212578737317882,M
Wasp,7.212578737317882,?
Janeryd,7.212578737317882,?
Volvo,6.731740154830024,?
Tomi Nikolich,6.731740154830024,F
Falun,6.731740154830024,?
Slussen,6.731740154830024,?
Mimmi,6.250901572342165,?
Sig Sauer,6.250901572342165,M
Dr. Caldin,5.770062989854306,?
Benny,5.770062989854306,M
ICQ,5.770062989854306,?
Spångberg,5.770062989854306,?
Parliament,5.770062989854306,?
Carlsson,5.289224407366447,?
