NAME,# MENTIONS / 100K WORDS,GENDER
Howie,1060.2793181351408,M
Nancy,554.52865064695,F
Phoebe,510.8851920312179,F
Ezra,215.65003080714726,M
Randy,148.90121174779216,M
Clarence,133.4976381187102,M
Gerald,125.79585130416923,M
Maureen,118.09406448962827,F
Coast Guard,112.95953994660094,M
Dane,97.555966317519,M
Lonny,84.7196549599507,M
Rob,82.15239268843705,M
Brad,64.18155678784144,M
Elizabeth,56.47976997330047,F
Sammy,51.34524543027316,M
Merete,48.7779831587595,?
Dr. Smith,46.21072088724584,M
Kim,46.21072088724584,M
David,38.50893407270487,M
Cecilia,35.94167180119121,F
Millicent Kramer,28.239884986650235,?
Hamilton,23.10536044362292,M
Thelma,15.403573629081947,F
Gwen,15.403573629081947,F
Olive Parrott,12.83631135756829,?
Corine,10.26904908605463,F
Goldman Sachs,10.26904908605463,M
Mary,7.701786814540974,?
Varga Girl,7.701786814540974,?
Abelson,7.701786814540974,?
Matilda,5.134524543027315,?
Harriet,5.134524543027315,?
Miss Muffet,5.134524543027315,?
Maxwell House,5.134524543027315,?
