NAME,# MENTIONS / 100K WORDS,GENDER
Bertrand,714.2695176980113,M
Sarah,657.5814607378518,F
William,393.41511530350783,M
Rachel,325.3894469513163,F
Zoë,213.14709417020023,?
Sarah Dufaure,201.8094827781683,?
Charla,180.26802113330763,F
Julia,175.73297657649488,F
Edouard,156.45903721004058,M
Jules,140.5863812611959,M
Guillaume,119.04491961633524,M
Bamber,108.84106936350649,M
Joshua,100.90474138908415,M
Mamé,96.36969683227137,?
Michel,92.9684134146618,M
Christophe,83.89832430103625,F
Antoine,74.82823518741071,M
Eva,64.62438493458198,F
Gaspard,63.49062379537879,M
Geneviève,57.82181809936283,?
de Saintonge,54.420534681753246,?
Isabelle,49.885490124940475,F
Papa,47.61796784653409,M
Laure,45.350445568127704,F
Jewish,44.216684428924516,?
Monsieur,41.94916215051813,M
Mrs. Rainsferd,37.414117593705356,F
Nathalie Dufaure,37.414117593705356,F
André,36.28035645450217,?
Beaune-la-Rolande,35.146595315298974,?
Colette,34.01283417609578,F
Nicolas,34.01283417609578,M
Hervé,32.879073036892585,?
Elsa,32.879073036892585,F
Franck Lévy,24.942745062470237,?
Armelle,23.808983923267046,?
Amélie,21.54146164486066,?
Cécile,21.54146164486066,?
Neil,21.54146164486066,M
Tatiana,18.140178227251084,F
Mara,17.00641708804789,M
Alessandra,15.872655948844697,F
Sirka,15.872655948844697,?
Richard J. Rainsferd,14.738894809641504,M
Ornella,14.738894809641504,?
Madame Royer,13.605133670438311,M
Miss Jarmond,12.471372531235119,F
Lorenzo,10.203850252828735,M
Maman,10.203850252828735,?
Germaine,10.203850252828735,M
Alain,10.203850252828735,M
Suzanne,9.070089113625542,F
Nazis,9.070089113625542,?
Pithiviers,7.9363279744223485,?
Giovanna,7.9363279744223485,F
Mélanie,7.9363279744223485,?
Mademoiselle Dixsaut,6.802566835219156,?
Nella,6.802566835219156,F
Véronique,6.802566835219156,?
Susannah,6.802566835219156,?
Holly,6.802566835219156,?
Chirac,6.802566835219156,?
Docteur Roche,5.668805696015963,M
Henry,5.668805696015963,M
Vichy,5.668805696015963,?
Henriette,5.668805696015963,F
Barry,5.668805696015963,?
Charles,5.668805696015963,M
bush,4.535044556812771,?
Léon,4.535044556812771,?
Grand-père,4.535044556812771,?
Astrid,4.535044556812771,F
Rebecca,4.535044556812771,F
Daniel,3.401283417609578,M
Wladyslaw,3.401283417609578,?
Daphne du Maurier,3.401283417609578,?
Rywka,3.401283417609578,?
Carly Simon,3.401283417609578,?
Mademoiselle Jarmond,3.401283417609578,?
Haussmann,3.401283417609578,?
Marcelle,2.2675222784063855,?
Evan Frost,2.2675222784063855,?
Boston University,2.2675222784063855,?
Rose,2.2675222784063855,?
Facebook,2.2675222784063855,?
Minette,2.2675222784063855,?
Audi,2.2675222784063855,?
Cooper,2.2675222784063855,?
Al Tichkah,2.2675222784063855,?
Papy,2.2675222784063855,?
Ben,2.2675222784063855,?
Mariette,2.2675222784063855,?
Palazzo Mansi,2.2675222784063855,?
Lucy,2.2675222784063855,?
Berthe,2.2675222784063855,?
