NAME,# MENTIONS / 100K WORDS,GENDER
Kolya,665.0876815234815,M
Vika,595.7080312926147,F
Zoya,162.68331778272207,F
Markov,151.91750998827723,M
Sonya,136.36689872963467,F
Vera,90.91126581975645,F
Nina,84.93026148950932,F
Lara,80.14545802531161,M
Abendroth,74.16445369506448,?
Piter,63.398645900619634,?
Galina,55.02523983827364,F
Red Army,41.86703031172995,?
Lev,37.08222684753224,?
Oleg,34.689825115433386,M
Mga,31.101222517285102,?
Radchenko,31.101222517285102,?
Fritz,23.92401732098854,M
NKVD,21.531615588889686,?
Hitler,21.531615588889686,M
Grisha,20.33541472284026,?
Timofei,17.943012990741405,?
Einsatzkommando,17.943012990741405,?
Nazis,17.943012990741405,?
Lenin,17.943012990741405,M
Ushakovo,16.746812124691978,?
Voinova,15.550611258642551,?
Pavel,14.354410392593124,M
Wehrmacht,13.158209526543697,?
Einsatz,13.158209526543697,?
Shostakovich,13.158209526543697,M
Eugene Onegin,13.158209526543697,M
Novoye Koshkino,11.96200866049427,?
Stalin,11.96200866049427,M
Mayakovsky,10.765807794444843,M
Berezovka,10.765807794444843,?
Ruslan,10.765807794444843,M
Einsatzgruppen,10.765807794444843,?
Nevsky,10.765807794444843,?
Tokarev,10.765807794444843,?
Levin,8.373406062345989,M
Kuefer,8.373406062345989,?
Edik,8.373406062345989,?
Grechko,8.373406062345989,?
Gerasimov,7.177205196296562,M
Natasha Rostov,7.177205196296562,F
Zavodilov,7.177205196296562,?
Mahler,7.177205196296562,M
Taisya,5.981004330247135,?
Einsatzkommandos,5.981004330247135,?
Stelmakh,5.981004330247135,?
Luftwaffe,5.981004330247135,?
Walther,5.981004330247135,M
Red Star,5.981004330247135,?
Lyova,5.981004330247135,?
Elba,4.784803464197708,?
Vadim,4.784803464197708,M
Yulia,4.784803464197708,?
Roza,4.784803464197708,?
David,4.784803464197708,M
Zhdanov,4.784803464197708,?
Olesya,3.588602598148281,?
Belak,3.588602598148281,?
Pavlov,3.588602598148281,M
Young Pioneers,3.588602598148281,?
Borya,3.588602598148281,?
Nikolai Alexandrovich Vlasov,3.588602598148281,?
Yankees,3.588602598148281,?
Akhmatova,3.588602598148281,?
Capablanca,3.588602598148281,?
Peter,3.588602598148281,?
Lyuba Nikolaevna,2.392401732098854,?
Ruslanova,2.392401732098854,?
Petersburg,2.392401732098854,?
Isaac,2.392401732098854,?
Proudhon,2.392401732098854,?
Napoleon,2.392401732098854,?
Tarrasch,2.392401732098854,?
Viktoriya,2.392401732098854,?
Tolstoy,2.392401732098854,?
Gestapo,2.392401732098854,?
BOLSHEVIKS,2.392401732098854,?
Turgenev,2.392401732098854,?
Eddie Rozner,2.392401732098854,?
