NAME,# MENTIONS / 100K WORDS,GENDER
Ron,893.1907873750216,M
Carl,475.7608071528177,M
Wes,361.83341080396286,M
Mary Grace,349.984961583682,F
Tony,247.90601445510805,M
Krane,241.52608025957218,M
Clete,198.68937923240279,M
Barry,178.63815747500433,M
Jeannette,177.72673830421348,F
McCarthy,162.23261240076923,F
Doreen,150.38416318048834,F
Clyde,143.09280981416163,M
Josh,134.8900372770441,M
Nat,127.59868391071738,M
Jared Kurtin,121.2187497151815,M
Rudd,117.57307303201816,M
Bowmore,113.9273963488548,F
Ott,109.3703004949006,M
Brianna,104.81320464094642,F
Jackson,92.96475542066551,M
supreme court,79.29346785880294,?
McElwayne,74.73637200484875,M
Harrison,72.00211449247624,M
Ratzlaff,69.26785698010372,M
Paytons,61.065084442986176,?
Sackett,53.773731076659466,F
Huffy,44.65953936875108,?
Paul,43.74812019796025,M
Bintz,43.74812019796025,M
Marlin,37.36818600242437,M
Imelda,35.5453476608427,F
Sherman,34.63392849005186,M
York,31.899670977679346,M
Brookhaven,30.988251806888506,?
Barbara,30.988251806888506,F
Ramona,30.988251806888506,F
Toliver,30.988251806888506,M
Spano,29.16541346530683,M
Mack,29.16541346530683,M
Babe,25.519736782143475,F
Meyerchec,25.519736782143475,M
Joe,21.874060098980124,M
Pine Grove Church,21.874060098980124,M
Miss Inez,20.962640928189284,F
Pete,20.051221757398444,M
Mr. Fisk,20.051221757398444,M
Buck,20.051221757398444,M
Mr. Prickhead,20.051221757398444,M
Sadler,20.051221757398444,M
Pete Baker,18.22838341581677,?
Shingleton,18.22838341581677,M
Rosenthal,17.31696424502593,M
Romano,17.31696424502593,M
Walter Utley,17.31696424502593,M
Tom,16.405545074235093,M
Shepard,16.405545074235093,M
Benton,16.405545074235093,M
Aaron,15.494125903444253,M
Liza,15.494125903444253,F
Chad Baker,15.494125903444253,M
Gatewood,14.582706732653415,M
Bobby Neal,13.671287561862576,M
Calligan,13.671287561862576,?
Mr. Kirkhead,13.671287561862576,M
Mr. Coley,12.759868391071738,M
Mr. Kurtin,12.759868391071738,M
Bard,11.8484492202809,M
Gilbert,11.8484492202809,M
Payton & Payton,11.8484492202809,M
Ivan,11.8484492202809,M
Albritton,10.937030049490062,M
Ted,10.937030049490062,M
bush,10.025610878699222,M
Trudeau Group,10.025610878699222,M
Crouch,10.025610878699222,M
Stu,10.025610878699222,M
Bette,9.114191707908384,F
Wilfong,9.114191707908384,M
Miriam,9.114191707908384,F
Christian,9.114191707908384,?
EPA,8.202772537117546,?
Alan,8.202772537117546,M
Mr. Zachary,8.202772537117546,F
Rockies,8.202772537117546,?
Kat,8.202772537117546,F
MTA,8.202772537117546,?
Tabby,7.291353366326708,M
Calvin,7.291353366326708,M
Frankie Hightower,7.291353366326708,M
Rusty,7.291353366326708,?
Forrest County Circuit Court,7.291353366326708,M
Mrs. Trudeau,6.379934195535869,F
Gartin,6.379934195535869,?
Second State Bank,6.379934195535869,?
Mr. Rinehart,6.379934195535869,M
Skip Sanchez,5.468515024745031,?
Zeke,5.468515024745031,?
Clarissa,5.468515024745031,?
Bentley,5.468515024745031,?
Olivia,5.468515024745031,F
Sun Herald,5.468515024745031,?
Vicky,5.468515024745031,?
Grott,5.468515024745031,?
Jack,5.468515024745031,M
Dr. Leona Rocha,5.468515024745031,F
Vancona,5.468515024745031,?
Hoover,4.557095853954192,?
Nathaniel Lester,4.557095853954192,M
Littun Casualty,4.557095853954192,?
Under-the-Hill,4.557095853954192,?
St. Luke 's Baptist Church,4.557095853954192,?
Frank Sully,4.557095853954192,?
Brotherhood Coalition,4.557095853954192,?
Congress,4.557095853954192,?
Jim McMay,4.557095853954192,M
Bosk,4.557095853954192,?
Rotary Club,4.557095853954192,?
Commerce Council,4.557095853954192,?
Tedford,4.557095853954192,M
Rybadell,4.557095853954192,?
Hobbs,3.645676683163354,M
Gabbard,3.645676683163354,M
Ed Larrimore,3.645676683163354,M
McComb,3.645676683163354,?
Mississippi Trial Advocates,3.645676683163354,?
Pirate,3.645676683163354,M
Mr. Shelby,3.645676683163354,M
American Family Alliance,3.645676683163354,?
American Rifle Association,3.645676683163354,?
Mr. Bintz,3.645676683163354,M
Jake,3.645676683163354,M
Catholic,2.7342575123725155,?
Internal Revenue Service,2.7342575123725155,?
Sandy,2.7342575123725155,?
Dillman,2.7342575123725155,?
Laurel,2.7342575123725155,?
Amos,2.7342575123725155,?
Bateman,2.7342575123725155,?
Valentino,2.7342575123725155,?
U.S. Supreme Court,2.7342575123725155,?
Saab,2.7342575123725155,?
Mick Runyun,2.7342575123725155,M
Bintz & Bintz,2.7342575123725155,?
Senate,2.7342575123725155,?
Environmental Protection Agency,2.7342575123725155,?
FBI,2.7342575123725155,?
Honda,1.822838341581677,?
Frank Stone,1.822838341581677,?
Raney,1.822838341581677,?
Bradley & Backstrom,1.822838341581677,?
Henry County General Hospital,1.822838341581677,?
Mrs. Payton,1.822838341581677,?
Ross,1.822838341581677,?
University Medical Center,1.822838341581677,?
Gunowners United Now,1.822838341581677,?
Mendenhall,1.822838341581677,?
Jaguar,1.822838341581677,?
IRS,1.822838341581677,?
New Vista Bank,1.822838341581677,?
