NAME,# MENTIONS / 100K WORDS,GENDER
Alex,3536.1315058635696,M
Esther,523.3924375133519,F
Desmond,429.5078649411394,M
Ingrid,362.04589662577723,F
Santos,308.07632197348744,M
Liz,268.7235071228595,F
Jiri,250.73364890542956,M
Miguel,189.45569435230888,M
Darwin,150.10287950168092,M
Félix,113.56097999752639,?
Dr. Klein,97.81985405727521,M
Stephen,95.57112178009648,M
Novak,91.63584029503367,M
María,82.07872811702403,?
Lars,81.51654504772934,M
Amanda,80.39217890913997,F
Peter,69.71070059254096,M
Moses,67.46196831536221,M
Katherine,50.59647623652166,F
Mimi,43.28809633569075,F
Ariel,35.41753336556516,M
Anders,35.41753336556516,M
Wallace,35.41753336556516,M
Trudeau,32.606618019091734,M
Shapiro,31.482251880502368,M
El Mozote,30.92006881120768,M
Mount Royal,30.357885741912998,M
Lenny,29.79570267261831,M
Alex.,28.671336534028942,?
John,26.984787326144886,M
Molly,25.860421187555517,F
Louie,25.29823811826083,M
Sarah,23.611688910376774,F
Mara,23.04950584108209,M
Domenic,22.487322771787404,M
Maxwell House,19.67640742531398,M
Margaret Atwood,19.67640742531398,M
St. Bart,18.55204128672461,M
St. Lawrence,17.989858217429923,M
Lois,17.42767514813524,F
Jesus,17.42767514813524,M
Stig,17.42767514813524,M
Joyce,17.42767514813524,M
bush,16.865492078840553,M
Jimmy,16.865492078840553,M
Rachel,15.741125940251184,F
Eva,14.616759801661813,F
Marie,14.616759801661813,F
Berlitz,14.616759801661813,?
Freud,14.054576732367128,M
Fernando,14.054576732367128,M
El Salvador,13.492393663072443,M
Anna,12.930210593777758,F
Guy,12.930210593777758,M
André,11.805844455188387,?
Robert,11.805844455188387,M
Michael,11.243661385893702,M
Régie,11.243661385893702,?
Cournoyer,10.681478316599017,M
Jean Valjean,10.119295247304333,M
Carl,10.119295247304333,M
Butler,9.557112178009646,M
St. Catherine,9.557112178009646,F
Hertz,8.994929108714961,M
Van Houtte,8.994929108714961,M
Madonna,8.994929108714961,F
David,7.870562970125592,M
Norman,7.870562970125592,M
Fidel,7.870562970125592,M
Ogilvy,7.308379900830906,M
Gus,7.308379900830906,M
Tony,7.308379900830906,M
Derrida,7.308379900830906,M
Ture,6.7461968315362215,?
Nick,6.7461968315362215,M
Brenda,5.621830692946851,F
Erik,5.621830692946851,M
Beagle,5.621830692946851,?
de Maisonneuve,5.621830692946851,M
Luisa,5.621830692946851,F
Daniel,5.059647623652166,M
Marchena,5.059647623652166,?
Emma,5.059647623652166,F
Villamil,5.059647623652166,M
Dan,4.497464554357481,M
El Niño,4.497464554357481,?
Melinda,3.935281485062796,F
University of London,3.935281485062796,?
Ma,3.935281485062796,?
Annie,3.935281485062796,F
Jameson,3.935281485062796,M
Milly,3.3730984157681108,F
Bowinger,3.3730984157681108,?
Duddy,3.3730984157681108,M
Alex Fratarcangeli,3.3730984157681108,M
Bernie,3.3730984157681108,M
Mackay,3.3730984157681108,?
Normans,2.8109153464734256,?
Park Service,2.8109153464734256,?
Erasmus,2.8109153464734256,M
Peggy,2.8109153464734256,F
Johnny,2.8109153464734256,M
Lévesque,2.8109153464734256,?
Reagan,2.8109153464734256,?
Maya,2.8109153464734256,F
McGill,2.8109153464734256,?
Charles,2.8109153464734256,M
Adam,2.8109153464734256,M
Imperial College,2.2487322771787404,?
Ulysses,2.2487322771787404,M
Jana,2.2487322771787404,?
Jean Talon,2.2487322771787404,?
Rudolphe,2.2487322771787404,F
Carmen,2.2487322771787404,?
Simpson,2.2487322771787404,M
Scots,2.2487322771787404,?
Regina,1.6865492078840554,?
Ilie,1.6865492078840554,?
Indians,1.6865492078840554,?
Benjamin,1.6865492078840554,M
Molson,1.6865492078840554,?
FMLN,1.6865492078840554,?
Dickens,1.6865492078840554,?
Casa Italia,1.6865492078840554,?
Homo,1.6865492078840554,?
Henslow,1.6865492078840554,?
Tycho Brahe,1.6865492078840554,?
Steinberg,1.6865492078840554,?
McGregor,1.6865492078840554,?
Thatcher,1.6865492078840554,M
Lund,1.6865492078840554,?
Les Misérables,1.6865492078840554,?
Bruno,1.6865492078840554,M
Mrs. Wittmer,1.6865492078840554,F
Lacan,1.1243661385893702,?
Anne,1.1243661385893702,?
Vikings,1.1243661385893702,?
U of T,1.1243661385893702,?
Wamalie,1.1243661385893702,?
Volvo,1.1243661385893702,?
Toronto Star,1.1243661385893702,?
UQAM,1.1243661385893702,?
Salvation Army,1.1243661385893702,?
Mikhail,1.1243661385893702,?
Harvard,1.1243661385893702,?
Little Gavroche,1.1243661385893702,?
Phil Donahue,1.1243661385893702,?
Vic,1.1243661385893702,?
Mrs. Jackson,1.1243661385893702,?
Boris,1.1243661385893702,?
Downe,1.1243661385893702,?
Baudrillard,1.1243661385893702,?
Merde de Chien,1.1243661385893702,?
Hamlet,1.1243661385893702,?
Jerry,1.1243661385893702,?
NHL,1.1243661385893702,?
Susanna Moodie,1.1243661385893702,?
