NAME,# MENTIONS / 100K WORDS,GENDER
Haymitch,721.8629730204935,M
Peeta,669.1152050325278,M
Gale,533.338542989431,M
Finnick,295.97358704358527,M
Johanna,245.1794400922109,F
Effie,168.98821966514936,F
Beetee,130.89260945161857,?
Brutus,115.26364115888799,M
Cinna,91.82018871979213,F
Katniss,85.95932561001817,?
Prim,84.9825150917225,?
Caesar,69.35354679899193,M
Madge,66.42311524410495,F
Bonnie,63.49268368921796,F
Wiress,55.678199542852674,?
Darius,48.84052591478305,M
Rue,41.02604176841776,M
Hazelle,31.257936585461152,?
Portia,28.32750503057417,F
Enobaria,28.32750503057417,?
Maysilee Donner,26.373883993982847,M
Plutarch Heavensbee,21.489831402504542,?
Annie,20.51302088420888,F
Octavia,20.51302088420888,M
Vick,18.55939984761756,M
Greasy Sae,14.652157774434915,F
Rory,13.675347256139254,M
Cray,12.698536737843593,?
Training Center,12.698536737843593,?
Thresh,10.744915701252271,?
Victor,10.744915701252271,?
Flavius,9.76810518295661,?
Avox,9.76810518295661,?
Seneca Crane,9.76810518295661,M
Cecelia,8.791294664660949,F
Ripper,8.791294664660949,M
Claudius Templesmith,7.814484146365288,M
Suzanne Collins,6.837673628069627,F
Scholastic Inc.,4.884052591478305,?
Meadow,4.884052591478305,?
Purnia,3.907242073182644,?
Undersee,3.907242073182644,?
Bristel,3.907242073182644,?
Gray,2.930431554886983,M
Thom,2.930431554886983,?
Leevy,2.930431554886983,?
Atala,1.953621036591322,?
Dawn,1.953621036591322,?
