NAME,# MENTIONS / 100K WORDS,GENDER
Alexander,776.8842851301622,M
Philip,727.3222892685889,M
Carolus,251.52712899748474,F
Antipater,116.47069027469736,?
Plato,105.31924120584335,M
Callisthenes,104.08019130930403,?
Arrhidaeus,90.45064244737135,?
Leonidas,73.10394389582069,M
Hephaestion,56.996295240809346,?
Hermias,50.80104575811268,F
Lysimachus,47.08389606849468,?
Herpyllis,40.88864658579801,?
Cleopatra,39.64959668925868,F
Athea,37.17149689618001,?
Ptolemy,37.17149689618001,M
Proxenus,33.454347206562005,?
Tycho,33.454347206562005,?
Illaeus,33.454347206562005,?
Eudoxus,30.976247413483343,?
Arimneste,28.498147620404673,?
Macedon,24.780997930786672,?
Stageira,23.54194803424734,?
Arimnestus,23.54194803424734,?
Speusippus,21.06384824116867,?
Dionysus,19.82479834462934,?
Pentheus,18.585748448090005,?
Simon,16.10764865501134,M
Nicanor,16.10764865501134,?
Artabazus,14.868598758472004,?
Maedi,14.868598758472004,?
Pausanias,13.62954886193267,?
gore,13.62954886193267,M
Aristotle,13.62954886193267,?
Annabel Lyon,11.151449068854003,F
Attalus,9.91239917231467,?
Callippus,8.673349275775335,?
Demosthenes,7.434299379236002,?
Amyntas,6.195249482696668,?
Mother,6.195249482696668,?
Perdicaas,6.195249482696668,?
Sparta,4.956199586157335,?
Plutarch,4.956199586157335,?
Random House Canada,4.956199586157335,?
Heracles,4.956199586157335,?
Nicomachus,4.956199586157335,?
Alexandros,3.717149689618001,?
Priam,2.4780997930786675,?
Cardia,2.4780997930786675,?
Argos,2.4780997930786675,?
