NAME,# MENTIONS / 100K WORDS,GENDER
Danny,609.2627433395397,M
Stella,399.67635963073803,F
Bell,294.3957575816656,M
Effie,261.2518643439946,F
Mullins,211.5360244874882,M
John,158.89572346295196,M
Alfonso,146.22305840148954,M
Sextus,138.42449528674342,M
Jude,109.17988360644551,M
Chisholm,98.45685932366962,M
Jacinta,95.53239815563983,F
Willie,84.80937387286393,M
Danny MacKay,81.88491270483414,M
Donald,61.4136845286256,M
Hawthorne,56.539582581909286,F
Sally,55.56476219256602,F
MacLeod,50.6906602458497,M
Cassie,50.6906602458497,F
Bobby,45.81655829913338,M
Jessie,40.94245635241707,F
Pat,39.9676359630738,M
William,38.017995184387274,M
Peggy,38.017995184387274,F
Sandy Gillis,36.06835440570075,F
Creignish,35.09353401635749,?
Don,34.11871362701422,M
Jack,33.14389323767096,M
Jesus,28.269791290954643,M
MacAskill,26.320150512268114,M
Father Roddie,26.320150512268114,?
Eddie Sudac,25.34533012292485,M
Bobby O.,24.37050973358159,M
Dr. Shaw,19.49640778686527,M
Faye,19.49640778686527,F
Archie,17.546767008178744,M
Braecrest,17.546767008178744,?
Catholic,15.597126229492217,?
Duncan,14.622305840148952,?
Brenton Bell,14.622305840148952,M
Barbara,13.64748545080569,F
Rod,12.672665061462425,M
Calero,11.697844672119162,M
Bob,11.697844672119162,M
Paul,10.7230242827759,M
Daddy,9.748203893432635,M
Alex,8.773383504089372,M
Leo,8.773383504089372,M
Donald A.,8.773383504089372,M
Father Bell,7.798563114746108,M
Henry Island,7.798563114746108,M
L. Roberts,6.823742725402845,M
Dad,6.823742725402845,?
Donnie,6.823742725402845,M
Chopin,5.848922336059581,M
Rutilio,5.848922336059581,?
Kennedy,5.848922336059581,?
Mary,4.874101946716317,?
Rita,3.899281557373054,F
Danny Bad,3.899281557373054,M
Heidegger,3.899281557373054,?
Troy Beach,2.9244611680297905,?
Murphy,2.9244611680297905,M
MacVicar,2.9244611680297905,?
Roddie,2.9244611680297905,?
Cameron,2.9244611680297905,?
Peter,2.9244611680297905,?
MacDougall,1.949640778686527,?
MacIsaac,1.949640778686527,?
Lucy,1.949640778686527,?
