NAME,# MENTIONS / 100K WORDS,GENDER
Henry,503.13424118250344,M
Anne,398.2762823254552,F
Cromwell,377.58063255103775,M
Rafe,231.33137414515468,M
Wolsey,229.95166416019353,M
Gregory,209.7159177140965,M
Mary,205.576787759213,F
Cranmer,194.53910787952373,M
Gardiner,191.31978458128103,M
Cavendish,168.78452149358205,M
Anne Shelton,159.58645492717432,?
Katherine,154.06761498732968,F
Thomas,123.25409198986372,M
Richard,117.2753487216987,M
Alice,114.51592875177637,F
God,110.3767987968929,M
Liz,103.0183455437667,F
Audley,95.19998896232012,M
Morgan,93.36037564903857,M
Brandon,87.84153570919393,M
Norris,78.64346914278619,M
Thomas More,74.9642425162231,M
Austin Friars,73.58453253126193,M
Hans,71.28501588965999,M
Boleyn,66.22607927813574,M
Christophe,63.9265626365338,M
Clement,63.9265626365338,M
Wyatt,63.00675597989303,M
Riche,61.62704599493186,M
Harry Percy,60.70723933829109,M
Master Cromwell,59.787432681650316,M
John,58.86762602500954,M
Tom,49.20965613028142,M
Francis,47.37004281699986,M
Kat,46.91013948867948,F
Thomas Cromwell,45.9903328320387,M
Fisher,43.230912862116384,M
Helen,40.93139622051445,F
Martin,37.25216959395135,M
Johane,33.57294296738826,F
Elizabeth,33.11303963906787,F
Cardinal of York,32.65313631074748,M
Tyndale,32.19323298242709,M
Grace,31.27342632578632,F
Jo,29.893716340825158,F
Jane Rochford,29.43381301250477,F
Bonvisi,29.43381301250477,M
Christ,28.05410302754361,M
Arthur,27.594199699223225,M
Chapuys,27.134296370902835,?
Meg,27.134296370902835,F
Howard,26.674393042582448,M
Wriothesley,26.674393042582448,M
Parliament,26.21448971426206,?
Humphrey Monmouth,25.754586385941675,M
Thomas Avery,25.754586385941675,M
Duke,25.294683057621288,?
Edward,25.294683057621288,M
Lady Carey,24.374876400980515,F
Mark,23.91497307266013,M
Bishop Fisher,23.91497307266013,M
Frith,23.45506974433974,M
Brereton,23.45506974433974,M
Lizzie,22.535263087698965,F
Bella,22.535263087698965,F
Dick Purser,21.615456431058192,M
Mary Boleyn,21.615456431058192,F
Stephen Vaughan,20.69564977441742,M
Lady Mary,20.69564977441742,F
Rowland Lee,19.775843117776642,M
Suffolk,18.85603646113587,?
Thurston,18.396133132815482,M
Lucy,17.936229804495095,F
Lady Bryan,17.016423147854322,F
Nicholas Carew,16.556519819533936,M
Jesus,16.096616491213545,M
Westminster,16.096616491213545,?
Jane Seymour,15.63671316289316,F
Erasmus,15.63671316289316,M
Gascoigne,15.63671316289316,M
Tommaso,15.176809834572772,M
Mary Shelton,14.257003177931999,M
Tom Wyatt,13.337196521291224,M
Christopher,13.337196521291224,M
Lady Rochford,13.337196521291224,F
Boleyns,13.337196521291224,?
Henry Norris,13.337196521291224,M
Hell,12.877293192970837,?
Guido,12.877293192970837,M
William Stafford,12.877293192970837,M
Anne Cromwell,12.877293192970837,F
Margaret,12.41738986465045,F
Richard Cromwell,12.41738986465045,M
Anne Boleyn,12.41738986465045,F
Canterbury,12.41738986465045,?
Francis Bryan,12.41738986465045,M
Paul,11.957486536330064,M
Hugh Latimer,11.497583208009676,M
Dacre,11.497583208009676,M
Bainham,11.03767987968929,M
Henry Pattinson,10.577776551368903,M
John Petyt,10.577776551368903,M
Winchester,10.577776551368903,?
Warham,10.577776551368903,?
Mary Magdalene,10.577776551368903,F
Chelsea,10.577776551368903,F
Henry Wyatt,10.577776551368903,M
Sheba,10.117873223048516,F
Dame Elizabeth,10.117873223048516,F
Lord Rochford,10.117873223048516,M
Thomas Rotherham,10.117873223048516,M
Lady Shelton,10.117873223048516,F
Lord Berners,9.657969894728128,M
Luca,9.657969894728128,M
Hampton Court,9.657969894728128,M
Dame Alice,9.198066566407741,F
Kent,8.738163238087354,M
Esher,8.738163238087354,?
Patch,8.278259909766968,?
Joan,8.278259909766968,F
Anne Cresacre,8.278259909766968,F
Morton,8.278259909766968,M
Sexton,7.81835658144658,M
Reginald Pole,7.81835658144658,M
Cornish,7.358453253126193,M
Bosworth,7.358453253126193,M
Southwell,7.358453253126193,M
Bet,7.358453253126193,?
Londoners,7.358453253126193,?
Castiglione,6.898549924805806,M
François,6.898549924805806,?
Little Bilney,6.438646596485419,?
bush,6.438646596485419,M
Catherine Fillol,6.438646596485419,F
Gray,6.438646596485419,M
Owen Madoc,6.438646596485419,M
Margarete,6.438646596485419,F
Roper,5.978743268165032,M
