NAME,# MENTIONS / 100K WORDS,GENDER
Julius,1488.3610168483,M
Fall,345.2997559088,F
William,285.7653152349,M
Sarah,240.5191403227,F
Chuck,227.4215633744,M
Hoa,219.0867416801,F
Meg,188.1288325296,F
Noel,142.8826576174,M
Marie-Claude,139.310591177,F
Edward,94.0644162648,M
Anderson,71.4413288087,M
St. Ebury,44.0554860987,?
Johnny,39.2927308448,M
Jules,30.9579091504,M
Carlos,30.9579091504,M
Christine,28.5765315235,F
Lisette,27.38584271,F
Antony,22.6230874561,M
Chris,20.2417098291,M
Hoo,19.0510210157,M
Hull,19.0510210157,M
Julie,17.8603322022,F
Sutton,16.6696433887,M
Tom,15.4789545752,M
Brown,15.4789545752,M
Chuckie,15.4789545752,?
Fallon,15.4789545752,M
Shaughnessy,14.2882657617,F
Black,11.9068881348,?
Chez Henri,11.9068881348,M
Coke,11.9068881348,?
bush,11.9068881348,?
Anderson Ford,11.9068881348,M
Green,11.9068881348,?
Stephanie,10.7161993213,F
Sharon,9.5255105078,M
Ronnie,8.3348216944,M
Jesus,8.3348216944,?
Mr. Staples,8.3348216944,M
Sean McAdams,7.1441328809,M
RCMP,7.1441328809,?
Harry,5.9534440674,M
Paul,4.7627552539,M
Monsieur Jool,3.5720664404,?
Tim,3.5720664404,M
NASCAR,3.5720664404,?
Rugby League,3.5720664404,?
Glebe,3.5720664404,?
Niles,2.381377627,?
Mr. Hurlius,2.381377627,?
McGill,2.381377627,?
Jim Shank,2.381377627,?
Jess,2.381377627,?
