NAME,# MENTIONS / 100K WORDS,GENDER
Lissa,1572.4367062523381,F
Dimitri,1261.7536473557068,M
Sonya,533.8676236550277,F
Adrian,494.5567059987192,M
Victor,277.0785647710773,M
Moroi,258.69120006086854,?
Jill,246.0102588814142,F
Abe,203.52910593024214,M
Christian,200.99291769435126,M
Tatiana,188.31197651489694,F
Tasha,149.6351059175612,F
Strigoi,135.68607062016142,?
Rose,133.14988238427057,M
Robert,126.17536473557067,M
Eddie,109.69014120228003,M
Emily,109.69014120228003,F
Ambrose,93.2049176689894,M
Mikhail,81.79207060748048,M
Daniella,77.35374119467147,F
Hans,71.64731766391702,M
Joshua,67.208988251108,M
Angeline,63.4047058972717,F
Dragomir,62.13661177932626,M
Donovan,58.96637648446268,M
Joe,44.383294128090185,M
Blake,39.944964715281166,M
Sarah,38.04282353836302,F
Council,37.4087764793903,F
Ian,36.14068236144487,M
Ariana,33.604494125554,F
Raymond,31.70235294863585,F
Nathan,30.434258830690414,M
Zoe,29.8002117717177,F
Serena,28.532117653772264,F
Eric Dragomir,26.62997647685411,M
Stanton,24.093788240963246,M
John,24.093788240963246,M
Ekaterina,22.191647064045092,F
Vladimir,21.557600005072377,M
Marie Conta,17.11927059226336,F
Ethan,17.11927059226336,M
Keith,14.58308235637249,M
Rufus,14.58308235637249,M
Barnes,13.949035297399773,M
Horowitz,13.314988238427055,M
Grant,12.046894120481623,M
Janine,12.046894120481623,F
James,10.144752943563471,M
Mia,10.144752943563471,F
Paulette,9.510705884590754,F
Tarasov,9.510705884590754,?
Aunt Tasha,8.24261176664532,F
Michaelson,8.24261176664532,M
Roza,8.24261176664532,M
Deirdre,7.6085647076726035,F
Alexandra,7.6085647076726035,F
Steele,7.6085647076726035,M
Marcus Lazar,6.340470589727169,M
Mason,6.340470589727169,M
Honda,5.072376471781736,M
Boris,5.072376471781736,M
Meredith,5.072376471781736,?
Damon Tarus,5.072376471781736,?
Dr. Olendzki,4.4383294128090185,?
Penguin Books Ltd,4.4383294128090185,?
Ava Drozdov,4.4383294128090185,F
Mitchell,4.4383294128090185,M
Ronald Ozera,3.8042823538363018,M
Marcella,3.8042823538363018,F
Marta Drozdov,3.1702352948635846,F
Jillian,3.1702352948635846,?
Rhonda,3.1702352948635846,F
Anna,2.536188235890868,F
Ann Arbor,2.536188235890868,F
Lady Badica,2.536188235890868,?
Jared,2.536188235890868,?
Liss,2.536188235890868,?
Mrs. Mastrano,1.9021411769181509,F
Ms. Karp,1.9021411769181509,F
Lord Ozera,1.9021411769181509,M
Avery Lazar,1.9021411769181509,?
Lord Ivashkov,1.268094117945434,?
Esmond,1.268094117945434,?
Andre,1.268094117945434,?
Tom Darnell,1.268094117945434,?
Phil,1.268094117945434,?
Richelle Mead,1.268094117945434,?
Molly,1.268094117945434,?
Jane Doe,1.268094117945434,?
