NAME,# MENTIONS / 100K WORDS,GENDER
Jean,1367.1331396190285,M
Avery,996.4040390545852,M
Marina,291.684757801454,F
Lucjan,258.28573973258517,F
Ewa,166.99509034434388,F
Janina,85.72414637676319,F
Montand,61.23153312625942,F
Daub,54.551729512485664,M
Lena,52.32512830789442,F
Paweł,52.32512830789442,?
William,51.211827705598786,M
Wadi Halfa,47.871925898711915,M
Annie,46.758625296416284,F
Owen,45.64532469412066,M
Nina,38.9655210803469,F
Ranger,37.85222047805128,M
Mr. Snow,37.85222047805128,F
Abu Simbel,36.738919875755656,M
Lawrence,32.285717466573146,M
Hassan Dafalla,30.0591162619819,M
Władka,23.379312648208142,?
Elizabeth David,22.266012045912518,F
Ramses,21.15271144361689,?
Clarendon,20.039410841321263,?
Maria Abado,18.92611023902564,F
Piotr,18.92611023902564,M
Girba,17.812809636730012,M
Stalin,17.812809636730012,M
John Shaw,17.812809636730012,M
Sarah,14.472907829843136,F
Faras,14.472907829843136,?
Nubians,14.472907829843136,?
Nasser,12.246306625251885,M
Bett,11.133006022956259,?
Elisabeth,10.019705420660632,F
Monkey,8.906404818365006,?
Tom,8.906404818365006,M
Miri,8.906404818365006,F
Jan Piletski,8.906404818365006,?
Gregor Mendel,8.906404818365006,M
Ostap,8.906404818365006,?
Georgiana Foyle,7.793104216069381,?
Sarra,7.793104216069381,M
Beata,7.793104216069381,F
Heyerdahl,6.679803613773755,F
St. Anne,6.679803613773755,F
Pawel,5.5665030114781295,M
Farran,5.5665030114781295,?
Willy,5.5665030114781295,M
Robinson Kruzoes,4.453202409182503,M
Dickinson,4.453202409182503,?
Giovanni Belzoni,4.453202409182503,M
Carl Schaefer,4.453202409182503,M
Home Army,4.453202409182503,?
Bucyrus,4.453202409182503,?
Janusz,4.453202409182503,M
Frank Jarvis,4.453202409182503,M
Homo,4.453202409182503,?
Moulinette,4.453202409182503,?
Milles Roches,3.3399018068868775,?
Laura Nyro,3.3399018068868775,?
Rosario Castellanos,3.3399018068868775,?
Rebecca,3.3399018068868775,?
Suez,3.3399018068868775,?
Magnus,3.3399018068868775,?
Kokoschka,3.3399018068868775,?
Mr. Muldrew,3.3399018068868775,M
Plac Teatralny,2.2266012045912515,?
Red Army,2.2266012045912515,?
Dundas,2.2266012045912515,?
Sosnowski,2.2266012045912515,?
Keats,2.2266012045912515,?
Delta,2.2266012045912515,?
Dabarosa,2.2266012045912515,?
Magda Bogin,2.2266012045912515,?
Zlín,2.2266012045912515,?
Hanka Ordonówna,2.2266012045912515,?
Markell,2.2266012045912515,?
Witold,2.2266012045912515,?
Piaf,2.2266012045912515,?
Khrushchev,2.2266012045912515,?
Semna,2.2266012045912515,?
Czarny Kot,2.2266012045912515,?
Gaw,2.2266012045912515,?
Bonnard,2.2266012045912515,?
