NAME,# MENTIONS / 100K WORDS,GENDER
Emma,1834.855403348554,F
Dexter,1829.5281582952816,M
Ian,314.3074581430746,M
Sylvie,272.4505327245053,F
Jasmine,203.19634703196348,F
Callum,122.52663622526636,M
Suki,98.17351598173516,F
Tilly,79.1476407914764,F
Dex,70.01522070015221,?
Sonya,61.64383561643836,F
Julie Criscoll,51.75038051750381,F
Maddy,50.989345509893454,F
Stephanie,38.81278538812786,F
Ingrid,36.529680365296805,F
Cassie,35.76864535768645,F
Phil,35.76864535768645,M
Sam,34.24657534246575,M
Pete,32.724505327245055,M
Naomi,28.919330289193304,F
Tara,28.15829528158295,F
Jean-Pierre,28.15829528158295,M
Marsha,26.636225266362253,F
Martin,25.875190258751903,M
Scott,25.875190258751903,M
Toby,23.59208523592085,M
Mr Godalming,23.59208523592085,M
Heidi,22.831050228310502,F
Barbara,21.308980213089804,F
Murray,18.264840182648403,M
Miss Morley,17.503805175038053,F
Lionel,16.7427701674277,M
Oliver,14.459665144596652,M
matt black,14.459665144596652,M
Sid,13.698630136986301,M
Mark,11.415525114155251,M
Mrs Mayhew,10.654490106544902,F
Miffy Buchanan,9.89345509893455,M
University,9.89345509893455,?
Gary Nutkin,9.89345509893455,M
Helen,9.132420091324201,F
Arthur,9.132420091324201,M
Primo Levi,8.37138508371385,M
Fiona,8.37138508371385,F
Tove,8.37138508371385,?
Kwame,8.37138508371385,M
Jas,7.610350076103501,?
Moriarty,7.610350076103501,M
St Swithin,6.8493150684931505,?
Lech,6.8493150684931505,M
Leeds,6.0882800608828,?
Mrs Grainger,6.0882800608828,F
Emily Dickinson,5.327245053272451,F
Mary,5.327245053272451,F
Stephen Mayhew,5.327245053272451,M
Aaron,5.327245053272451,M
Howard,5.327245053272451,M
Surrey,5.327245053272451,?
Clapton,5.327245053272451,?
Earls Court,5.327245053272451,M
Gibbsy,4.566210045662101,?
Jim,4.566210045662101,?
Saddam,4.566210045662101,M
Yolande,4.566210045662101,F
Piazza,4.566210045662101,M
Adam,4.566210045662101,M
Charles Dickens,4.566210045662101,F
Paddy,4.566210045662101,M
Biggsy,4.566210045662101,?
Rachel,4.566210045662101,F
John Smith,4.566210045662101,M
Samir,4.566210045662101,M
Rhodes,3.8051750380517504,M
Caesar,3.8051750380517504,M
Tottenham Court Road,3.8051750380517504,?
Benoit,3.8051750380517504,M
Jack,3.8051750380517504,M
Stewart,3.8051750380517504,F
Nero,3.8051750380517504,M
Loco Caliente,3.8051750380517504,?
Emma T. Wilde,3.0441400304414,?
Woolworths,3.0441400304414,?
Brecht,3.0441400304414,M
Chris,3.0441400304414,M
Bob,3.0441400304414,?
Cross,3.0441400304414,?
Jerzy,3.0441400304414,M
Sarah,2.2831050228310503,?
Thomas Hardy,2.2831050228310503,M
Emma Mayhew,2.2831050228310503,?
Suki Mobile,2.2831050228310503,F
Jamiroquai,2.2831050228310503,?
Mari,2.2831050228310503,?
Accurist,2.2831050228310503,?
Wolverhampton,2.2831050228310503,?
Calvin Klein,2.2831050228310503,M
Jesus,2.2831050228310503,?
Dexy,2.2831050228310503,?
Sammy,2.2831050228310503,M
Mayhem TV plc,2.2831050228310503,?
Marianne,2.2831050228310503,?
Helmut Lang,2.2831050228310503,?
Labour Party,2.2831050228310503,?
Bush,2.2831050228310503,M
Hackney,2.2831050228310503,?
Luiza,2.2831050228310503,?
Daily Telegraph,1.5220700152207,?
Cromwell Road Comprehensive School,1.5220700152207,?
Eliot,1.5220700152207,?
Jean Seberg,1.5220700152207,?
Mr Mandela,1.5220700152207,?
Travis,1.5220700152207,?
Sandinistas,1.5220700152207,?
Kemal,1.5220700152207,?
Poseidon,1.5220700152207,?
Astaire,1.5220700152207,?
Amnesty International,1.5220700152207,?
Salisbury Crags,1.5220700152207,?
La Cucaracha,1.5220700152207,?
Jaguar,1.5220700152207,?
Fagin,1.5220700152207,?
