NAME,# MENTIONS / 100K WORDS,GENDER
Sylvia,940.4144501079529,F
Allen,497.47367952456204,M
Rosemary,452.95701916442226,F
Benito,232.59955038173035,M
Carl,214.79288623767445,M
Hell,208.1153871836535,?
Aimee,204.776637656643,F
Oscar,202.550804638636,M
Dante,191.42163954860106,M
God,190.30872303959757,?
Eloise,134.66289758942284,F
Ted,110.17873439134596,M
Frank,99.04956930131101,M
Girard,96.82373628330403,M
Bolgia,84.58165468426559,?
Billy,79.01707213924811,M
Ernesto,77.90415563024462,M
Minos,75.67832261223764,M
Phyllis,72.33957308522714,F
Lindemann,67.88790704921317,M
Black Talon,66.77499054020967,M
Lebeau,64.54915752220269,M
Angelo,63.43624101319919,M
Lester,43.40374385113629,M
Roger,42.29082734213279,M
Sammy,38.95207781512231,M
Steve,34.50041177910833,M
Corbett,33.387495270104836,M
Adams,32.274578761101345,M
Father Camillus,31.161662252097848,M
Bruno,31.161662252097848,M
Leonard,28.935829234090857,M
Camus,28.935829234090857,M
Carpentier,27.822912725087363,M
Charlie,26.70999621608387,M
Oppenheimer,25.597079707080375,M
Charon,25.597079707080375,M
Jack Lewis,21.145413671066397,M
Geryon,17.80666414405591,?
Armand,16.693747635052418,M
Jesus,16.693747635052418,M
Assia,15.580831126048924,?
Phlegyas,15.580831126048924,?
Einstein,15.580831126048924,M
Virgil,15.580831126048924,M
Hal,14.467914617045428,M
Phlegethon,14.467914617045428,?
Regina,13.354998108041935,F
Ken,13.354998108041935,M
Bart,13.354998108041935,M
Elena,13.354998108041935,F
Hitler,13.354998108041935,M
Else,13.354998108041935,?
Catholic Church,13.354998108041935,?
Jackson,12.24208159903844,M
Anna Nicole,11.129165090034945,F
Stalin,11.129165090034945,?
Mr. Carpenter,10.016248581031451,M
Crinatelli,10.016248581031451,?
Trotsky,10.016248581031451,M
Reinhard Heydrich,10.016248581031451,M
Catherine,10.016248581031451,F
Glicka,10.016248581031451,?
Danny,10.016248581031451,M
Saddam,8.903332072027956,M
Lucifer,8.903332072027956,M
Joan,8.903332072027956,F
Arline,8.903332072027956,F
Joachim,7.790415563024462,M
Reinhardt,7.790415563024462,M
Roman Church,7.790415563024462,M
Carlotta,7.790415563024462,?
Michael,6.677499054020967,M
Madam Bennett,6.677499054020967,F
Plutus,6.677499054020967,?
Messier Girard,6.677499054020967,M
Horace,6.677499054020967,M
Pink Talon,6.677499054020967,?
Peter Lawford,6.677499054020967,M
Erasmus,5.564582545017473,?
Hoover,5.564582545017473,?
Robert,5.564582545017473,?
Dr. Woznak,5.564582545017473,?
Vickie,5.564582545017473,F
Jezebeth,5.564582545017473,?
Cellini,5.564582545017473,?
William Bonney,5.564582545017473,M
Maria,5.564582545017473,F
Antaeus,5.564582545017473,?
Carlos,5.564582545017473,M
Churchill,5.564582545017473,M
Sarah,4.451666036013978,F
Herod,4.451666036013978,M
Augustus,4.451666036013978,?
FDA,4.451666036013978,?
John,4.451666036013978,?
George Lincoln Rockwell,4.451666036013978,M
Pat Garrett,4.451666036013978,M
Don Camillus,4.451666036013978,M
Malcolm,4.451666036013978,M
Tom Eliot,3.3387495270104837,M
Simon Raven,3.3387495270104837,?
Leroy Thompkins,3.3387495270104837,?
Paul,3.3387495270104837,M
James Bond,3.3387495270104837,M
Aspasia,3.3387495270104837,?
David,3.3387495270104837,?
Rachel Carson,3.3387495270104837,?
Alexander,3.3387495270104837,?
Sybacca,3.3387495270104837,?
Tony,3.3387495270104837,M
Esquire,3.3387495270104837,?
Madelyn,3.3387495270104837,?
Puccini,3.3387495270104837,M
Daniel,2.225833018006989,?
Gianni Schicchi,2.225833018006989,?
Jehovah,2.225833018006989,?
Ben Reynolds,2.225833018006989,?
NASCAR,2.225833018006989,?
Clinton,2.225833018006989,?
Morris,2.225833018006989,?
NASA,2.225833018006989,?
Harv,2.225833018006989,?
Lord Cherwell,2.225833018006989,?
Brothers,2.225833018006989,?
Kennedy,2.225833018006989,?
Vickie-Anna,2.225833018006989,?
Nazi Party,2.225833018006989,?
Marilyn Monroe,2.225833018006989,?
Oscar T. J. White,2.225833018006989,?
Al,2.225833018006989,?
Brother Ignatius,2.225833018006989,?
