NAME,# MENTIONS / 100K WORDS,GENDER
Chuck,1209.2654253464918,M
Rachel,596.2183409263022,F
Jake,177.90385979252562,M
Abelsky,106.98272649685663,M
Taspinar,88.95192989626281,M
Hans,86.54782368285031,M
Vinay,74.52729261578777,M
Anne,66.11292086884399,F
Rivera,66.11292086884399,M
Eliza,60.10265533531271,F
Danielle,57.69854912190021,F
Cardozo,56.49649601519395,M
Martin,45.678018054837665,M
Carl,38.46569941460014,M
Faruk,36.06159320118763,M
Holland,30.051327667656356,M
Jennifer,28.849274560950104,F
Marinello,24.041062134125085,M
Matt,22.839009027418832,M
Tony,22.839009027418832,M
Hubert,21.636955920712577,M
Jesus,20.43490281400632,M
Chelsea,20.43490281400632,F
Charles,20.43490281400632,M
Ronald McDonald,19.23284970730007,M
Walker Park,16.82874349388756,?
Umar,16.82874349388756,M
Roy,15.626690387181306,M
George,14.424637280475052,M
Bush,14.424637280475052,M
Jeroen,13.222584173768798,?
Avalon,12.020531067062542,?
Roop,12.020531067062542,M
HBS,10.818477960356288,?
Corrigan,10.818477960356288,M
Cadillac,10.818477960356288,?
Tino,10.818477960356288,M
Appleby,10.818477960356288,M
Behar,10.818477960356288,M
Shiv,10.818477960356288,M
Chadwick,9.616424853650035,M
Guillermo,9.616424853650035,M
Dr. Flavian Seem,9.616424853650035,?
Hitler,8.41437174694378,M
Mrs. Taspinar,8.41437174694378,F
Floris,7.212318640237526,?
DMV,6.010265533531271,?
Mama,6.010265533531271,F
Juliet Schwarz,6.010265533531271,?
Daddy,6.010265533531271,?
National Park Service,6.010265533531271,?
Monica Lewinsky,4.808212426825017,?
NutraSweet,4.808212426825017,?
Antun,4.808212426825017,?
Schulz,4.808212426825017,M
New York Cricket Club,4.808212426825017,?
Saddam Hussein,4.808212426825017,M
Ramesh,3.606159320118763,M
BQE,3.606159320118763,?
Nelson,3.606159320118763,?
Leeds,3.606159320118763,?
Floyd Bennett Field,3.606159320118763,?
Willem,3.606159320118763,M
Mrs. Bolton,3.606159320118763,F
Dr. Schwarz,3.606159320118763,?
Boris,3.606159320118763,M
Toyota,3.606159320118763,?
Salvy,3.606159320118763,?
McGarrell,2.4041062134125086,?
Johannus F. H. van den Broek,2.4041062134125086,?
Benjamin Franklin,2.4041062134125086,?
Mark,2.4041062134125086,?
Worcestershire,2.4041062134125086,?
Westland,2.4041062134125086,?
YMCA,2.4041062134125086,?
Johnson,2.4041062134125086,?
Yankees,2.4041062134125086,?
INS,2.4041062134125086,?
Gianni,2.4041062134125086,?
Pallot,2.4041062134125086,?
Congress,2.4041062134125086,?
Coke,2.4041062134125086,?
Karen,2.4041062134125086,?
Kennedylaan,2.4041062134125086,?
Abraham,2.4041062134125086,?
Coca-Cola,2.4041062134125086,?
Google,2.4041062134125086,?
Prashanth Ramachandran,2.4041062134125086,?
