NAME,# MENTIONS / 100K WORDS,GENDER
Cindy,1016.2127485857584,F
Conklin,762.5240566863008,M
Yuki,419.8985245232402,M
Claire,361.57928500612354,F
Joe,255.14667288738553,M
Bagman Jesus,253.68869189945764,M
Stacey Glenn,252.2307109115297,F
Rich,244.94080597189011,M
Jacobi,192.4534904064851,M
Sara Needleman,183.7056044789176,F
Wallis,144.34011780486384,M
Sarah,141.424155829008,F
Neil Pincus,131.21828891351257,M
Pete,121.01242199801715,M
Rodney Booker,115.18049804630547,M
Sammy,113.72251705837756,M
Norma,113.72251705837756,F
Lindsay,100.6006881670263,F
Hoffman,99.14270717909838,M
Isa,93.31078322738672,M
Duffy,87.47885927567505,M
McCorkle,86.02087828774712,M
Molly,74.35703038432379,F
Nicky,72.89904939639587,F
Doc,71.44106840846796,?
Parisi,68.52510643261212,M
McKenzie Oliver,65.60914445675628,M
Clapper,59.77722050504462,M
Ethan,53.945296553332945,M
Chi,52.48731556540503,M
Christopher Ross,51.02933457747711,M
Rose Glenn,48.11337260162127,M
Booker,46.65539161369336,M
Flora,43.739429637837524,F
Lawanda,43.739429637837524,F
Boxer,42.281448649909606,M
Casey,37.90750568612585,M
Dr. Harris,34.991543710270015,M
Chesney,34.991543710270015,M
Marcus,34.991543710270015,M
Richie,33.5335627223421,M
Blue,32.075581734414186,M
Louise,32.075581734414186,F
John,32.075581734414186,M
Jo-Jo,30.617600746486264,M
Brian Caine,29.15961975855835,M
Chris,29.15961975855835,M
Samantha,27.70163877063043,F
Wilde,27.70163877063043,M
Hanni,27.70163877063043,M
Daddy,26.243657782702513,M
Mr. Jesus,26.243657782702513,M
Friedman,24.785676794774595,?
Al Pincus,24.785676794774595,M
St. Jude,20.411733830990844,M
Wilkinson,18.953752843062926,M
Vasuki,18.953752843062926,?
Hernandez,18.953752843062926,?
Lorraine,17.495771855135008,F
Mr. Pincus,17.495771855135008,M
Tracchio,17.495771855135008,M
Lynn Colomello,16.037790867207093,F
Susie,16.037790867207093,F
Ms. Castellano,16.037790867207093,F
Linds,16.037790867207093,?
Brenda,14.579809879279175,F
Tyco,14.579809879279175,?
Adam Johnson,14.579809879279175,M
Asher,14.579809879279175,M
McNeil,13.121828891351257,M
Alan Pincus,13.121828891351257,M
Leahy,13.121828891351257,M
Mommy,13.121828891351257,F
Marc,11.66384790342334,M
Townsend,11.66384790342334,?
Luvie,11.66384790342334,?
Martha,11.66384790342334,F
Billy Booker,11.66384790342334,M
Petey,11.66384790342334,M
Mr. Booker,11.66384790342334,M
Carly Phelan,11.66384790342334,?
Peter Gordon,10.205866915495422,M
Brady,10.205866915495422,M
Mrs. Friedman,10.205866915495422,F
Fenn,10.205866915495422,M
Lallie,8.747885927567504,?
Bunker,8.747885927567504,M
Bryant,8.747885927567504,?
Tina,8.747885927567504,F
Mr. Johnson,8.747885927567504,M
Juan Gomez,8.747885927567504,M
Sherry,7.289904939639587,F
Rogers,7.289904939639587,?
Mrs. Glenn,7.289904939639587,F
Allen,7.289904939639587,M
Warren,7.289904939639587,?
EMS,7.289904939639587,?
Mischa,7.289904939639587,?
Blondie,7.289904939639587,?
Harry Bainbridge,5.83192395171167,M
Sheryl Crow,5.83192395171167,F
Jackie Kam,5.83192395171167,?
Kenny,5.83192395171167,M
Sean Penn,5.83192395171167,M
SFPD,5.83192395171167,?
Grealish,5.83192395171167,?
Bernie,5.83192395171167,M
Dowlings,5.83192395171167,?
Lincoln,5.83192395171167,?
Kathy Valoy,5.83192395171167,F
Stimpson,5.83192395171167,?
Katherine Delmar Burke School,5.83192395171167,?
Lemke,5.83192395171167,?
Hampton,5.83192395171167,?
Bill Tarbox,4.373942963783752,?
Moe,4.373942963783752,?
Michelle,4.373942963783752,?
Noonan,4.373942963783752,?
Mr. Neil,4.373942963783752,M
Godfrey,4.373942963783752,?
Tony,4.373942963783752,?
San Francisco Chronicle,4.373942963783752,?
CSU,4.373942963783752,?
Bridge Authority,4.373942963783752,?
Samuels,4.373942963783752,?
Anthony Glenn,4.373942963783752,M
Miss Thomas,4.373942963783752,?
WCF,4.373942963783752,?
MacBain,4.373942963783752,?
Dr. Wetmore,4.373942963783752,M
Feller,4.373942963783752,?
Metro,4.373942963783752,?
Frank,4.373942963783752,?
Chen,4.373942963783752,?
Ms. Glenn,2.915961975855835,?
Franklin Morris,2.915961975855835,?
Volvo,2.915961975855835,?
Sam,2.915961975855835,?
Armani,2.915961975855835,?
Sparks,2.915961975855835,?
Glenns,2.915961975855835,?
Toni Reynolds,2.915961975855835,?
Dr. Washburn,2.915961975855835,?
Coke,2.915961975855835,?
Pierce,2.915961975855835,?
Ms. Wu,2.915961975855835,?
Van Morrison,2.915961975855835,?
Google,2.915961975855835,?
Miller,2.915961975855835,?
