NAME,# MENTIONS / 100K WORDS,GENDER
Matty,1529.5448328885407,M
Eric,962.5265212280715,M
Yolonda,525.6193215001219,F
Ike,479.0454575697314,M
Billy,345.9772749114727,M
Tristan,230.65151660764846,M
Lugo,147.11426860551938,M
Boulware,130.85037961395443,M
Steele,127.89330888821533,M
Berkowitz,112.36868757808514,M
Nina,98.32260163082451,F
Minette,93.14772786078112,M
Bree,80.58017727639,F
Daley,78.3623742320857,M
Iacone,73.92676814347708,M
Little Dap,72.44823278060753,?
Eldridge,63.57702060339028,M
Mullins,59.880682196216426,M
Bobby,53.22727306330349,M
Irma,50.270202337564406,F
Danny,45.83459624895578,M
Mr. Marcus,42.13825784178193,M
Nikki,38.441919434608074,F
Flaherty,38.441919434608074,M
Tucker,34.74558102743423,M
Jesus,33.267045664564684,M
Sarah Bowen,31.04924262026037,F
Beck,30.3099749388256,M
Fenton,30.3099749388256,M
Eddie,28.092171894521286,M
Alessandra,27.352904213086518,F
Berkmann,27.352904213086518,?
God,25.135101168782203,M
Nazir,25.135101168782203,M
Randal,23.656565805912663,M
Mangold,21.438762761608352,M
Virgin Mary,20.69949508017358,F
Alvin,20.69949508017358,M
Big Dap,20.69949508017358,M
Clarence,19.220959717304037,M
Kendra,19.220959717304037,F
Steve,18.48169203586927,M
Upshaw,17.742424354434498,M
Forsyth House,16.263888991564954,M
Morris,16.263888991564954,M
Scharf,15.524621310130184,M
New York Post,15.524621310130184,M
Paul Ng,15.524621310130184,M
Elena,14.785353628695415,F
Isaac Marcus,14.046085947260643,M
ADA,13.306818265825873,?
Lester,13.306818265825873,M
Lindsay,13.306818265825873,F
Avner,12.567550584391102,M
Paulie,12.567550584391102,M
Geohagan,12.567550584391102,?
Lemlich,11.828282902956332,?
James,11.08901522152156,M
Matty Junior,10.34974754008679,M
Pitt,9.610479858652019,?
Carmody,8.871212177217249,M
Yolanda,8.871212177217249,F
Howard Johnson,8.871212177217249,M
Fortgang,8.871212177217249,?
Ming Lam,8.871212177217249,M
Eighth Squad,8.871212177217249,M
Oliver,8.871212177217249,M
Tania,8.871212177217249,F
Henry,8.131944495782477,M
Madison,8.131944495782477,?
Devon,8.131944495782477,M
Dora,7.392676814347707,F
Sarge,7.392676814347707,?
Benny,7.392676814347707,M
Lanny,7.392676814347707,M
Seward Park High School,7.392676814347707,M
Ludlow,7.392676814347707,?
Stanton,6.653409132912937,?
Riis,6.653409132912937,M
Fredro,6.653409132912937,?
Crystal Santos,6.653409132912937,F
Rosaria,6.653409132912937,F
Allen,6.653409132912937,M
Clinton,6.653409132912937,M
Essex,6.653409132912937,?
Lake George,6.653409132912937,M
Jeremy,6.653409132912937,M
Albert,6.653409132912937,M
Paloma,6.653409132912937,F
Gloria,6.653409132912937,F
Bird,5.914141451478166,?
Mush,5.914141451478166,?
Mangini,5.914141451478166,M
Cab Calloway,5.914141451478166,M
Carlos,5.914141451478166,M
Cahan,5.914141451478166,?
Donald,5.914141451478166,M
Katz,5.174873770043395,M
Dargan,5.174873770043395,M
David,5.174873770043395,?
CSU,5.174873770043395,?
Baumgartner,5.174873770043395,?
William Marcus,5.174873770043395,M
Latina,5.174873770043395,F
Russell,4.435606088608624,?
Colin Farrell,4.435606088608624,M
Willie Bosket,4.435606088608624,M
Dubinsky,4.435606088608624,M
Derek Jeter,3.6963384071738536,M
Landsman,3.6963384071738536,?
Nelson,3.6963384071738536,M
Kenny Chan,3.6963384071738536,M
Yankees,3.6963384071738536,?
Hector Maldonado,3.6963384071738536,M
Chrystie,3.6963384071738536,?
Ms. Hatrack,3.6963384071738536,F
Avi,3.6963384071738536,M
Naz,3.6963384071738536,M
Donnie,2.957070725739083,M
Borough Patrol,2.957070725739083,?
Reddy Wilson,2.957070725739083,?
Rodriguez,2.957070725739083,M
Grouchie,2.957070725739083,?
McConnell,2.957070725739083,?
Liquor Board,2.957070725739083,?
Smoov,2.957070725739083,?
Toyota,2.957070725739083,?
Ivan,2.957070725739083,?
Randolph,2.957070725739083,M
NYU,2.217803044304312,?
Bailey,2.217803044304312,M
Honda,2.217803044304312,?
Kelley Steele,2.217803044304312,?
Olga Baker,2.217803044304312,?
Yoli,2.217803044304312,?
Damien,2.217803044304312,?
Henry Hudson Parkway,2.217803044304312,?
Verizon,1.4785353628695415,?
T. S. Eliot,1.4785353628695415,?
Diners Club,1.4785353628695415,?
Formica,1.4785353628695415,?
Halle Berry,1.4785353628695415,?
Haley,1.4785353628695415,?
Shakespeare,1.4785353628695415,?
Mike,1.4785353628695415,?
Samram Prahash,1.4785353628695415,?
Yossel,1.4785353628695415,?
BCBG,1.4785353628695415,?
UN,1.4785353628695415,?
Denali,1.4785353628695415,?
Port Authority,1.4785353628695415,?
Pike,1.4785353628695415,?
Khrushchev,1.4785353628695415,?
bin Laden,1.4785353628695415,?
Iacono,1.4785353628695415,?
Galahad,1.4785353628695415,?
ESU,1.4785353628695415,?
Amos,1.4785353628695415,?
Tariq,1.4785353628695415,?
Matthew Clark,1.4785353628695415,?
