NAME,# MENTIONS / 100K WORDS,GENDER
Carter,1377.6535243906328,M
Emma,838.7103632285565,F
Mac,735.5989497517885,F
Linda,527.2501142729583,F
Parker,433.70573916001405,M
Sherry,318.90127879412796,F
Laurel,283.8221381267739,F
Corrine,231.7349292570663,F
Mackensie,228.54591646912505,M
Bob,200.9078056403006,M
God,103.11141347676804,M
Jack,88.22935379970873,M
Elizabeth,82.91433248647327,F
Alison,75.47330264794361,F
Ari,69.09527707206107,M
Del,65.90626428411979,M
Garrett,53.15021313235466,M
Nick,35.079140667354075,M
Diane,35.079140667354075,F
Rosalind,34.016136404706984,F
Stephanie,34.016136404706984,F
Rosa,30.827123616765704,?
Dee,27.638110828824423,M
Pam,24.449098040883143,F
Dr. Maguire,24.449098040883143,M
Jessica,23.386093778236052,F
Eloisa,20.197080990294772,F
Charles,18.071072465000583,M
Martin,17.008068202353492,M
Grandma,17.008068202353492,F
Mrs. Grady,17.008068202353492,F
Naomi,17.008068202353492,F
Jesus,17.008068202353492,M
Mike,15.945063939706397,M
Brown,13.819055414412212,M
Emmaline,12.756051151765119,?
Josh,11.693046889118026,M
CBBM,10.630042626470932,?
Kate,10.630042626470932,F
Julie,10.630042626470932,F
Miranda,9.567038363823839,?
Yale,9.567038363823839,?
Meg,9.567038363823839,F
Roxanne,8.504034101176746,F
Maureen,8.504034101176746,F
Jessie,7.441029838529652,F
Amy,7.441029838529652,F
Coke,7.441029838529652,?
Geoffrey Elliot,7.441029838529652,M
Brown Estate,7.441029838529652,?
Parks,6.3780255758825595,?
Donny,6.3780255758825595,M
Nordstrom,6.3780255758825595,?
Whitney,6.3780255758825595,?
Stu,6.3780255758825595,M
Barry White,6.3780255758825595,M
Mitch,5.315021313235466,M
Shakespeare,5.315021313235466,?
Harold,5.315021313235466,?
La Perla,5.315021313235466,?
Rod,5.315021313235466,M
Gregory Peck,4.252017050588373,M
Margaret,4.252017050588373,F
Greg,4.252017050588373,M
Browns,4.252017050588373,?
Vince,3.1890127879412797,?
Brian,3.1890127879412797,?
Ms. Poulsen,3.1890127879412797,F
Nikon,3.1890127879412797,?
Baby,3.1890127879412797,?
Corrinda,3.1890127879412797,?
Michael,3.1890127879412797,?
Armani,3.1890127879412797,?
Mrs. Seaman,3.1890127879412797,F
Linda Elliot,3.1890127879412797,?
Megan,2.1260085252941865,?
KATHRYN SEAMAN,2.1260085252941865,?
Vicki,2.1260085252941865,?
Coward,2.1260085252941865,?
Sam,2.1260085252941865,?
