NAME,# MENTIONS / 100K WORDS,GENDER
Paul,1005.001852537977,M
Sherwin,590.4964801778436,M
Lois,240.8299370137088,F
Jeremy,206.09484994442386,M
Mona,118.09929603556873,F
Sara Smile,106.52093367914043,F
God,94.94257132271211,?
Jesus,69.47017413856985,M
Wayne Ford,60.2074842534272,M
Henry,57.89181178214153,M
Joseph,55.57613931085587,M
Spokane Tribe of Indians,48.62912189699889,?
Bernard,41.682104483141906,M
William Blake,41.682104483141906,M
Bruce Lee,37.05075954057058,M
Spence,34.73508706928492,M
James,32.41941459799926,M
Karen,30.1037421267136,F
Marvin Gaye,30.1037421267136,M
Althea,27.788069655427936,F
Eddie,25.472397184142274,?
Richard McPhee,23.156724712856615,M
Briggs,20.841052241570953,?
Max,20.841052241570953,M
Irving Berlin,20.841052241570953,M
Souter,20.841052241570953,M
Tolkin,18.52537977028529,M
Mark,16.20970729899963,M
Audrey Hepburn,16.20970729899963,F
Medea,13.894034827713968,F
Sasquatch,13.894034827713968,?
Coeur,13.894034827713968,?
Catholic,11.578362356428308,?
Mr. Baron,11.578362356428308,M
Lincoln,9.262689885142645,M
Adolph,9.262689885142645,?
Levi,9.262689885142645,M
University of Washington,9.262689885142645,?
Dr. Marashi,9.262689885142645,M
Daddy,9.262689885142645,?
Gene Kelly,9.262689885142645,M
Shakespeare,6.947017413856984,?
New York Times,6.947017413856984,?
Joe,6.947017413856984,?
Oates,6.947017413856984,?
Garfield High School,6.947017413856984,?
Walt Whitman,6.947017413856984,?
Big Jim,6.947017413856984,?
U.S. Forest Service,6.947017413856984,?
George Wilson,4.631344942571323,?
Uri Geller,4.631344942571323,?
Colville Indian Reservation,4.631344942571323,?
Willy,4.631344942571323,?
Hamlet,4.631344942571323,?
Jacob,4.631344942571323,?
Jimmy Stewart,4.631344942571323,?
Leonard Elmore,4.631344942571323,?
Oswald,4.631344942571323,?
