NAME,# MENTIONS / 100K WORDS,GENDER
Heather,640.9519587075869,F
Graham,258.35125918871137,M
Chris,238.64650213194525,M
Jason,205.25788600798043,M
Lenny,176.79545914820713,M
Bambi,172.41662424670355,F
Daybreak,153.25922155262538,M
Arnie,152.71186718993744,M
Cameron,133.55446449585926,M
Samuelson,123.15473160478825,M
Pendano,106.18674636146187,M
Cam,102.35526582264625,M
Shaunsen,99.6184940092065,M
Zach,86.48198930469576,M
Norcross,82.10315440319216,M
Dr. Weisbrod,73.345484600185,M
Allie,72.25077587480911,F
Ysabel,54.18808190610683,M
Browder,53.093373180730936,M
Beth,52.54601881804299,F
Quattro Larsen,47.07247519116351,M
Cooper,47.07247519116351,M
Grady,46.525120828475565,F
Mensche,43.24099465234788,M
Greg,42.69364028965993,M
DC,37.22009666278045,?
Carlucci,36.125387937404554,M
Sherry,32.29390739858892,F
Bolton,29.557135585149183,M
Air Force,29.009781222461232,M
Davis,28.462426859773284,M
Cletus,28.462426859773284,M
Dad,25.725655046333546,M
McIntyre,25.725655046333546,M
State,25.1783006836456,?
Robert,24.63094632095765,M
Crittenden,23.536237595581756,M
Olympia,22.98888323289381,F
Secret Service,22.98888323289381,?
Aaron,22.44152887020586,M
Abel,21.894174507517913,M
White House,21.346820144829966,M
YUMA,21.346820144829966,F
Karl,21.346820144829966,M
John Samuelson,20.252111419454067,M
Edwards,19.70475705676612,M
St. Elizabeth,18.062693968702277,F
Pueblo,18.062693968702277,?
Green,18.062693968702277,?
Howard,18.062693968702277,M
Rusty,16.420630880638434,M
Christ,15.873276517950487,M
FBI,15.873276517950487,?
Tracy,15.873276517950487,M
Cabinet,14.778567792574592,?
Army,14.231213429886642,?
Daybreakers,14.231213429886642,?
Mr. Nguyen-Peters,14.231213429886642,M
NCCC,14.231213429886642,?
Harrison Castro,13.683859067198695,M
Garren,13.683859067198695,M
Newberry,13.683859067198695,M
Rogers,13.136504704510747,M
Jesus,12.5891503418228,M
Congress,12.5891503418228,?
Kowalski,12.041795979134852,M
Everett,12.041795979134852,M
EMP,12.041795979134852,?
Isaac,11.494441616446904,M
Del,11.494441616446904,M
George,11.494441616446904,M
Anne,10.947087253758957,F
Debbie,10.947087253758957,F
Daybreak AG,10.947087253758957,F
Mr. President,10.947087253758957,M
Dr. Lee,10.399732891071007,M
Dr. Yang,10.399732891071007,M
Navy,9.85237852838306,?
Benning,9.85237852838306,?
National Unity Guard,9.85237852838306,M
Stan,9.85237852838306,M
Senate,9.85237852838306,?
Reynolds,9.85237852838306,M
Hummer,9.305024165695112,?
Scott Jevons,8.757669803007165,M
Department of Homeland Security,8.210315440319217,?
Rangers,8.210315440319217,?
Phat,8.210315440319217,?
Ferein,8.210315440319217,M
Randolph,8.210315440319217,M
Tattinger,7.6629610776312695,F
Pranger,7.6629610776312695,M
Marine,7.115606714943321,?
Davidson,7.115606714943321,M
Harold,7.115606714943321,M
NSA,7.115606714943321,?
Castle Castro,6.5682523522553735,M
James,6.5682523522553735,M
Defense,6.5682523522553735,?
Republican,6.5682523522553735,?
Taylor,6.5682523522553735,M
Cassie,6.5682523522553735,F
Steve,6.5682523522553735,M
Marshall,6.020897989567426,M
Taggart,6.020897989567426,M
Lincoln,6.020897989567426,M
GILLETTE,6.020897989567426,?
Ramirez,6.020897989567426,M
Teddy,6.020897989567426,M
Carol May Kloster,6.020897989567426,F
Wallace,6.020897989567426,M
Reagan,6.020897989567426,M
Allison,6.020897989567426,M
Wilson,5.473543626879478,M
Fred,5.473543626879478,M
Seagull,5.473543626879478,?
Jane,5.473543626879478,F
Bell,5.473543626879478,M
Leslie,5.473543626879478,?
Reeve,4.92618926419153,M
GUERRERO NEGRO,4.92618926419153,?
Lopez,4.92618926419153,?
Denver,4.92618926419153,?
Castle Larsen,4.92618926419153,M
Jenner,4.92618926419153,M
Deb,4.92618926419153,F
Franklin Roosevelt,4.92618926419153,M
Doc,4.92618926419153,?
Reagan National,4.378834901503582,M
Dr. Browder,4.378834901503582,?
Marshalene,4.378834901503582,?
Sam,4.378834901503582,M
OFTA,4.378834901503582,?
DarwinsActor,4.378834901503582,?
Grayson,4.378834901503582,M
Marines,4.378834901503582,?
Machado,4.378834901503582,M
Cartland,4.378834901503582,?
Robbie,4.378834901503582,M
Supreme Court,3.8314805388156348,?
Michiko,3.8314805388156348,F
Mr. Manckiewicz,3.8314805388156348,M
ChemEWalker,3.8314805388156348,?
DHS,3.8314805388156348,?
Rog,3.8314805388156348,M
Tuti,3.8314805388156348,?
Kai-Anne,3.8314805388156348,?
Dennis,3.8314805388156348,M
Kay,3.2841261761276868,?
Pentagon,3.2841261761276868,?
COLUMBIA,3.2841261761276868,?
Tyrel,3.2841261761276868,?
Lion Airways,3.2841261761276868,?
Feds,3.2841261761276868,?
Linotype,3.2841261761276868,?
Izzy,3.2841261761276868,?
Jasmine,3.2841261761276868,F
Stearman,3.2841261761276868,?
Nancy Telabanian,3.2841261761276868,F
Dave,2.736771813439739,?
Democratic Party,2.736771813439739,?
Michael,2.736771813439739,M
Gretchen,2.736771813439739,?
Mr. Duck,2.736771813439739,M
Parmenter,2.736771813439739,?
Mussolini,2.736771813439739,M
