NAME,# MENTIONS / 100K WORDS,GENDER
Clark,725.403693733057,M
Jack,639.4264424680639,M
Dominic,365.05095209234804,M
Driscoll,316.6593844404666,M
Chavez,307.73278458235256,M
Hadi,241.0181961690792,M
Brian,216.11768077539264,M
Ryan,145.1747029556442,M
Ibrahim,129.2007874200717,M
Hendley,113.69669292966309,M
Kealty,111.8174087490075,M
Adnan,105.70973516187684,M
Emir,101.01152471023786,M
Musa,92.08492485212382,M
Allah,90.67546171663213,M
Melinda,79.39975663269861,F
Ding,76.58083036171523,M
Bari,54.969062284175955,M
URC,53.55959914868426,?
Embling,53.089778103520366,M
Mary Pat,51.680314968028675,F
Tariq,50.74067287770088,M
Weaver,44.16317824540632,M
Arnie,43.22353615507853,M
Andrea,42.75371510991463,F
Anton,42.28389406475074,M
Bell,41.81407301958684,M
Granger,41.344251974422946,M
Vanya,37.58568361311177,M
Steve,37.11586256794787,M
Vitaliy,36.646041522783975,?
Biery,32.4176521163089,M
Nayoan,31.947831071145,M
Dom,31.947831071145,M
CIA,27.719441664669926,F
God,27.719441664669926,M
Davis,26.77979957434213,M
Saif,26.77979957434213,M
Tait,26.309978529178235,M
Fred,23.021231213030955,M
Almasi,22.551410167867058,?
Langley,22.08158912270316,M
Masood,21.611768077539264,M
Stanley,20.672125987211473,M
Army,20.672125987211473,?
Ahmed,20.672125987211473,M
Pasternak,20.672125987211473,?
FBI,19.26266285171978,?
Yuriy,18.323020761391987,?
Margolin,18.323020761391987,M
McMullen,17.85319971622809,M
Sinaga,17.85319971622809,?
Allison,17.85319971622809,M
Marty,17.383378671064193,M
Roger,17.383378671064193,M
Cathy,16.4437365807364,F
Kaseke,15.9739155355725,M
Archie,15.9739155355725,M
Domingo,15.504094490408603,M
Kilborn,14.564452400080809,M
Hank,14.564452400080809,M
Alden,14.094631354916912,M
Las Vegas,13.624810309753014,?
Salychev,13.154989264589117,?
Katie,13.154989264589117,F
Secret Service,12.68516821942522,?
Collins,11.745526129097426,M
Richards,11.745526129097426,M
Christ,11.745526129097426,M
Hardesty,11.745526129097426,M
Trixie,11.745526129097426,F
Rangers,11.275705083933529,?
Navy,11.275705083933529,M
Moose Jaw,11.275705083933529,M
NCTC,11.275705083933529,?
NSA,11.275705083933529,?
Mr. President,11.275705083933529,M
Barnes,10.805884038769632,M
Wes,10.805884038769632,M
Werner,10.805884038769632,M
Wendy,10.805884038769632,F
Jesus,10.805884038769632,M
Weber,10.805884038769632,M
Chinook,10.336062993605736,?
Lancia,10.336062993605736,?
Showalter,10.336062993605736,M
Losan,10.336062993605736,?
Rosikhina,9.86624194844184,?
Qaddafi,9.86624194844184,M
Browning,9.396420903277942,M
Johnston,9.396420903277942,M
Badr,9.396420903277942,M
Bianco,8.926599858114045,M
Jerry Rounds,8.926599858114045,M
Arlie,8.926599858114045,M
Cushman,8.926599858114045,?
Diggs,8.926599858114045,M
Maria,8.456778812950148,F
Turnbull,8.456778812950148,M
Sally,8.456778812950148,F
Medina,8.456778812950148,M
Dad,7.98695776778625,?
UAZ,7.98695776778625,?
Dirar,7.98695776778625,?
Sandy,7.98695776778625,F
Purnoma,7.98695776778625,M
White House,7.517136722622353,?
Muslim,7.517136722622353,?
Loiselle,7.517136722622353,M
Marine Corps,7.517136722622353,?
Chet,7.517136722622353,M
Dassault,7.047315677458456,M
Hindu Kush,7.047315677458456,M
Robby,7.047315677458456,M
Hlasek,7.047315677458456,?
Peterson,7.047315677458456,M
Lotus,7.047315677458456,?
Citra Salim,7.047315677458456,?
Salims,7.047315677458456,?
Ford,6.577494632294559,?
Kong,6.577494632294559,M
Mr. Clark,6.577494632294559,M
Petrobras,6.577494632294559,M
Ryan Senior,6.577494632294559,M
George,6.1076735871306616,M
Petersburg,6.1076735871306616,?
DOE,6.1076735871306616,?
Fakhoury,5.637852541966764,?
Ybarra,5.637852541966764,M
Ernest,5.637852541966764,M
Young,5.637852541966764,?
Cummings,5.637852541966764,M
Oleksei,5.637852541966764,?
Söderhamn,5.637852541966764,?
Mustafa,5.637852541966764,M
Opel,5.637852541966764,?
Mike Foxtrot,5.637852541966764,M
Callie,5.637852541966764,F
KGB,5.637852541966764,?
Reynolds,5.637852541966764,?
United States Department of Justice,5.168031496802868,M
Gomez,5.168031496802868,?
Masudi,5.168031496802868,?
Taylor,5.168031496802868,M
Patsy,5.168031496802868,F
Doc,5.168031496802868,?
Klein,4.698210451638971,M
Holtzman,4.698210451638971,M
OTP,4.698210451638971,?
Air Force,4.698210451638971,M
Harvard,4.698210451638971,?
Ghazi,4.698210451638971,M
Abraham,4.698210451638971,M
Wilson,4.228389406475074,?
Nima,4.228389406475074,?
Peregrine Cliff,4.228389406475074,M
Rich,4.228389406475074,M
Gulfstream,4.228389406475074,?
Mahmood,4.228389406475074,M
DCI,3.7585683613111764,?
Starbucks,3.7585683613111764,?
SAS,3.7585683613111764,?
Jefferson,3.7585683613111764,?
Congress,3.7585683613111764,?
Pat Martin,3.7585683613111764,M
Cassiano,3.7585683613111764,?
Brownings,3.7585683613111764,?
Vic,3.7585683613111764,M
Mr. Bari,3.7585683613111764,M
Hogan,3.7585683613111764,M
Mr. Davis,3.7585683613111764,M
Google,3.7585683613111764,?
Jenkins,3.7585683613111764,M
Umayyad Revolutionary Council,3.2887473161472793,?
Tony,3.2887473161472793,M
Pentagon,3.2887473161472793,?
