NAME,# MENTIONS / 100K WORDS,GENDER
Gale,898.047508975557,M
Peeta,424.92499877047163,F
Haymitch,404.2689224413515,M
Boggs,306.89027688978507,M
Plutarch,194.75729110313284,F
Finnick,171.15034672699554,M
Johanna,161.314119903605,F
Katniss,139.67442089214578,?
Beetee,102.2967589632617,M
Cressida,93.4441548222102,?
Annie,89.50966409285398,F
Prim,87.54241872817587,F
Caesar,63.93547435203856,M
Jackson,58.03373825800423,M
Pollux,56.06649289332612,M
Buttercup,40.32852997590125,F
Fulvia,38.361284611223134,?
Delly,35.410416564205974,?
Tigris,32.45954851718881,?
Cinna,32.45954851718881,?
Effie,30.492303152510697,F
Octavia,29.508680470171644,F
Panem,26.557812423154477,?
Thom,26.557812423154477,M
Greasy Sae,25.574189740815424,F
Mitchell,25.574189740815424,M
Darius,25.574189740815424,M
Leeg,22.62332169379826,?
Messalla,21.639699011459204,?
Paylor,16.72158559976393,?
Cato,12.787094870407712,M
Scholastic Inc.,8.852604141051494,?
Rue,8.852604141051494,M
Meadow,8.852604141051494,?
Dalton,8.852604141051494,M
Victor,8.852604141051494,M
Flavius,7.868981458712438,?
Suzanne Collins,6.8853587763733834,F
Dr. Aurelius,4.918113411695273,?
Lavinia,4.918113411695273,F
Madge,4.918113411695273,F
Claudius Templesmith,3.934490729356219,M
Leevy,2.950868047017164,?
Tim O’Brien,1.9672453646781094,?
Hawthornes,1.9672453646781094,?
Hazelle,1.9672453646781094,?
gore,1.9672453646781094,?
Elizabeth B. Parisi,1.9672453646781094,?
