NAME,# MENTIONS / 100K WORDS,GENDER
Peter,1245.4440671630168,M
Amy,658.5464627270178,F
Wolgast,611.507429675088,M
Alicia,485.0316189526806,F
Michael,470.0788137441201,M
Sara,421.1706800411202,F
Theo,385.6577676707891,M
Grey,260.7395408242734,M
Carter,256.37830597177657,M
Mausami,198.74770256378306,F
Richards,197.50163546306968,M
Lacey,183.48338058004424,M
Hollis,181.92579670415253,M
Sanjay,137.37889785364942,M
Doyle,133.95221332668766,M
Caleb,133.0176630011526,M
Jeanette,110.27693841313355,F
Galen,95.94716675492975,M
Greer,93.76654932868135,M
Babcock,81.61739509672596,M
Elton,71.33734151584063,M
Olson,68.84520731441388,M
Jimmy,68.53369053923554,M
Maus,64.79548923709542,M
Lila,59.49970405906358,F
Auntie,58.565153733528554,F
Sykes,43.92386530014641,M
Zander,43.61234852496807,M
Paulson,42.67779819943304,M
Billie,42.366281424254694,M
Conroy,42.054764649076354,M
Sam,38.628080122114575,M
Arlo,38.628080122114575,M
Gloria,36.44746269586617,F
Jane,36.13594592068783,F
Claire,35.824429145509484,F
Arnette,35.512912370331144,M
Lish,32.39774461854771,F
Ian,29.594093641942617,M
Soo,28.971060091585933,M
Terrence,27.724992990872558,M
Davis,25.855892339802498,M
Mrs. Wood,25.23285878944581,F
Dale,24.92134201426747,M
God,24.92134201426747,M
Gabe,24.298308463910782,M
Vorhees,23.675274913554095,F
Teacher,23.675274913554095,?
Jacob,23.052241363197407,M
Bill Reynolds,23.052241363197407,M
Jude,22.429207812840723,M
Ben,21.183140712127347,M
Mr. Carter,20.24859038659232,M
Leigh,19.62555683623563,F
Noah,19.002523285878944,M
Kirk,18.6910065107006,M
Milo,18.6910065107006,M
Sandy,18.37948973552226,F
Army,16.82190585963054,F
Charlene,16.198872309273856,F
Muncey,15.88735553409551,M
First Bell,15.575838758917168,F
Pujol,15.575838758917168,M
Eva,15.264321983738824,F
Dana,14.95280520856048,F
Cole,14.641288433382138,M
Finn,13.706738107847107,M
Leon,13.395221332668765,M
Bob,13.083704557490421,M
Sancho,12.772187782312077,M
First Colony,12.772187782312077,?
Gus,12.772187782312077,M
Mira,12.460671007133735,F
Fortes,11.837637456777047,M
Tahoe,11.526120681598703,?
Mar,11.526120681598703,M
Lear,11.214603906420361,?
Old Chou,10.903087131242017,M
Walter,10.903087131242017,M
Carl,10.280053580885331,M
Jesus,9.968536805706988,M
Walker,9.3455032553503,?
Rey,9.033986480171958,M
Ida,9.033986480171958,F
Roy,8.41095292981527,M
Sanjay Patal,7.164885829101897,M
Withers,7.164885829101897,M
Liza,6.8533690539235534,F
Jonas,6.8533690539235534,M
Raj,6.5418522787452105,M
Claudia,6.2303355035668675,F
Wilder,6.2303355035668675,M
Eustace,6.2303355035668675,M
Dupree,6.2303355035668675,M
Jack,5.918818728388524,M
Haley,5.918818728388524,M
Hightop,5.918818728388524,?
Belle,5.607301953210181,F
Tim,5.607301953210181,M
Paul,5.295785178031837,M
Mama,5.295785178031837,?
Milton,5.295785178031837,M
Kip Darrell,4.984268402853494,M
Louise,4.984268402853494,F
Pincher,4.984268402853494,?
Milagro,4.67275162767515,F
Peter Jaxon,4.361234852496807,M
Cort,4.361234852496807,M
Willem,4.361234852496807,M
Walt,4.361234852496807,M
Liz,4.361234852496807,F
Bureau,4.049718077318464,?
Dawn,4.049718077318464,F
Dora,4.049718077318464,F
Dennis,4.049718077318464,M
Rex Fisher,3.73820130214012,?
Demo Jaxon,3.73820130214012,?
Gale,3.73820130214012,M
Toyota,3.73820130214012,?
Terrell,3.4266845269617767,?
Prudence Jaxon,3.1151677517834337,?
Rachel Wood,3.1151677517834337,?
Kia,3.1151677517834337,F
Talbot,3.1151677517834337,M
FBI,3.1151677517834337,?
Brownbear,3.1151677517834337,?
Karen,2.8036509766050903,F
White,2.8036509766050903,M
Shakespeare,2.8036509766050903,?
John,2.8036509766050903,M
Alice,2.492134201426747,F
Van Helsing,2.492134201426747,M
Vincent Gum,2.492134201426747,M
Lucy,2.492134201426747,F
Constance,2.492134201426747,M
Amy NLN,2.492134201426747,F
Mimi,2.492134201426747,F
Hughes,2.492134201426747,M
Luanne,2.492134201426747,F
