NAME,# MENTIONS / 100K WORDS,GENDER
Lucy,3721.8257788540745,F
Jenny,2273.7874291612493,F
Amanda,909.1179769147553,F
Harry,367.220143513602,M
Ruth,168.7227686413847,F
Donna,134.97821491310776,F
Luke,129.02329366694124,M
Stone,92.30127931558106,M
David,77.41397620016475,M
Eisner,69.47408120527606,M
Leda,56.57175183858193,F
Wes,30.767093105193684,M
Elise,29.774606230832596,F
Papa,28.78211935647151,M
Charlie,24.812171859027163,M
Dr. Lowe,23.81968498466608,M
Denton,23.81968498466608,M
Weston,23.81968498466608,M
Nina,22.82719811030499,F
Rhodes,18.857250612860646,M
Stockton,16.87227686413847,M
Luce,16.87227686413847,F
Anne,15.879789989777386,F
Martin Cochrain,15.879789989777386,M
Rita,15.879789989777386,F
Ayers,13.894816241055212,M
YouTube,13.894816241055212,?
Dr. Syropolous,13.894816241055212,?
Mrs. Lowe,13.894816241055212,F
Cody,13.894816241055212,M
Denis,13.894816241055212,M
Sy Joseph,12.902329366694126,M
Matt,11.90984249233304,M
Grandmother White Feather,11.90984249233304,?
Ruth Randall,9.924868743610865,?
Mother,9.924868743610865,F
Pinkus,8.93238186924978,M
Stan,8.93238186924978,M
Ivanov,8.93238186924978,M
Facebook,7.939894994888693,?
Revere,7.939894994888693,M
Dr. Stone,6.947408120527606,M
Roy,5.95492124616652,M
CDC,5.95492124616652,?
Senate,5.95492124616652,?
Nelson,5.95492124616652,M
Tom Petty,4.962434371805433,?
APF,4.962434371805433,?
Holloman Air Force Base,4.962434371805433,?
TSA,4.962434371805433,?
Viaje,4.962434371805433,?
Jesus,4.962434371805433,?
Lucretia,4.962434371805433,F
Centers for Disease Control,4.962434371805433,?
Craigslist,3.9699474974443465,?
Rab,3.9699474974443465,?
Bruno,3.9699474974443465,M
Shakespeare,3.9699474974443465,?
Jonah,3.9699474974443465,M
Gomez,3.9699474974443465,?
Lucy Bill,3.9699474974443465,?
Congress,3.9699474974443465,?
Diane,3.9699474974443465,?
Milwaukee Zoo,3.9699474974443465,?
DARPA,3.9699474974443465,?
Homo,3.9699474974443465,?
Roberta Dyson,3.9699474974443465,?
Jane Goodall,3.9699474974443465,F
Alice,2.97746062308326,F
Toby,2.97746062308326,?
Nydia,2.97746062308326,F
Dave,2.97746062308326,M
Rolling Stone,2.97746062308326,?
Peter,2.97746062308326,?
Melissa,2.97746062308326,?
Grandma,2.97746062308326,?
University of Chicago,2.97746062308326,?
Stanford,2.97746062308326,?
Doc,2.97746062308326,?
Toyota,2.97746062308326,?
Nathalie,2.97746062308326,F
Google,2.97746062308326,?
Degas,2.97746062308326,?
Chambertin Clos de Bèze,2.97746062308326,?
National Center for Immunization,1.9849737487221732,?
Mr. Wicks,1.9849737487221732,?
Tom One Horn,1.9849737487221732,?
Chicago Tribune,1.9849737487221732,?
New Mexico State Police,1.9849737487221732,?
Dr. Prendeville,1.9849737487221732,?
Monet,1.9849737487221732,?
Bernalillo County Sheriff 's Department,1.9849737487221732,?
Dana,1.9849737487221732,?
Yamaguchi,1.9849737487221732,?
Robert Parker,1.9849737487221732,?
