NAME,# MENTIONS / 100K WORDS,GENDER
Kyle,487.37317079251113,M
Nikki,469.9224690250044,F
Kristina,441.25345897838605,F
Bryce,319.0985466058385,M
Dad,194.45067683793283,M
Trey,189.46476204721662,M
Cora,172.0140602797098,M
Matt,162.04223069827736,M
Grandfather,120.90843367486849,M
Hunter,105.95068930271982,M
Simone,87.25350883753397,F
Leah,83.5140727444968,F
Micah,63.57041358163189,M
Darla,62.32393488395283,F
Brendan,58.58449879091566,M
Leigh,57.33802009323661,F
Donald,53.59858400019944,M
David,47.366190511804156,M
Ron,47.366190511804156,M
Kortni,43.626754418766986,?
Erica,42.380275721087926,F
Liam,41.13379702340887,M
Walter,37.3943609303717,M
Cherie,37.3943609303717,F
Jake,33.654924837334526,M
Maureen,31.161967441976415,F
Rick,27.42253134893925,M
Tanya,27.42253134893925,F
Shepherd,24.929573953581134,M
Grandma Marie,24.929573953581134,F
Marie,23.683095255902078,?
Reno,22.43661655822302,?
Shreeveport,21.190137860543963,F
Nik,21.190137860543963,M
Zoe,19.943659162864908,F
Phil,19.943659162864908,M
Sasha,18.69718046518585,M
Ashante,17.450701767506793,?
Rosa,14.95774437214868,M
Scott,14.95774437214868,M
Conner,13.711265674469624,M
Eliana,12.464786976790567,F
Carl,9.971829581432454,M
Bishop,9.971829581432454,?
Michael,8.725350883753396,M
Sparks,8.725350883753396,?
Simon & Schuster Teen,8.725350883753396,?
Cara,8.725350883753396,F
Grandma Jean,8.725350883753396,F
Irena,8.725350883753396,F
Billy,7.47887218607434,M
Mother,7.47887218607434,?
Ellen Hopkins,7.47887218607434,?
Tiffany,7.47887218607434,F
Wagner,6.232393488395283,M
Katie,6.232393488395283,F
Strohmeyer,6.232393488395283,M
Bell,6.232393488395283,?
Ms. Carol,4.985914790716227,?
Bree,4.985914790716227,F
Haynes,4.985914790716227,?
Jude,4.985914790716227,?
Corrine,4.985914790716227,F
Rosselli,4.985914790716227,?
Andre,4.985914790716227,M
UNR,4.985914790716227,?
Mr. Vega,4.985914790716227,M
Lainie,3.73943609303717,?
Coward,3.73943609303717,?
Wal-Mart,3.73943609303717,?
Phffft,3.73943609303717,?
Brothers,3.73943609303717,?
Coke,3.73943609303717,?
Schneider,3.73943609303717,?
Cappelini,3.73943609303717,?
Brown,2.4929573953581134,?
Señor Gonzales,2.4929573953581134,?
John,2.4929573953581134,?
Rachael Ray,2.4929573953581134,?
Cregan,2.4929573953581134,?
Nissan,2.4929573953581134,?
Bill,2.4929573953581134,M
Jason,2.4929573953581134,?
MARGARET K. MCELDERRY,2.4929573953581134,?
TMI,2.4929573953581134,?
Esperanza,2.4929573953581134,?
Sadie,2.4929573953581134,?
Yada,2.4929573953581134,?
