NAME,# MENTIONS / 100K WORDS,GENDER
Mrs. Brown,345.99359942032487,F
Lev,312.17921623090393,M
Frida,264.47678280297083,F
Mr. Shepherd,261.4576414467725,M
Mother,154.58003743735281,F
Leandro,125.59628041784916,M
Diego,114.7273715355353,M
Enrique,96.00869512710585,M
Van,95.40486685586619,M
Stalin,79.70533180363505,M
Natalya,69.44025119256084,?
Tommy,66.42110983636253,M
Shepherd,62.19431193768492,M
Artie,57.967514039007305,M
Mrs. Bittle,56.15602922528833,F
Communist Party,52.53305959785037,?
God,45.89094861421412,M
Alejandro,39.852665901817524,M
Lorenzo,37.43735281685888,M
Bull,36.22969627437956,?
Truman,35.02203973190025,M
Cordelia,34.41821146066059,F
Salomé,33.210554918181266,?
Mr. Barnes,31.39907010446229,M
MR. RAVENNER,30.795241833222633,M
Cortés,30.191413561982973,?
Casa Trotsky,29.587585290743313,M
Tom,28.983757019503653,M
Olunda,22.94547430710706,F
Candelaria,22.3416460358674,M
Joe,21.133989493388082,M
Natividad,21.133989493388082,F
Perpetua,19.926332950908762,F
Seva,19.926332950908762,F
Sheldon,18.71867640842944,M
Sally Rand,18.71867640842944,F
Mrs. Kahlo,18.71867640842944,F
La Perla,18.71867640842944,F
Myers,18.11484813718978,M
Mr. Gold,16.907191594710465,M
Jacson,16.907191594710465,?
Reba,16.303363323470805,F
Raye,15.699535052231145,M
Lenin,15.699535052231145,M
César,15.699535052231145,?
House Committee,15.095706780991486,?
Jesus,15.095706780991486,M
Congress,15.095706780991486,?
New York Times,15.095706780991486,M
Cienfuegos,14.491878509751826,M
P. T. Cash,14.491878509751826,M
Barbara Kingsolver,14.491878509751826,F
Sóli,14.491878509751826,?
Bonus Army,13.888050238512168,?
Preston,13.284221967272508,M
Marguerite,13.284221967272508,F
Billy Boorzai,13.284221967272508,M
Pancho Villa,12.680393696032848,M
Isla Pixol,12.680393696032848,?
Romulus,12.680393696032848,?
Dewey,12.07656542479319,M
Coyoacán,11.47273715355353,?
J. Edgar Hoover,11.47273715355353,M
Cordie,11.47273715355353,F
Harrison W. Shepherd,11.47273715355353,M
Siqueiros,10.86890888231387,M
Nick,10.86890888231387,M
Sam Hall Mitchell,10.86890888231387,M
Hoover,10.265080611074211,F
Arthur Gold,10.265080611074211,M
Harry,10.265080611074211,M
Señor Pez,10.265080611074211,?
Reg Borden,10.265080611074211,M
Vassals of Majesty,9.661252339834551,?
Montford,9.05742406859489,?
Mr. Taylor,8.453595797355232,M
White House,7.849767526115572,M
Dellarobia,7.849767526115572,?
Maria,7.849767526115572,F
Woman 's Club,7.849767526115572,?
Señora Frida,7.849767526115572,?
Potomac Academy,7.849767526115572,F
Tom Cuddy,7.245939254875913,M
FBI,7.245939254875913,?
Señora Bartolome,7.245939254875913,?
Poatlicue,7.245939254875913,?
Avenida Puig,7.245939254875913,F
MacArthur,7.245939254875913,?
Moteczuma,6.642110983636254,?
Rebeca,6.642110983636254,F
Cruz,6.642110983636254,M
Negro,6.642110983636254,?
Mr. Hoover,6.642110983636254,M
Haywood,6.642110983636254,M
Jesús,6.038282712396595,?
GPU,6.038282712396595,?
Hester,6.038282712396595,?
Zelda,6.038282712396595,F
Sylvia,6.038282712396595,F
Belén,6.038282712396595,?
Mr. Scott,6.038282712396595,M
Matus,6.038282712396595,M
Chichén Itzá,5.434454441156935,?
Department of State,5.434454441156935,?
Charlie,5.434454441156935,M
Hitler,5.434454441156935,M
Cárdenas,5.434454441156935,?
bush,5.434454441156935,M
Melquiades,5.434454441156935,?
Blue House,5.434454441156935,?
Alger Hiss,5.434454441156935,M
Miss Reed,5.434454441156935,F
Miss McKellar,5.434454441156935,F
Thomas,4.8306261699172754,M
