NAME,# MENTIONS / 100K WORDS,GENDER
Sarah,1416.9759884177615,F
Pete,711.5683767923977,M
Dowling,614.5363254116161,M
Conklin,545.2277172824865,M
Jacobi,365.02533614674945,M
Heidi,360.4047622714741,F
Joe,337.3018928950976,M
Cindy,331.14112772806385,F
Claire,291.09615414234446,F
Brady,194.064102761563,M
Yuki,177.1219985522202,M
Boxer,144.77798142529304,F
Marcus Dowling,138.61721625825928,M
Tyler,123.21530334067491,M
Kitty,112.43396429836585,F
Dr. Harris,83.17032975495556,M
Benbow,75.46937329616338,M
Chi,69.30860812912964,M
Lipstick Killer,58.52726908682058,M
Bosco,58.52726908682058,M
Tracchio,56.98707779506215,M
Morley,56.98707779506215,M
Elaine Marone,55.44688650330371,F
Sue Emdin,55.44688650330371,F
Marc,55.44688650330371,M
Jo-Jo,55.44688650330371,M
Clapper,50.826312628028404,M
Avis Richardson,49.286121336269964,F
Benton,47.74593004451153,M
Peter Gordon,46.20573875275309,M
Wilma,43.12535616923622,F
Sherry,41.58516487747778,F
Trevor,40.04497358571935,M
Asher,36.964591002202475,M
Kenny,35.424399710444035,M
Linds,33.8842084186856,?
Maury,29.26363454341029,M
Mrs. Marone,29.26363454341029,F
FBI,29.26363454341029,?
WCF,29.26363454341029,?
Stevie,27.723443251651855,M
Adam Johnson,26.18325195989342,M
Cooper,26.18325195989342,M
Martha,23.102869376376546,F
Petey,23.102869376376546,M
Kennedy,21.56267808461811,M
Mr. Dowling,21.56267808461811,?
Miles,21.56267808461811,?
Evan,20.022486792859674,M
Judy,20.022486792859674,?
Mr. Johnson,20.022486792859674,M
Dowlings,18.482295501101238,?
Steven,18.482295501101238,M
Susie,18.482295501101238,F
Dorian Morley,18.482295501101238,?
Richie,18.482295501101238,M
Jesus,18.482295501101238,M
Parisi,18.482295501101238,M
Mrs. Henley,16.9421042093428,F
Robin,16.9421042093428,M
Brenda,16.9421042093428,F
Richard Benton,16.9421042093428,M
McNeil,15.401912917584363,?
Ceylon,13.861721625825927,?
Mark Ogrodnick,13.861721625825927,M
Graeme Henley,13.861721625825927,M
Saturn,12.321530334067491,?
SFPD,12.321530334067491,?
Caroline Henley,12.321530334067491,?
Nicky,10.781339042309055,M
Honda,10.781339042309055,?
Mr. Marone,10.781339042309055,M
Mrs. King,10.781339042309055,F
Bentons,10.781339042309055,?
Peyser,10.781339042309055,M
Kathryn Winstead,9.241147750550619,?
Lorraine,9.241147750550619,F
Tina,9.241147750550619,F
Van Buren,9.241147750550619,?
BART,7.700956458792182,?
Daddy,7.700956458792182,?
Angie Weider,7.700956458792182,F
Sutter,7.700956458792182,?
Ross,7.700956458792182,?
Mr. Tyler,7.700956458792182,M
Lisa Kerz,6.1607651670337455,?
Sharron,6.1607651670337455,F
Ms. Wu,6.1607651670337455,?
Francis Marone,6.1607651670337455,M
Samuels,6.1607651670337455,?
Laura,6.1607651670337455,?
Dr. Rifkin,6.1607651670337455,?
Blondie,6.1607651670337455,?
Gaines,6.1607651670337455,M
Sheila,6.1607651670337455,F
Stockton,6.1607651670337455,?
Diana King,6.1607651670337455,?
Jesse,6.1607651670337455,M
Lemke,6.1607651670337455,?
Edmund,6.1607651670337455,?
Jeremy Cushing,6.1607651670337455,?
Veronica Williams,6.1607651670337455,?
Lynnette Green,6.1607651670337455,?
FWC,4.620573875275309,?
Kevin,4.620573875275309,?
Warren,4.620573875275309,?
Macy 's,4.620573875275309,?
John,4.620573875275309,?
Larkin,4.620573875275309,?
H. Tyler,4.620573875275309,?
Dr. Mike,4.620573875275309,?
EC,4.620573875275309,?
CSU,4.620573875275309,?
Madison,4.620573875275309,?
Bridge Authority,4.620573875275309,?
MacBain,4.620573875275309,?
Geary,4.620573875275309,M
Hal,3.0803825835168728,?
Minolta,3.0803825835168728,?
Booker T. Washington High,3.0803825835168728,?
SFO,3.0803825835168728,?
Darren Benton,3.0803825835168728,?
Taser,3.0803825835168728,?
Mommy,3.0803825835168728,?
