NAME,# MENTIONS / 100K WORDS,GENDER
Shep,1797.5543235000985,M
Jackson,820.5966782246466,M
Carol,540.6986112520217,F
Glynis,483.40604317233726,F
Beryl,196.34640518975178,F
Zach,147.40900328835468,M
Flicka,136.06984918925048,M
Heather,111.60114823855193,F
Pogatchnik,108.61716031773503,M
Petra,90.11643520867028,F
Amelia,82.95486419870973,F
Hetty,72.80930526793227,F
Fletcher,66.2445318421351,M
Shepherd,59.67975841633793,M
Edison,45.356616396416825,M
Ruby,40.58223572310979,F
Dad,37.00145021812952,M
New York Times,31.630271960659105,M
Goldman,31.630271960659105,F
Tanner,30.436676792332346,M
Deb,29.839879208168966,F
Terri Schiavo,26.85589128735207,F
Dr. Knox,22.081510614045033,M
Philip Goldman,21.484713029881654,M
Gabe Knacker,17.307129940738,M
Eileen,16.71033235657462,F
Nancy,16.113534772411242,F
World Wellness Group,14.323142019921104,?
Rick Mystic,13.726344435757724,M
Forge Craft,13.129546851594345,?
Gabriel Knacker,13.129546851594345,M
Mrs. Knacker,11.935951683267586,F
Larry,10.742356514940827,M
Merrill Lynch,9.54876134661407,M
bush,7.758368594123931,M
Jesus,7.758368594123931,M
Christ,7.758368594123931,?
Fundu,7.758368594123931,?
Paul,7.161571009960552,M
Columbia-Presbyterian,7.161571009960552,?
Dr. Hartness,6.564773425797172,M
Medicare,5.371178257470413,?
Alimta,5.371178257470413,?
Flick,4.774380673307035,?
IBM,4.774380673307035,?
Marion,4.177583089143655,F
Dave,4.177583089143655,M
Jacks,4.177583089143655,?
Daddy,4.177583089143655,M
Mr. Pogatchnik,4.177583089143655,?
Cody,4.177583089143655,?
Edward Knox,3.580785504980276,M
Shepardo,2.9839879208168965,?
Jim,2.9839879208168965,M
Samsonite,2.9839879208168965,?
Mr. Knacker,2.9839879208168965,?
Glyn,2.9839879208168965,?
Luke,2.9839879208168965,M
A&P,2.3871903366535174,?
Michael Jackson,2.3871903366535174,M
Kirk,2.3871903366535174,M
Walter Mosley,2.3871903366535174,M
IRS,2.3871903366535174,?
Peace Corps,1.790392752490138,?
Anne,1.790392752490138,?
Crescent Drive,1.790392752490138,?
Thomas Jefferson,1.790392752490138,M
Supreme Court,1.790392752490138,?
Mark,1.790392752490138,?
Travis,1.790392752490138,?
Fraser Paper,1.790392752490138,?
Jed,1.790392752490138,?
Forbo,1.790392752490138,?
British Airways,1.790392752490138,?
Amway,1.790392752490138,?
Inc.,1.790392752490138,?
CVS,1.790392752490138,?
AC,1.790392752490138,?
AOL,1.1935951683267587,?
Frieda Luten,1.1935951683267587,?
European Union,1.1935951683267587,?
MasterCard,1.1935951683267587,?
NPR,1.1935951683267587,?
City Tech,1.1935951683267587,?
Lionel Shriver,1.1935951683267587,?
Daniel Libeskind,1.1935951683267587,?
Mike Tyson,1.1935951683267587,?
Absalom,1.1935951683267587,?
Stephen Hawking,1.1935951683267587,?
Nanako,1.1935951683267587,?
Google,1.1935951683267587,?
