NAME,# MENTIONS / 100K WORDS,GENDER
Lucas,876.2052220423675,M
Caroline,746.0060525019354,F
Shay,692.0496398995941,M
Devon,613.4609519787928,M
Chase,573.5801252727144,M
Maddy,459.8024726112558,F
Callum,419.92164590517746,M
Ali,347.19778544115235,M
Lake,296.7602693128768,?
Valerie,227.5553053229174,F
Bryn,174.7718582119314,M
Mitch,165.38813428108946,M
Archer,157.17737584160275,M
Dev,129.02620404907688,M
Jed,117.29654913552443,M
Keely,90.31834283435381,F
Lily,82.1075843948671,F
Casey,66.85903300724893,M
Eric,60.99420555047271,M
Sora,36.361930232012575,?
Bridget,36.361930232012575,F
Senate,30.497102775236353,?
Katie,23.459309827104885,F
Bronwyn,18.76744786168391,F
Val,17.594482370328667,F
Phoebe,16.42151687897342,F
God,15.248551387618177,F
Wolf,14.075585896262933,M
Wes,12.902620404907688,M
Jennifer Lynn Barnes,10.556689422197199,F
Sage,10.556689422197199,?
Jackson,7.037792948131466,M
Marcus,5.864827456776221,M
Alex,5.864827456776221,?
Grandma,4.691861965420977,F
Weston High,3.518896474065733,?
Caro,3.518896474065733,?
Mads,3.518896474065733,?
Hamlet,3.518896474065733,?
Humphrey Bogart,3.518896474065733,M
Mitchells,2.3459309827104886,?
Mr. Mitchell,2.3459309827104886,?
