NAME,# MENTIONS / 100K WORDS,GENDER
Simon,2132.5590708850623,M
Jace,1536.4591355780783,M
Isabelle,1306.9529589353378,F
Clary,1185.2684760173747,M
Camille,584.5476109793291,F
Jocelyn,391.2387172299067,F
Alec,351.19065956070364,M
Jordan,236.43757123933335,M
Kyle,211.02245771849297,M
Maryse,205.6313730322541,F
Luke,204.09106312190013,M
Magnus,201.0104433011922,M
Sebastian,167.893780228582,M
Maureen,160.96238563198915,F
Lilith,160.96238563198915,F
Raphael,133.23680724561783,M
Valentine,120.14417300760913,M
Maia,117.83370814207818,M
Eric,64.69301623486645,M
Shadowhunters,60.07208650380456,?
Cain,60.07208650380456,M
Shadowhunter,58.5317765934506,?
Tessa,53.91084686238871,F
Jonathan,50.0600720865038,M
Will,50.0600720865038,M
Institute,46.97945226579588,F
Max,46.209297310618894,M
Lake Lyn,45.439142355441916,F
Catarina,40.818212624380024,F
Hodge,36.967437848495116,M
Zachariah,33.11666307261021,F
Brothers,32.346508117433224,?
Clave,30.03604325190228,?
Izzy,29.2658882967253,M
Daylighter,24.644958565663412,?
Idris,20.794183789778504,M
Kirk,20.794183789778504,M
Simon Lewis,20.794183789778504,F
Mr. Walker,20.794183789778504,M
Karyn,16.943409013893596,F
Clarissa,13.86278919318567,F
Kadir,13.86278919318567,M
Jem,13.092634238008687,?
Mr. Archer,12.322479282831706,M
Nate,12.322479282831706,M
Michael,11.552324327654723,M
Nephilim,11.552324327654723,?
Tessie,10.782169372477743,F
Kaelie,10.782169372477743,?
Matt,9.241859462123779,M
Jace Lightwood,9.241859462123779,M
Church of Talto,9.241859462123779,?
Alexander,8.471704506946798,?
Adam,6.931394596592835,M
Raziel,6.931394596592835,?
Elaine Lewis,6.931394596592835,?
David,6.931394596592835,M
Mrs. Black,6.161239641415853,F
Amatis,5.391084686238871,?
Robert,4.6209297310618895,M
Mrs. Dark,3.8507747758849082,?
Beati,3.8507747758849082,?
Jace Herondale,3.8507747758849082,M
Cassandra Clare,3.8507747758849082,?
Blintzula,3.0806198207079265,?
Taki,3.0806198207079265,?
Dante,3.0806198207079265,?
Enoch,3.0806198207079265,M
Stephen Herondale,3.0806198207079265,?
William,3.0806198207079265,?
Rebecca,3.0806198207079265,F
Becky,3.0806198207079265,?
Jacob,2.3104648655309448,M
Napoleon,2.3104648655309448,M
MARGARET K. MCELDERRY,2.3104648655309448,?
Jace Morgenstern,2.3104648655309448,?
Mr. Lewis,2.3104648655309448,M
Halo,2.3104648655309448,?
Sandalphon,2.3104648655309448,?
Daniel,1.5403099103539633,?
Satrina Kendall,1.5403099103539633,?
Veselka,1.5403099103539633,?
Sammael,1.5403099103539633,?
Lucian,1.5403099103539633,?
Céline,1.5403099103539633,?
Raum,1.5403099103539633,?
Josh,1.5403099103539633,?
