NAME,# MENTIONS / 100K WORDS,GENDER
Thomas,4840.082301866873,M
Brenda,729.2979564575726,F
Newt,528.9295371058613,M
Minho,453.5220674573678,?
Teresa,386.7325943401308,F
Jorge,274.6986394337976,M
Janson,182.05517672279137,M
Lawrence,136.8106949336953,M
Rat Man,128.1926984024389,M
Gally,112.03395490633315,M
Berg,105.57045750789085,M
Hans,98.0297105430415,M
Mark,81.87096704693576,M
Vince,63.55772441801592,M
Michael,48.47623048831723,M
Red Shirt,48.47623048831723,?
Chuck,47.39898092191018,M
Paige,47.39898092191018,M
Immunes,40.93548352346788,?
Trina,37.70373482424673,F
Frypan,33.39473655861853,?
Dr. Christensen,26.931239160176236,M
Tanya,26.931239160176236,F
Aris,23.69949046095509,?
Alec,20.46774176173394,M
Bliss,19.390492195326892,M
Sonya,18.31324262891984,F
Tommy,18.31324262891984,?
James Dashner,16.158743496105743,M
Random House,8.617996531256397,?
Munie,8.617996531256397,?
Dr. Wright,8.617996531256397,?
Alby,8.617996531256397,?
Tom,6.463497398442297,?
Delacorte Press,5.386247832035248,?
Random House LLC,4.308998265628198,?
Harriet,4.308998265628198,?
VCT,2.154499132814099,?
Kirkus,2.154499132814099,?
