NAME,# MENTIONS / 100K WORDS,GENDER
Katie,2026.6385136727404,F
Jenni,1835.2861330794537,F
Travis,1658.0730909536512,M
Juan,720.163639277197,M
Peggy,538.2374843288999,F
Bill,496.7620914909461,M
Nerit,444.91785044350394,F
Shane,240.368753947232,M
Curtis,234.71301856023828,M
Jason,221.51630265725302,M
Manny,164.01632622281713,M
Eric,136.6802718523476,M
Mike,132.9097815943518,M
Felix,131.96715902985287,F
Lydia,122.54093338486337,F
Yolanda,115.94257543337072,F
Jack,113.11470773987388,M
Katarina,113.11470773987388,F
Lenore,112.17208517537493,F
Ed,108.40159491737913,M
Calhoun,96.1475015788928,M
Steven,93.31963388539594,M
Stacey,84.8360308049054,F
Lloyd,83.89340824040646,M
Roger,82.00816311140856,M
Jimmy,80.12291798241067,M
Blanche,77.29505028891381,F
Ken,76.35242772441487,M
Ashley,69.75406977292222,F
Rosie,68.81144720842327,F
Philip,57.49997643443589,M
Cody,38.64752514445691,M
Michelle,37.70490257995796,F
Davey,37.70490257995796,M
Chuck,36.76228001545901,M
Benji,34.87703488646111,M
Monica,30.163922063966368,F
Dylan,30.163922063966368,M
Doreen,29.221299499467417,F
Martin,26.39343180597057,M
Watson,26.39343180597057,M
Ralph,26.39343180597057,M
Hummer,23.565564112473723,?
Clyde,22.622941547974776,M
Ned,22.622941547974776,M
Brenda,20.737696418976878,F
Pepe,17.90982872548003,M
Tobias,17.90982872548003,M
Gretchen,16.967206160981082,F
Belinda,15.081961031983184,F
Ritchie,13.196715902985286,M
Thomas,12.254093338486337,M
Manns,12.254093338486337,M
Loca,11.311470773987388,?
Daniel,10.368848209488439,M
Tucker,10.368848209488439,M
Melanie,9.42622564498949,F
gore,9.42622564498949,M
Annie,9.42622564498949,F
Bob,7.540980515991592,M
Phil,7.540980515991592,M
Mikey,5.655735386993694,M
Ricky,5.655735386993694,M
Lily,4.713112822494745,F
Walmart,4.713112822494745,?
Mrs. Gilbreath,3.770490257995796,F
Bubba,2.827867693496847,?
Santa Patrol,2.827867693496847,?
Zack,2.827867693496847,?
Harry,2.827867693496847,?
Cher,2.827867693496847,?
Wallace,1.885245128997898,?
Mark,1.885245128997898,?
University of Texas,1.885245128997898,?
Toombs Hunting Store,1.885245128997898,?
Esmerelda,1.885245128997898,?
Mr. Mayor,1.885245128997898,?
