NAME,# MENTIONS / 100K WORDS,GENDER
Adolphus,881.8754304831251,M
Cristoph,523.3444848961921,M
Ishop,511.0449670372921,M
Vincent,490.75076257010727,M
Antonia,468.61163042408737,F
Sophie,467.9966545311424,F
Fernando,284.1188625405884,M
Louis,274.8942241464135,M
Devon,268.1294893240185,M
Goler,261.3647545016235,M
Tanja,242.91547771327365,F
Keana,215.2415625307488,F
Michella,182.03286431171898,F
Hallholme,158.6637803798091,M
Laderna,138.3695759126242,F
Escobar,130.98986519728427,M
Sonjeera,122.99517858899931,?
Lord Riomini,112.54058840893437,M
Hellhole,86.09662501229951,?
Walfor,81.17681786873955,M
Bolton,81.17681786873955,M
Xayan,72.5671553675096,?
Zairic,68.87730000983962,M
Xayans,65.18744465216963,?
Fernando-Zairic,62.11256518744465,F
Diadem Michella,58.422709829774675,F
Ridgetop,55.962806257994686,F
Vielinger,45.508216077929745,?
Encix,41.20338482731477,?
Jako,38.74348125553478,?
Candela,36.89855357669979,M
Ian Walfor,32.593722326084816,M
Franck,31.363770540194825,M
Paternos,31.363770540194825,F
Uroa,31.363770540194825,?
Turlo,30.748794647249827,?
Commodore Hallholme,30.13381875430483,M
Ernst Packard,30.13381875430483,M
Council of Lords,28.28889107546984,?
Sunitha,25.828987503689856,F
Cippiq,24.59903571779986,F
Oberon,24.59903571779986,M
Lord Tazaar,23.984059824854867,M
Tasmine,21.524156253074878,?
FTL,21.524156253074878,?
Ankor,20.909180360129884,?
Quinn,19.67922857423989,M
Riominis,18.449276788349895,?
Kerris,17.8343008954049,F
Gregory,17.219325002459904,M
Elba,17.219325002459904,F
Mr Heer,15.989373216569911,F
Tel Clovis,15.989373216569911,?
Peter Herald,15.374397323624914,M
Aeroc,14.759421430679918,?
Pritikin,14.759421430679918,M
Black Lord,14.759421430679918,M
Buktu,14.759421430679918,?
Nari,14.14444553773492,F
Bebe,13.529469644789923,?
Jhera,12.914493751844928,F
Helltown,12.29951785889993,?
Renny,12.29951785889993,?
Craig Jordan,11.684541965954935,M
Tazaar,11.684541965954935,?
Birzh,11.069566073009938,?
Amadin,9.839614287119945,?
Xaya,9.839614287119945,M
Eva,8.609662501229952,F
Theris,7.9946866082849555,?
Ulman,7.379710715339959,M
Mother,6.764734822394962,F
Mr Engermann,6.764734822394962,M
Orsini,6.764734822394962,M
Haveeda,5.534783036504969,?
Trombie,4.919807143559972,M
Jacob,4.919807143559972,M
Keana-Uroa,4.919807143559972,?
Suzuki,4.919807143559972,M
Osheer,4.919807143559972,?
Tryn,4.919807143559972,?
Bureau,4.304831250614976,?
Mr Pritikin,4.304831250614976,?
Mr Carey,4.304831250614976,M
Supreme Magistrate,4.304831250614976,M
Allyf,4.304831250614976,?
Adkins,4.304831250614976,M
Stefano,4.304831250614976,M
Barassa,4.304831250614976,?
Mr de Carre,3.6898553576699795,M
Elwyn Morae,3.6898553576699795,?
Klief,3.6898553576699795,?
Angelique,3.6898553576699795,F
Sia Frankov,3.0748794647249826,?
Tona Quirrie,3.0748794647249826,?
Ogg,3.0748794647249826,M
Kouvet,3.0748794647249826,?
Lujah Carey,3.0748794647249826,M
Hirdan,2.459903571779986,?
Drew Jenet,2.459903571779986,?
Eldora Fen,2.459903571779986,?
Carter,2.459903571779986,?
Gilag Riomini,1.8449276788349898,?
Gavo,1.8449276788349898,?
Aria Ongenet,1.8449276788349898,?
Napoleon,1.8449276788349898,?
George Komun,1.8449276788349898,?
Devon-Birzh,1.8449276788349898,?
Mr Jenet,1.8449276788349898,M
St Helena,1.8449276788349898,?
Tiber Maximillian Adolphus,1.229951785889993,?
Eduard de Carre,1.229951785889993,?
Jamos,1.229951785889993,?
Mr Neron,1.229951785889993,?
Ambrose de Carre,1.229951785889993,?
Elbert,1.229951785889993,?
House of Lords,1.229951785889993,?
Fleer,1.229951785889993,?
Antonia-Jhera,1.229951785889993,?
Conyer,1.229951785889993,?
Ala,1.229951785889993,?
