NAME,# MENTIONS / 100K WORDS,GENDER
Masha,1114.1507087789107,F
Tatiana Vladimirovna,873.7461659620327,F
Katya,475.83519854099313,F
Oleg Nikolaevich,305.065075022797,M
Steve,263.6160159164387,M
Paolo,218.85103208157176,M
Cossack,152.5325375113985,?
Sergei Borisovich,77.92423111995357,M
Konstantin Andreyevich,76.26626875569924,M
Nicholas,74.60830639144491,M
Kolya,71.29238166293625,?
Stepan Mikhailovich,69.63441929868192,M
Olga,54.71275802039294,F
Metro,51.39683329188428,?
Nikolai,44.764983834866946,M
Kremlin,43.107021470612615,?
Narodneft,41.449059106358284,?
Vyacheslav Alexandrovich,39.79109674210395,?
St Petersburg,36.47517201359529,M
Nick,24.86943546381497,M
Seriozha,19.895548371051976,?
George,19.895548371051976,M
Stalin,18.237586006797645,?
Zhiguli,16.579623642543314,?
Pyotr Arkadyevich,11.60573654978032,?
Rosemary,11.60573654978032,F
Lenin,11.60573654978032,M
Platt,9.947774185525988,M
FSB,8.289811821271657,?
Rasputin,8.289811821271657,?
Luton,6.631849457017326,?
Ikea,6.631849457017326,?
Anya,6.631849457017326,F
Alfie,6.631849457017326,?
Khrushchev,4.973887092762994,M
Ivan,4.973887092762994,M
Jesus,4.973887092762994,?
Moscow State University,4.973887092762994,?
KGB,4.973887092762994,?
Hotel Ukraina,4.973887092762994,?
Nicky,3.315924728508663,?
interior ministry,3.315924728508663,?
Nizhny Novgorod,3.315924728508663,?
Bolshaya Nikitskaya,3.315924728508663,?
St Isaac,3.315924728508663,?
A. D. Miller,3.315924728508663,?
Raskolnikov,3.315924728508663,?
Peter,3.315924728508663,?
