NAME,# MENTIONS / 100K WORDS,GENDER
Luka,456.5364920723055,M
Dominic,169.2181592237117,M
Dariša,111.0494169905608,?
Barba Ivan,105.76134951481981,M
Zóra,88.1344579290165,?
Nada,69.62622176392304,F
Mother Vera,68.74487718463287,F
Marek,56.406053074570565,M
Fra Antun,52.880674757409906,M
Galina,52.880674757409906,F
Magdalena,49.35529644024925,F
Duré,47.59260728166891,?
Bako,44.94857354379842,M
Gavo,44.06722896450825,M
Shere Khan,40.541850647347594,M
Lola,37.8978169094771,F
Natalia,35.25378317160661,F
Mr. Bogdan,33.49109401302627,M
Amana,32.609749433736106,?
Sarobor,29.084371116575447,?
Zdrevkov,24.677648220124624,F
University,22.91495906154429,?
Brejevina,19.389580744383633,?
Sveti Danilo,19.389580744383633,M
Gavran Gailé,18.508236165093468,?
Johnny Cash,18.508236165093468,M
Marko Parović,17.626891585803303,?
Jovo,16.745547006513135,?
Mowgli,14.982857847932806,M
Korčul,14.101513268642641,?
Arlo,14.101513268642641,M
Marshall,14.101513268642641,M
Karan,13.220168689352477,M
Slavko,12.338824110062312,?
Vladiša,12.338824110062312,?
Marhan,11.457479530772146,?
Blind Orlo,11.457479530772146,?
Hassan Effendi,11.457479530772146,?
Bis,11.457479530772146,?
John Dory,10.576134951481981,M
Magyar,10.576134951481981,M
Random House,9.694790372191816,?
Fedrizzi,7.932101213611486,?
United Clinics,7.050756634321321,F
Bob Dylan,7.050756634321321,M
Mića,7.050756634321321,?
Boro,7.050756634321321,?
Branko,6.169412055031156,M
Paul Simon,6.169412055031156,M
Muslim,5.2880674757409905,?
Ori,5.2880674757409905,?
Grandma,5.2880674757409905,F
M. Dobravka,5.2880674757409905,?
Military Academy of Medicine,4.406722896450826,?
Aran Darić,4.406722896450826,?
Cleaver,4.406722896450826,?
Inc.,4.406722896450826,?
Avgustin,3.5253783171606603,?
Mirica,3.5253783171606603,?
The New Yorker,3.5253783171606603,?
Council Rock,3.5253783171606603,?
Kasim Suleimanović,2.6440337378704952,?
Harper,2.6440337378704952,?
Baba Roga,2.6440337378704952,?
Springsteen,2.6440337378704952,M
Rama,2.6440337378704952,?
Fra Parso,1.7626891585803302,?
Baloo,1.7626891585803302,?
Jennifer Egan,1.7626891585803302,?
Dejana,1.7626891585803302,?
Dušan,1.7626891585803302,?
