NAME,# MENTIONS / 100K WORDS,GENDER
Marina,4153.874924028737,F
Dr. Swenson,617.8996088453927,M
Anders,606.2117221711418,M
Mr. Fox,444.9188860664807,M
Karen,311.6769779800215,F
Barbara,306.2226308653711,F
Milton,268.82139350776856,M
Nancy,193.23972634761333,F
Dr. Rapp,157.39687387991086,M
Benoit,135.57948542130936,M
Lakashi,127.78756097180882,?
Dr. Eckman,125.44998363695865,M
Thomas,111.42451962785769,M
Jackie,97.39905561875672,F
Dr. Singh,95.06147828390655,M
Alan Saturn,88.04874627935608,M
Vogel,73.24408982530505,M
Rodrigo,72.464897380355,M
Dr. Budi,63.11458804095435,F
Bovenders,42.85558447225296,?
Mrs. Bovender,39.73881469245274,F
Dr. Nkomo,34.28446757780237,M
Martins,27.27173557325188,M
Martin Rapp,26.49254312830183,M
Rapps,22.59658090355156,?
Hummocca,21.817388458601506,?
Nixon,21.03819601365145,M
Mary,11.687886674250807,F
Negro,7.791924449500538,?
Johns Hopkins,7.791924449500538,?
Pickles,7.791924449500538,?
Linn Hilder,5.454347114650377,M
Harvard,5.454347114650377,?
Tomo,5.454347114650377,?
Orfeo,4.675154669700323,?
Paul,4.675154669700323,?
Bill,3.895962224750269,M
Gluck,3.895962224750269,?
Euridice,3.895962224750269,?
Adrian,3.116769779800215,?
Dickens,3.116769779800215,?
Picasso,3.116769779800215,M
New York Times Magazine,2.3375773348501614,?
Josh Su,2.3375773348501614,?
Jim Fox,2.3375773348501614,?
Ilena Silverman,2.3375773348501614,?
FDA,1.5583848899001076,?
Catholic,1.5583848899001076,?
Harper,1.5583848899001076,?
Dr. Johnson,1.5583848899001076,?
Mara,1.5583848899001076,?
Klee,1.5583848899001076,?
Vogue,1.5583848899001076,?
Villa-Lobos,1.5583848899001076,?
Benjy,1.5583848899001076,?
Dear Jim,1.5583848899001076,?
James,1.5583848899001076,?
Elle,1.5583848899001076,?
Wagner,1.5583848899001076,?
