NAME,# MENTIONS / 100K WORDS,GENDER
Claire,1022.814662906947,F
Gaby,848.5003845167905,F
Emily,738.2722378877211,F
Mike,563.9579594975647,M
Marty,502.4352730069213,M
Seth,466.54703922071263,M
Gus,456.2932581389387,M
Hank,446.03947705716485,M
Lizzie,358.8823378620867,F
Jacob,335.81133042809535,M
Tom,330.6844398872084,M
Andie,287.1058702896693,F
Bart,266.5983081261215,M
Cliff,151.24327095616508,M
Stacey Lee,148.6798256857216,?
Tallulah,112.79159189951295,F
Peter,94.84747500640862,M
Paul,84.5936939246347,M
Eduardo,69.21302230197385,M
Toby,69.21302230197385,M
Gabrielle,66.64957703153037,F
Hardy,46.14201486798257,M
Petrillo,43.578569597539094,M
Benny,38.45167905665214,M
Ms. Summerhill,30.76134324532171,?
Arnold Worldwide,30.76134324532171,M
Dale,28.197897974878238,?
DeResta,28.197897974878238,?
Mr. Lopez,25.63445270443476,M
Adele,23.071007433991284,F
Kurt,20.50756216354781,M
Pike,12.81722635221738,?
Liz,12.81722635221738,F
Mariana,12.81722635221738,F
Reggie,12.81722635221738,M
Heineken,12.81722635221738,?
Browning,12.81722635221738,M
Bach,12.81722635221738,?
Daft Punk,10.253781081773905,?
Alex Frahm,10.253781081773905,M
Tara Walsh,10.253781081773905,F
Timbo,7.690335811330428,?
Curtis,7.690335811330428,?
Coke,7.690335811330428,?
Amy Stern,7.690335811330428,?
Taco Bell,7.690335811330428,?
Jason,7.690335811330428,?
Timothy,5.1268905408869525,?
Miz Gould,5.1268905408869525,?
Andy,5.1268905408869525,?
Christian Louboutin,5.1268905408869525,?
Hyundai,5.1268905408869525,?
Lee Harvey Oswald,5.1268905408869525,?
RMI,5.1268905408869525,?
Nissan,5.1268905408869525,?
Mrs. Rupp,5.1268905408869525,?
