NAME,# MENTIONS / 100K WORDS,GENDER
Amy,1027.9359087541984,F
Harley,872.680040995667,M
Eldest,759.0286868194871,M
Doc,274.9956873370067,M
Orion,162.3590773945427,M
Jason,123.79879651333881,M
Daddy,93.35646950186205,M
Sol-Earth,90.31223680071437,?
Steela,78.13530599612368,?
Ed,76.10581752869189,M
Godspeed,53.78144438694227,?
Ward,49.7224674520787,M
Phydus,46.678234750931026,?
Mr. Kennedy,43.634002049783355,M
Mr. Robertson,31.457071245192648,M
Victria,28.412838544044973,?
Hassan,27.398094310329082,?
Kayleigh,25.3686058428973,F
Bartie,20.29488467431784,M
Grandma,17.25065197317016,F
Lincoln,17.25065197317016,M
Edmund Albert Davis,15.221163505738378,M
Filomina,11.16218657087481,?
Kristen,6.088465402295351,F
Benita,6.088465402295351,F
Erin,6.088465402295351,F
Financial Resource Exchange,5.07372116857946,?
Mother,5.07372116857946,?
Hitler,4.058976934863567,M
Emma Bledsoe,2.0294884674317837,?
